;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript7_ENSMSIG00000000513;1.0;0.921;0.664;0.605;0.519;0.611;0.611;0.619;0.593;0.593;0.54;0.54;0.53;0.545;0.589;0.589;0.632;0.684;0.54;0.464;0.504;0.504;0.494;0.519;0.49;0.433;0.433;0.425;0.487;0.485;0.388
transcript7_ENSMUSG00000054036;0.921;1.0;0.714;0.793;0.469;0.776;0.776;0.788;0.629;0.629;0.605;0.605;0.405;0.417;0.448;0.448;0.461;0.738;0.428;0.419;0.501;0.501;0.492;0.462;0.449;0.405;0.405;0.405;0.497;0.457;0.366
transcript43_MGP-CAROLIEiJ-G0020234;0.664;0.714;1.0;0.76;0.354;0.746;0.746;0.762;0.972;0.972;0.871;0.871;0.421;0.399;0.329;0.329;0.347;0.989;0.419;0.428;0.374;0.374;0.366;0.351;0.333;0.43;0.43;0.43;0.392;0.339;0.404
transcript26_MGP-PahariEiJ-G0020237;0.605;0.793;0.76;1.0;0.461;0.998;0.998;0.986;0.579;0.579;0.684;0.684;0.843;0.806;0.699;0.699;0.616;0.784;0.867;0.824;1.0;1.0;0.989;0.448;0.512;0.669;0.669;0.71;0.98;0.536;0.566
transcript33_ENSRNOG00000031503;0.519;0.469;0.354;0.461;1.0;0.392;0.392;0.399;0.605;0.605;0.547;0.547;0.816;0.836;0.902;0.902;0.962;0.447;0.817;0.811;0.654;0.654;0.656;0.964;0.906;0.827;0.827;0.82;0.672;0.922;0.711
transcript26_ENSMSIG00000000513;0.611;0.776;0.746;0.998;0.392;1.0;1.0;0.988;0.588;0.588;0.691;0.691;0.713;0.685;0.61;0.61;0.548;0.768;0.722;0.645;0.824;0.824;0.814;0.383;0.43;0.538;0.538;0.584;0.82;0.449;0.468
transcript47_ENSMSIG00000000513;0.611;0.776;0.746;0.998;0.392;1.0;1.0;0.988;0.588;0.588;0.691;0.691;0.713;0.685;0.61;0.61;0.548;0.768;0.722;0.645;0.824;0.824;0.814;0.383;0.43;0.538;0.538;0.584;0.82;0.449;0.468
transcript49_ENSMSIG00000000513;0.619;0.788;0.762;0.986;0.399;0.988;0.988;1.0;0.595;0.595;0.679;0.679;0.696;0.668;0.592;0.592;0.562;0.783;0.706;0.632;0.814;0.814;0.804;0.388;0.419;0.524;0.524;0.57;0.806;0.434;0.454
transcript41_ENSMSIG00000000513;0.593;0.629;0.972;0.579;0.605;0.588;0.588;0.595;1.0;1.0;0.887;0.887;0.694;0.663;0.577;0.577;0.616;0.974;0.697;0.7;0.47;0.47;0.46;0.629;0.591;0.683;0.683;0.667;0.486;0.562;0.577
transcript43_ENSMSIG00000000513;0.593;0.629;0.972;0.579;0.605;0.588;0.588;0.595;1.0;1.0;0.887;0.887;0.694;0.663;0.577;0.577;0.616;0.974;0.697;0.7;0.47;0.47;0.46;0.629;0.591;0.683;0.683;0.667;0.486;0.562;0.577
transcript46_ENSMSIG00000000513;0.54;0.605;0.871;0.684;0.547;0.691;0.691;0.679;0.887;0.887;1.0;1.0;0.762;0.732;0.645;0.645;0.577;0.876;0.764;0.766;0.559;0.559;0.549;0.561;0.624;0.74;0.74;0.791;0.586;0.623;0.641
transcript48_ENSMSIG00000000513;0.54;0.605;0.871;0.684;0.547;0.691;0.691;0.679;0.887;0.887;1.0;1.0;0.762;0.732;0.645;0.645;0.577;0.876;0.764;0.766;0.559;0.559;0.549;0.561;0.624;0.74;0.74;0.791;0.586;0.623;0.641
transcript22_MGP-CAROLIEiJ-G0020234;0.53;0.405;0.421;0.843;0.816;0.713;0.713;0.696;0.694;0.694;0.762;0.762;1.0;0.978;0.908;0.908;0.857;0.52;0.992;0.986;0.895;0.895;0.887;0.866;0.919;0.96;0.96;0.96;0.881;0.859;0.855
transcript8_MGP-CAROLIEiJ-G0020234;0.545;0.417;0.399;0.806;0.836;0.685;0.685;0.668;0.663;0.663;0.732;0.732;0.978;1.0;0.928;0.928;0.875;0.49;0.97;0.963;0.875;0.875;0.867;0.882;0.936;0.936;0.936;0.936;0.859;0.879;0.83
transcript32_MGP-CAROLIEiJ-G0020234;0.589;0.448;0.329;0.699;0.902;0.61;0.61;0.592;0.577;0.577;0.645;0.645;0.908;0.928;1.0;1.0;0.941;0.394;0.9;0.894;0.818;0.818;0.81;0.934;0.993;0.863;0.863;0.863;0.795;0.952;0.756
transcript42_MGP-CAROLIEiJ-G0020234;0.589;0.448;0.329;0.699;0.902;0.61;0.61;0.592;0.577;0.577;0.645;0.645;0.908;0.928;1.0;1.0;0.941;0.394;0.9;0.894;0.818;0.818;0.81;0.934;0.993;0.863;0.863;0.863;0.795;0.952;0.756
transcript33_MGP-CAROLIEiJ-G0020234;0.632;0.461;0.347;0.616;0.962;0.548;0.548;0.562;0.616;0.616;0.577;0.577;0.857;0.875;0.941;0.941;1.0;0.426;0.849;0.843;0.774;0.774;0.766;0.992;0.934;0.807;0.807;0.807;0.747;0.887;0.699
transcript41_MGP-SPRETEiJ-G0021131;0.684;0.738;0.989;0.784;0.447;0.768;0.768;0.783;0.974;0.974;0.876;0.876;0.52;0.49;0.394;0.394;0.426;1.0;0.536;0.546;0.459;0.459;0.45;0.459;0.423;0.537;0.537;0.537;0.475;0.419;0.496
transcript22_MGP-SPRETEiJ-G0021131;0.54;0.428;0.419;0.867;0.817;0.722;0.722;0.706;0.697;0.697;0.764;0.764;0.992;0.97;0.9;0.9;0.849;0.536;1.0;0.99;0.912;0.912;0.904;0.871;0.923;0.961;0.961;0.961;0.893;0.86;0.836
transcript36_ENSMUSG00000054036;0.464;0.419;0.428;0.824;0.811;0.645;0.645;0.632;0.7;0.7;0.766;0.766;0.986;0.963;0.894;0.894;0.843;0.546;0.99;1.0;0.891;0.891;0.884;0.865;0.917;0.954;0.954;0.954;0.879;0.869;0.845
transcript34_ENSMUGG00000013592;0.504;0.501;0.374;1.0;0.654;0.824;0.824;0.814;0.47;0.47;0.559;0.559;0.895;0.875;0.818;0.818;0.774;0.459;0.912;0.891;1.0;1.0;0.994;0.66;0.698;0.79;0.79;0.809;0.974;0.689;0.672
transcript35_ENSMUGG00000013592;0.504;0.501;0.374;1.0;0.654;0.824;0.824;0.814;0.47;0.47;0.559;0.559;0.895;0.875;0.818;0.818;0.774;0.459;0.912;0.891;1.0;1.0;0.994;0.66;0.698;0.79;0.79;0.809;0.974;0.689;0.672
transcript18_ENSMUGG00000013592;0.494;0.492;0.366;0.989;0.656;0.814;0.814;0.804;0.46;0.46;0.549;0.549;0.887;0.867;0.81;0.81;0.766;0.45;0.904;0.884;0.994;0.994;1.0;0.653;0.692;0.792;0.792;0.811;0.976;0.69;0.673
transcript33_ENSMUGG00000013592;0.519;0.462;0.351;0.448;0.964;0.383;0.383;0.388;0.629;0.629;0.561;0.561;0.866;0.882;0.934;0.934;0.992;0.459;0.871;0.865;0.66;0.66;0.653;1.0;0.943;0.821;0.821;0.774;0.642;0.892;0.704
transcript32_ENSMUGG00000013592;0.49;0.449;0.333;0.512;0.906;0.43;0.43;0.419;0.591;0.591;0.624;0.624;0.919;0.936;0.993;0.993;0.934;0.423;0.923;0.917;0.698;0.698;0.692;0.943;1.0;0.876;0.876;0.825;0.684;0.955;0.76
