;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.849;0.851;0.849;0.361;0.359;0.469;0.361;0.851;0.997;0.992;0.634;0.676
ENST00000336604_90_90;0.849;1.0;0.998;0.995;0.453;0.454;0.453;0.453;0.984;0.784;0.779;0.472;0.484
ENST00000356896_90_90;0.851;0.998;1.0;0.993;0.455;0.453;0.453;0.455;0.986;0.782;0.778;0.472;0.486
ENST00000396840_90_90;0.849;0.995;0.993;1.0;0.448;0.448;0.456;0.448;0.979;0.788;0.783;0.475;0.487
ENST00000436152_90_90;0.361;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.333;0.334;0.018;0.478
ENST00000465801_90_90;0.359;0.454;0.453;0.448;0.996;1.0;0.0;0.996;0.447;0.333;0.335;0.018;0.476
ENST00000487279_90_90;0.469;0.453;0.453;0.456;0.0;0.0;1.0;0.0;0.446;0.47;0.473;0.71;0.147
ENST00000615885_90_90;0.361;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.333;0.334;0.018;0.478
ENST00000619571_90_90;0.851;0.984;0.986;0.979;0.448;0.447;0.446;0.448;1.0;0.772;0.767;0.466;0.48
ENSMUST00000117675_90_90;0.997;0.784;0.782;0.788;0.333;0.333;0.47;0.333;0.772;1.0;0.995;0.619;0.674
ENSMUST00000119527_90_90;0.992;0.779;0.778;0.783;0.334;0.335;0.473;0.334;0.767;0.995;1.0;0.622;0.672
ENSMUST00000144364_90_90;0.634;0.472;0.472;0.475;0.018;0.018;0.71;0.018;0.466;0.619;0.622;1.0;0.304
ENSMUST00000148835_90_90;0.676;0.484;0.486;0.487;0.478;0.476;0.147;0.478;0.48;0.674;0.672;0.304;1.0
