;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.519;0.731;0.891;0.13;0.964;0.955;0.512;0.519;0.234;0.945;0.936;0.604;0.229;0.519;0.512
ENSCAFT00000027149_90_90;0.519;1.0;0.458;0.485;0.103;0.5;0.493;0.957;1.0;0.326;0.496;0.489;0.336;0.133;1.0;0.957
ENST00000256062_90_90;0.731;0.458;1.0;0.792;0.159;0.734;0.725;0.474;0.458;0.183;0.7;0.691;0.589;0.274;0.458;0.474
ENST00000539277_90_90;0.891;0.485;0.792;1.0;0.126;0.927;0.917;0.477;0.485;0.202;0.857;0.848;0.509;0.243;0.485;0.477
ENST00000550354_90_90;0.13;0.103;0.159;0.126;1.0;0.117;0.108;0.108;0.103;0.0;0.13;0.12;0.194;0.0;0.103;0.108
ENST00000551659_90_90;0.964;0.5;0.734;0.927;0.117;1.0;0.991;0.492;0.5;0.23;0.929;0.92;0.579;0.225;0.5;0.492
ENST00000552618_90_90;0.955;0.493;0.725;0.917;0.108;0.991;1.0;0.485;0.493;0.232;0.92;0.928;0.57;0.227;0.493;0.485
ENST00000373701_90_90;0.512;0.957;0.474;0.477;0.108;0.492;0.485;1.0;0.957;0.311;0.489;0.481;0.347;0.139;0.957;1.0
ENST00000373719_90_90;0.519;1.0;0.458;0.485;0.103;0.5;0.493;0.957;1.0;0.326;0.496;0.489;0.336;0.133;1.0;0.957
ENST00000444774_90_90;0.234;0.326;0.183;0.202;0.0;0.23;0.232;0.311;0.326;1.0;0.223;0.225;0.263;0.326;0.326;0.311
ENSMUST00000060095_90_90;0.945;0.496;0.7;0.857;0.13;0.929;0.92;0.489;0.496;0.223;1.0;0.991;0.618;0.241;0.496;0.489
ENSMUST00000100772_90_90;0.936;0.489;0.691;0.848;0.12;0.92;0.928;0.481;0.489;0.225;0.991;1.0;0.609;0.243;0.489;0.481
ENSMUST00000140797_90_90;0.604;0.336;0.589;0.509;0.194;0.579;0.57;0.347;0.336;0.263;0.618;0.609;1.0;0.38;0.336;0.347
ENSMUST00000203991_90_90;0.229;0.133;0.274;0.243;0.0;0.225;0.227;0.139;0.133;0.326;0.241;0.243;0.38;1.0;0.133;0.139
ENSMUST00000044475_90_90;0.519;1.0;0.458;0.485;0.103;0.5;0.493;0.957;1.0;0.326;0.496;0.489;0.336;0.133;1.0;0.957
ENSMUST00000119299_90_90;0.512;0.957;0.474;0.477;0.108;0.492;0.485;1.0;0.957;0.311;0.489;0.481;0.347;0.139;0.957;1.0
