;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.671;0.647;0.651;0.412;0.388;0.638;0.621;0.52;0.697;0.628;0.569;0.55;0.79;0.581;0.531;0.538;0.538;0.573;0.566;0.535;0.587;0.574
transcript38_ENSMSIG00000000513;0.671;1.0;0.965;0.966;0.614;0.579;0.595;0.575;0.57;0.57;0.509;0.439;0.382;0.553;0.417;0.366;0.376;0.376;0.407;0.401;0.392;0.425;0.416
transcript38_MGP-SPRETEiJ-G0021131;0.647;0.965;1.0;0.931;0.579;0.6;0.57;0.55;0.564;0.55;0.491;0.421;0.363;0.534;0.402;0.35;0.36;0.36;0.393;0.387;0.375;0.41;0.401
transcript38_ENSMUSG00000054036;0.651;0.966;0.931;1.0;0.614;0.579;0.575;0.575;0.57;0.57;0.509;0.426;0.369;0.538;0.406;0.355;0.365;0.365;0.397;0.392;0.38;0.415;0.406
transcript52_ENSMSIG00000000513;0.412;0.614;0.579;0.614;1.0;0.943;0.316;0.3;0.397;0.35;0.312;0.245;0.214;0.34;0.26;0.227;0.24;0.24;0.25;0.246;0.25;0.261;0.255
transcript52_MGP-SPRETEiJ-G0021131;0.388;0.579;0.6;0.579;0.943;1.0;0.291;0.275;0.389;0.33;0.295;0.226;0.194;0.32;0.244;0.21;0.223;0.223;0.236;0.232;0.233;0.246;0.241
transcript58_ENSMSIG00000000513;0.638;0.595;0.57;0.575;0.316;0.291;1.0;0.971;0.545;0.69;0.616;0.581;0.53;0.578;0.508;0.475;0.472;0.472;0.493;0.486;0.467;0.504;0.493
transcript58_ENSMUSG00000054036;0.621;0.575;0.55;0.575;0.3;0.275;0.971;1.0;0.528;0.69;0.616;0.566;0.515;0.564;0.496;0.463;0.46;0.46;0.482;0.476;0.455;0.493;0.482
transcript63_MGP-SPRETEiJ-G0021131;0.52;0.57;0.564;0.57;0.397;0.389;0.545;0.528;1.0;0.67;0.598;0.519;0.438;0.619;0.459;0.413;0.422;0.422;0.479;0.472;0.427;0.5;0.489
transcript54_ENSMUSG00000054036;0.697;0.57;0.55;0.57;0.35;0.33;0.69;0.69;0.67;1.0;0.893;0.698;0.628;0.781;0.679;0.623;0.629;0.629;0.69;0.681;0.615;0.696;0.681
transcript55_ENSMUSG00000054036;0.628;0.509;0.491;0.509;0.312;0.295;0.616;0.616;0.598;0.893;1.0;0.713;0.633;0.792;0.766;0.715;0.72;0.72;0.775;0.764;0.682;0.732;0.754
transcript8_MGP-CAROLIEiJ-G0020234;0.569;0.439;0.421;0.426;0.245;0.226;0.581;0.566;0.519;0.698;0.713;1.0;0.792;0.667;0.694;0.664;0.643;0.643;0.693;0.683;0.669;0.699;0.708
