;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.673;0.019;0.019;0.019;0.519;0.25;0.038;0.019;0.25;0.346;0.288;0.135;0.173;0.0;0.75;0.023;0.023;0.023;0.636;0.023;0.318;0.159;0.568;0.477
ENST00000312358_90_90;0.673;1.0;0.024;0.024;0.024;0.532;0.0;0.05;0.024;0.0;0.26;0.173;0.175;0.059;0.0;1.0;0.026;0.026;0.026;0.568;0.026;0.062;0.189;0.73;0.283
ENST00000396686_90_90;0.019;0.024;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;1.0;1.0;1.0;0.062;1.0;0.0;0.0;0.036;0.0
ENST00000396688_90_90;0.019;0.024;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;1.0;1.0;1.0;0.062;1.0;0.0;0.0;0.036;0.0
ENST00000396689_90_90;0.019;0.024;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026;1.0;1.0;1.0;0.062;1.0;0.0;0.0;0.036;0.0
ENST00000396698_90_90;0.519;0.532;0.062;0.062;0.062;1.0;0.133;0.062;0.0;0.133;0.528;0.293;0.219;0.243;0.0;0.568;0.062;0.062;0.062;1.0;0.062;0.243;0.219;0.405;0.543
ENST00000403148_90_90;0.25;0.0;0.0;0.0;0.0;0.133;1.0;0.0;0.0;1.0;0.167;0.081;0.0;0.222;0.0;0.0;0.0;0.0;0.0;0.167;0.0;0.714;0.0;0.0;0.333
ENST00000409595_90_90;0.038;0.05;0.0;0.0;0.0;0.062;0.0;1.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.054;0.0;0.0;0.0;0.062;0.0;0.0;0.286;0.036;0.0
ENST00000412982_90_90;0.019;0.024;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.333;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.0
ENST00000420132_90_90;0.25;0.0;0.0;0.0;0.0;0.133;1.0;0.0;0.0;1.0;0.167;0.081;0.0;0.222;0.0;0.0;0.0;0.0;0.0;0.167;0.0;0.714;0.0;0.0;0.333
ENST00000431523_90_90;0.346;0.26;0.0;0.0;0.0;0.528;0.167;0.0;0.0;0.167;1.0;0.571;0.2;0.542;0.0;0.295;0.0;0.0;0.0;0.576;0.0;0.417;0.125;0.175;0.909
ENST00000435853_90_90;0.288;0.173;0.0;0.0;0.0;0.293;0.081;0.0;0.0;0.081;0.571;1.0;0.217;0.458;0.0;0.22;0.0;0.0;0.0;0.364;0.0;0.35;0.176;0.081;0.591
ENST00000451076_90_90;0.135;0.175;0.0;0.0;0.0;0.219;0.0;0.125;0.0;0.0;0.2;0.217;1.0;0.05;0.0;0.189;0.0;0.0;0.0;0.219;0.0;0.05;0.273;0.062;0.208
ENST00000452101_90_90;0.173;0.059;0.0;0.0;0.0;0.243;0.222;0.0;0.0;0.222;0.542;0.458;0.05;1.0;0.0;0.068;0.0;0.0;0.0;0.273;0.0;0.714;0.062;0.0;0.455
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.333;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.75;1.0;0.026;0.026;0.026;0.568;0.0;0.054;0.027;0.0;0.295;0.22;0.189;0.068;0.0;1.0;0.024;0.024;0.024;0.583;0.024;0.056;0.171;0.714;0.288
ENSMUST00000113587_90_90;0.023;0.026;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.057;1.0;0.0;0.0;0.031;0.0
ENSMUST00000113588_90_90;0.023;0.026;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.057;1.0;0.0;0.0;0.031;0.0
ENSMUST00000113589_90_90;0.023;0.026;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.057;1.0;0.0;0.0;0.031;0.0
ENSMUST00000113590_90_90;0.636;0.568;0.062;0.062;0.062;1.0;0.167;0.062;0.0;0.167;0.576;0.364;0.219;0.273;0.0;0.583;0.057;0.057;0.057;1.0;0.057;0.214;0.2;0.435;0.525
ENSMUST00000122266_90_90;0.023;0.026;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.057;1.0;0.0;0.0;0.031;0.0
ENSMUST00000125306_90_90;0.318;0.062;0.0;0.0;0.0;0.243;0.714;0.0;0.0;0.714;0.417;0.35;0.05;0.714;0.0;0.056;0.0;0.0;0.0;0.214;0.0;1.0;0.045;0.0;0.5
ENSMUST00000132228_90_90;0.159;0.189;0.0;0.0;0.0;0.219;0.0;0.286;0.0;0.0;0.125;0.176;0.273;0.062;0.0;0.171;0.0;0.0;0.0;0.2;0.0;0.045;1.0;0.056;0.1
ENSMUST00000137868_90_90;0.568;0.73;0.036;0.036;0.036;0.405;0.0;0.036;0.037;0.0;0.175;0.081;0.062;0.0;0.0;0.714;0.031;0.031;0.031;0.435;0.031;0.0;0.056;1.0;0.188
ENSMUST00000148515_90_90;0.477;0.283;0.0;0.0;0.0;0.543;0.333;0.0;0.0;0.333;0.909;0.591;0.208;0.455;0.0;0.288;0.0;0.0;0.0;0.525;0.0;0.5;0.1;0.188;1.0
