;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;1.0;0.591;0.814;0.57;0.772;0.912;0.224;0.301;0.843;0.838;0.621;0.589;0.895;0.255;0.531;0.307
ENST00000379697_90_90;0.591;1.0;0.472;0.242;0.525;0.551;0.263;0.375;0.6;0.494;0.288;0.275;0.544;0.307;0.642;0.068
ENST00000379698_90_90;0.814;0.472;1.0;0.669;0.894;0.896;0.232;0.33;0.699;0.819;0.596;0.564;0.74;0.272;0.507;0.274
ENST00000379716_90_90;0.57;0.242;0.669;1.0;0.652;0.632;0.0;0.032;0.531;0.596;0.873;0.807;0.564;0.042;0.278;0.395
ENST00000379726_90_90;0.772;0.525;0.894;0.652;1.0;0.848;0.226;0.301;0.782;0.799;0.581;0.551;0.724;0.265;0.495;0.267
ENST00000397821_90_90;0.912;0.551;0.896;0.632;0.848;1.0;0.219;0.312;0.784;0.777;0.564;0.536;0.832;0.257;0.482;0.259
ENST00000431164_90_90;0.224;0.263;0.232;0.0;0.226;0.219;1.0;0.69;0.211;0.238;0.0;0.0;0.225;0.718;0.335;0.0
ENST00000432234_90_90;0.301;0.375;0.33;0.032;0.301;0.312;0.69;1.0;0.237;0.296;0.032;0.03;0.252;0.709;0.411;0.0
ENSMUST00000073094_90_90;0.843;0.6;0.699;0.531;0.782;0.784;0.211;0.237;1.0;0.842;0.593;0.564;0.938;0.294;0.544;0.295
ENSMUST00000080394_90_90;0.838;0.494;0.819;0.596;0.799;0.777;0.238;0.296;0.842;1.0;0.669;0.632;0.896;0.332;0.652;0.333
ENSMUST00000112451_90_90;0.621;0.288;0.596;0.873;0.581;0.564;0.0;0.032;0.593;0.669;1.0;0.92;0.632;0.042;0.335;0.489
ENSMUST00000112453_90_90;0.589;0.275;0.564;0.807;0.551;0.536;0.0;0.03;0.564;0.632;0.92;1.0;0.599;0.039;0.317;0.45
ENSMUST00000112456_90_90;0.895;0.544;0.74;0.564;0.724;0.832;0.225;0.252;0.938;0.896;0.632;0.599;1.0;0.313;0.578;0.314
ENSMUST00000123433_90_90;0.255;0.307;0.272;0.042;0.265;0.257;0.718;0.709;0.294;0.332;0.042;0.039;0.313;1.0;0.466;0.0
ENSMUST00000141354_90_90;0.531;0.642;0.507;0.278;0.495;0.482;0.335;0.411;0.544;0.652;0.335;0.317;0.578;0.466;1.0;0.08
ENSMUST00000152426_90_90;0.307;0.068;0.274;0.395;0.267;0.259;0.0;0.0;0.295;0.333;0.489;0.45;0.314;0.0;0.08;1.0
