;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;1.0;0.976;0.976;0.277;0.225;0.341;0.196;0.364;0.12;0.081;0.147;0.438;0.199;0.976;0.078;0.038;0.98;1.0;0.0
ENST00000299980_90_90;0.976;1.0;0.98;0.217;0.204;0.325;0.189;0.312;0.11;0.074;0.133;0.41;0.181;1.0;0.071;0.035;0.977;0.937;0.0
ENST00000393512_90_90;0.976;0.98;1.0;0.213;0.199;0.317;0.186;0.305;0.107;0.072;0.13;0.4;0.177;0.98;0.07;0.035;0.977;0.937;0.0
ENST00000450149_90_90;0.277;0.217;0.213;1.0;0.744;0.646;0.0;0.536;0.41;0.0;0.483;0.488;0.675;0.217;0.263;0.132;0.269;0.255;0.0
ENST00000563104_90_90;0.225;0.204;0.199;0.744;1.0;0.659;0.0;0.535;0.546;0.0;0.651;0.483;0.899;0.204;0.351;0.175;0.218;0.207;0.0
ENST00000563259_90_90;0.341;0.325;0.317;0.646;0.659;1.0;0.044;0.793;0.366;0.0;0.427;0.72;0.601;0.325;0.233;0.117;0.331;0.313;0.0
ENST00000564155_90_90;0.196;0.189;0.186;0.0;0.0;0.044;1.0;0.032;0.0;0.0;0.0;0.03;0.0;0.189;0.0;0.0;0.194;0.19;0.0
ENST00000565009_90_90;0.364;0.312;0.305;0.536;0.535;0.793;0.032;1.0;0.3;0.0;0.346;0.654;0.492;0.312;0.191;0.095;0.343;0.355;0.0
ENST00000565412_90_90;0.12;0.11;0.107;0.41;0.546;0.366;0.0;0.3;1.0;0.0;0.843;0.269;0.607;0.11;0.645;0.322;0.117;0.112;0.0
ENST00000566179_90_90;0.081;0.074;0.072;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.074;0.0;0.0;0.079;0.075;0.0
ENST00000567583_90_90;0.147;0.133;0.13;0.483;0.651;0.427;0.0;0.346;0.843;0.0;1.0;0.311;0.728;0.133;0.541;0.27;0.143;0.136;0.0
ENST00000568327_90_90;0.438;0.41;0.4;0.488;0.483;0.72;0.03;0.654;0.269;0.0;0.311;1.0;0.443;0.41;0.172;0.086;0.434;0.442;0.0
ENST00000569185_90_90;0.199;0.181;0.177;0.675;0.899;0.601;0.0;0.492;0.607;0.0;0.728;0.443;1.0;0.181;0.391;0.196;0.194;0.184;0.0
ENST00000569748_90_90;0.976;1.0;0.98;0.217;0.204;0.325;0.189;0.312;0.11;0.074;0.133;0.41;0.181;1.0;0.071;0.035;0.977;0.937;0.0
ENST00000569975_90_90;0.078;0.071;0.07;0.263;0.351;0.233;0.0;0.191;0.645;0.0;0.541;0.172;0.391;0.071;1.0;0.5;0.076;0.073;0.0
ENST00000570017_90_90;0.038;0.035;0.035;0.132;0.175;0.117;0.0;0.095;0.322;0.0;0.27;0.086;0.196;0.035;0.5;1.0;0.037;0.036;0.0
ENSMUST00000034171_90_90;0.98;0.977;0.977;0.269;0.218;0.331;0.194;0.343;0.117;0.079;0.143;0.434;0.194;0.977;0.076;0.037;1.0;0.947;0.0
ENSMUST00000093157_90_90;1.0;0.937;0.937;0.255;0.207;0.313;0.19;0.355;0.112;0.075;0.136;0.442;0.184;0.937;0.073;0.036;0.947;1.0;0.0
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
