;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;0.857;0.429;0.786;0.769;0.733;0.786;0.333;0.267;0.667
ENST00000306107_90_90;0.857;1.0;0.429;0.923;0.769;0.625;0.667;0.333;0.188;0.562
ENST00000465413_90_90;0.429;0.429;1.0;0.357;0.545;0.333;0.357;0.556;0.0;0.267
ENST00000472644_90_90;0.786;0.923;0.357;1.0;0.692;0.562;0.6;0.267;0.2;0.6
ENST00000486979_90_90;0.769;0.769;0.545;0.692;1.0;0.533;0.571;0.417;0.067;0.467
ENSMUST00000023312_90_90;0.733;0.625;0.333;0.562;0.533;1.0;0.786;0.429;0.357;0.923
ENSMUST00000164728_90_90;0.786;0.667;0.357;0.6;0.571;0.786;1.0;0.267;0.385;0.714
ENSMUST00000167115_90_90;0.333;0.333;0.556;0.267;0.417;0.429;0.267;1.0;0.0;0.357
ENSMUST00000168071_90_90;0.267;0.188;0.0;0.2;0.067;0.357;0.385;0.0;1.0;0.385
ENSMUST00000170035_90_90;0.667;0.562;0.267;0.6;0.467;0.923;0.714;0.357;0.385;1.0
