;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.458;0.826;0.136;0.048;0.696;0.619;0.286;0.143;0.762
ENST00000389900_90_90;0.458;1.0;0.591;0.125;0.071;0.684;0.421;0.25;0.133;0.364
ENST00000389902_90_90;0.826;0.591;1.0;0.087;0.048;0.857;0.545;0.227;0.143;0.682
ENST00000411812_90_90;0.136;0.125;0.087;1.0;0.25;0.1;0.214;0.429;0.4;0.176
ENST00000416985_90_90;0.048;0.071;0.048;0.25;1.0;0.056;0.077;0.167;0.333;0.062
ENST00000425013_90_90;0.696;0.684;0.857;0.1;0.056;1.0;0.632;0.2;0.167;0.545
ENSMUST00000053498_90_90;0.619;0.421;0.545;0.214;0.077;0.632;1.0;0.357;0.231;0.812
ENSMUST00000197296_90_90;0.286;0.25;0.227;0.429;0.167;0.2;0.357;1.0;0.286;0.375
ENSMUST00000200430_90_90;0.143;0.133;0.143;0.4;0.333;0.167;0.231;0.286;1.0;0.188
ENSMUST00000200607_90_90;0.762;0.364;0.682;0.176;0.062;0.545;0.812;0.375;0.188;1.0
