;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.553;0.912;0.912;0.912;0.0;0.912;0.912;0.912;0.0;0.065;0.258;0.0
ENSCAFT00000043849_90_90;0.553;1.0;0.647;0.647;0.647;0.0;0.647;0.647;0.647;0.0;0.0;0.0;0.0
ENST00000242480_90_90;0.912;0.647;1.0;0.961;1.0;0.195;1.0;0.959;0.918;0.041;0.219;0.37;0.137
ENST00000411732_90_90;0.912;0.647;0.961;1.0;0.961;0.156;0.959;1.0;0.957;0.014;0.211;0.366;0.143
ENST00000439032_90_90;0.912;0.647;1.0;0.961;1.0;0.195;1.0;0.959;0.918;0.041;0.219;0.37;0.137
ENST00000637191_90_90;0.0;0.0;0.195;0.156;0.195;1.0;0.192;0.151;0.11;0.214;0.667;0.414;0.714
ENSMUST00000048289_90_90;0.912;0.647;1.0;0.959;1.0;0.192;1.0;0.962;0.924;0.038;0.275;0.412;0.203
ENSMUST00000105438_90_90;0.912;0.647;0.959;1.0;0.959;0.151;0.962;1.0;0.961;0.013;0.269;0.41;0.211
ENSMUST00000127820_90_90;0.912;0.647;0.918;0.957;0.918;0.11;0.924;0.961;1.0;0.0;0.231;0.372;0.171
ENSMUST00000130933_90_90;0.0;0.0;0.041;0.014;0.041;0.214;0.038;0.013;0.0;1.0;0.083;0.057;0.056
ENSMUST00000145754_90_90;0.065;0.0;0.219;0.211;0.219;0.667;0.275;0.269;0.231;0.083;1.0;0.676;0.696
ENSMUST00000145936_90_90;0.258;0.0;0.37;0.366;0.37;0.414;0.412;0.41;0.372;0.057;0.676;1.0;0.471
ENSMUST00000146986_90_90;0.0;0.0;0.137;0.143;0.137;0.714;0.203;0.211;0.171;0.056;0.696;0.471;1.0
