;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;0.892;0.454;0.454;0.449;0.273;0.713;0.712;0.866;0.908;0.661;0.546;0.589;0.536;0.702;0.702;0.671;0.74;0.503;0.473;0.522;0.522;0.504;0.491;0.5
transcript9_ENSXMAG00000026005;0.892;1.0;0.602;0.602;0.521;0.381;0.709;0.71;0.83;0.974;0.764;0.865;0.72;0.867;0.796;0.798;0.764;0.781;0.716;0.635;0.866;0.866;0.716;0.716;0.729
transcript14_ENSAPOG00000016134;0.454;0.602;1.0;1.0;0.723;0.827;0.212;0.224;0.358;0.511;0.792;0.921;0.86;0.839;0.684;0.705;0.797;0.662;0.931;0.925;0.857;0.857;0.974;0.972;0.969
transcript14_ENSAPOG00000023408;0.454;0.602;1.0;1.0;0.723;0.827;0.212;0.224;0.358;0.511;0.792;0.921;0.86;0.839;0.684;0.705;0.797;0.662;0.931;0.918;0.857;0.857;0.974;0.972;0.969
transcript21_ENSAPOG00000016134;0.449;0.521;0.723;0.723;1.0;0.807;0.133;0.152;0.206;0.37;0.893;0.75;0.842;0.741;0.765;0.834;0.904;0.733;0.769;0.741;0.741;0.741;0.77;0.754;0.767
transcript21_ENSPNYG00000024266;0.273;0.381;0.827;0.827;0.807;1.0;0.042;0.047;0.059;0.145;0.728;0.808;0.753;0.743;0.593;0.644;0.74;0.601;0.853;0.83;0.766;0.766;0.853;0.842;0.852
transcript7_ENSAPOG00000023408;0.713;0.709;0.212;0.212;0.133;0.042;1.0;0.999;0.973;0.995;0.276;0.276;0.25;0.25;0.313;0.313;0.273;0.324;0.223;0.212;0.245;0.245;0.223;0.239;0.227
transcript7_ENSAOCG00000015695;0.712;0.71;0.224;0.224;0.152;0.047;0.999;1.0;0.961;0.997;0.31;0.31;0.279;0.278;0.325;0.325;0.308;0.336;0.245;0.23;0.271;0.271;0.245;0.264;0.249
transcript7_ENSPNYG00000024266;0.866;0.83;0.358;0.358;0.206;0.059;0.973;0.961;1.0;0.983;0.429;0.41;0.4;0.408;0.512;0.509;0.418;0.518;0.375;0.359;0.399;0.399;0.375;0.376;0.379
transcript7_ENSXMAG00000026005;0.908;0.974;0.511;0.511;0.37;0.145;0.995;0.997;0.983;1.0;0.685;0.803;0.637;0.805;0.721;0.723;0.685;0.704;0.631;0.546;0.804;0.804;0.631;0.631;0.646
transcript23_ENSAPOG00000023408;0.661;0.764;0.792;0.792;0.893;0.728;0.276;0.31;0.429;0.685;1.0;0.834;0.913;0.813;0.863;0.932;0.987;0.834;0.828;0.793;0.811;0.811;0.829;0.818;0.836
transcript23_ENSPNYG00000024266;0.546;0.865;0.921;0.921;0.75;0.808;0.276;0.31;0.41;0.803;0.834;1.0;0.853;0.962;0.699;0.755;0.836;0.688;0.948;0.924;0.984;0.984;0.949;0.949;0.95
transcript28_ENSAPOG00000023408;0.589;0.72;0.86;0.86;0.842;0.753;0.25;0.279;0.4;0.637;0.913;0.853;1.0;0.846;0.804;0.866;0.925;0.778;0.899;0.862;0.843;0.843;0.901;0.895;0.895
transcript28_ENSAOCG00000015695;0.536;0.867;0.839;0.839;0.741;0.743;0.25;0.278;0.408;0.805;0.813;0.962;0.846;1.0;0.701;0.75;0.819;0.677;0.901;0.859;0.98;0.98;0.901;0.894;0.902
transcript29_ENSAPOG00000023408;0.702;0.796;0.684;0.684;0.765;0.593;0.313;0.325;0.512;0.721;0.863;0.699;0.804;0.701;1.0;1.0;0.876;0.947;0.718;0.685;0.696;0.696;0.719;0.699;0.717
transcript29_ENSAOCG00000015695;0.702;0.798;0.705;0.705;0.834;0.644;0.313;0.325;0.509;0.723;0.932;0.755;0.866;0.75;1.0;1.0;0.951;0.947;0.765;0.724;0.743;0.743;0.766;0.749;0.765
transcript30_ENSAPOG00000023408;0.671;0.764;0.797;0.797;0.904;0.74;0.273;0.308;0.418;0.685;0.987;0.836;0.925;0.819;0.876;0.951;1.0;0.848;0.833;0.798;0.817;0.817;0.834;0.823;0.832
transcript31_ENSAPOG00000023408;0.74;0.781;0.662;0.662;0.733;0.601;0.324;0.336;0.518;0.704;0.834;0.688;0.778;0.677;0.947;0.947;0.848;1.0;0.695;0.663;0.671;0.671;0.696;0.674;0.691
