;ENSCAFT00000017839_90_90;ENSCAFT00000046942_90_90;ENST00000229395_90_90;ENST00000327214_90_90;ENST00000544111_90_90;ENST00000546072_90_90;ENSMUST00000037836_90_90;ENSMUST00000058245_90_90;ENSMUST00000067404_90_90;ENSMUST00000111663_90_90
ENSCAFT00000017839_90_90;1.0;0.841;0.722;0.872;0.265;0.561;0.561;0.561;0.872;0.722
ENSCAFT00000046942_90_90;0.841;1.0;0.897;0.722;0.218;0.737;0.737;0.737;0.722;0.897
ENST00000229395_90_90;0.722;0.897;1.0;0.825;0.218;0.548;0.585;0.585;0.797;0.998
ENST00000327214_90_90;0.872;0.722;0.825;1.0;0.265;0.402;0.426;0.426;0.997;0.797
ENST00000544111_90_90;0.265;0.218;0.218;0.265;1.0;0.274;0.274;0.274;0.306;0.243
ENST00000546072_90_90;0.561;0.737;0.548;0.402;0.274;1.0;1.0;1.0;0.425;0.584
ENSMUST00000037836_90_90;0.561;0.737;0.585;0.426;0.274;1.0;1.0;1.0;0.402;0.548
ENSMUST00000058245_90_90;0.561;0.737;0.585;0.426;0.274;1.0;1.0;1.0;0.402;0.548
ENSMUST00000067404_90_90;0.872;0.722;0.797;0.997;0.306;0.425;0.402;0.402;1.0;0.825
ENSMUST00000111663_90_90;0.722;0.897;0.998;0.797;0.243;0.584;0.548;0.548;0.825;1.0
