;transcript8_ENSMSIG00000000513;transcript47_MGP-SPRETEiJ-G0021131;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript47_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript42_ENSRNOG00000031503;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;0.125;1.0;0.958;0.125;0.917;0.792;0.093;0.12;0.137;0.138;0.175;0.145;0.154;0.138;0.153;0.148;0.164;0.126
transcript47_MGP-SPRETEiJ-G0021131;0.125;1.0;0.125;0.083;1.0;0.042;0.158;0.021;0.017;0.017;0.017;0.022;0.018;0.021;0.019;0.021;0.02;0.023;0.016
transcript8_ENSMUSG00000054036;1.0;0.125;1.0;0.958;0.125;0.917;0.792;0.093;0.12;0.137;0.138;0.175;0.145;0.154;0.138;0.153;0.148;0.164;0.126
transcript42_ENSMUSG00000054036;0.958;0.083;0.958;1.0;0.083;0.957;0.75;0.093;0.121;0.131;0.132;0.168;0.139;0.147;0.132;0.146;0.141;0.157;0.121
transcript47_ENSMUSG00000054036;0.125;1.0;0.125;0.083;1.0;0.042;0.158;0.021;0.017;0.017;0.017;0.022;0.018;0.021;0.019;0.021;0.02;0.023;0.016
transcript54_ENSMUSG00000054036;0.917;0.042;0.917;0.957;0.042;1.0;0.708;0.084;0.113;0.126;0.126;0.161;0.133;0.14;0.126;0.139;0.134;0.149;0.116
transcript55_ENSMUSG00000054036;0.792;0.158;0.792;0.75;0.158;0.708;1.0;0.066;0.098;0.109;0.109;0.139;0.115;0.127;0.114;0.126;0.122;0.135;0.1
transcript8_ENSRNOG00000031503;0.093;0.021;0.093;0.093;0.021;0.084;0.066;1.0;0.795;0.47;0.464;0.375;0.447;0.358;0.402;0.364;0.377;0.353;0.495
transcript42_ENSRNOG00000031503;0.12;0.017;0.12;0.121;0.017;0.113;0.098;0.795;1.0;0.59;0.585;0.506;0.57;0.452;0.492;0.458;0.469;0.45;0.611
transcript7_ENSMUGG00000013649;0.137;0.017;0.137;0.131;0.017;0.126;0.109;0.47;0.59;1.0;0.994;0.783;0.943;0.806;0.897;0.811;0.84;0.754;0.921
transcript44_ENSMUGG00000013649;0.138;0.017;0.138;0.132;0.017;0.126;0.109;0.464;0.585;0.994;1.0;0.787;0.948;0.8;0.891;0.806;0.834;0.749;0.916
transcript47_ENSMUGG00000013649;0.175;0.022;0.175;0.168;0.022;0.161;0.139;0.375;0.506;0.783;0.787;1.0;0.736;0.616;0.709;0.622;0.651;0.564;0.721
transcript48_ENSMUGG00000013649;0.145;0.018;0.145;0.139;0.018;0.133;0.115;0.447;0.57;0.943;0.948;0.736;1.0;0.759;0.851;0.764;0.793;0.707;0.868
transcript7_ENSMUGG00000013592;0.154;0.021;0.154;0.147;0.021;0.14;0.127;0.358;0.452;0.806;0.8;0.616;0.759;1.0;0.898;0.993;0.834;0.739;0.742
transcript28_ENSMUGG00000013592;0.138;0.019;0.138;0.132;0.019;0.126;0.114;0.402;0.492;0.897;0.891;0.709;0.851;0.898;1.0;0.904;0.936;0.841;0.826
transcript52_ENSMUGG00000013592;0.153;0.021;0.153;0.146;0.021;0.139;0.126;0.364;0.458;0.811;0.806;0.622;0.764;0.993;0.904;1.0;0.841;0.745;0.747
transcript53_ENSMUGG00000013592;0.148;0.02;0.148;0.141;0.02;0.134;0.122;0.377;0.469;0.84;0.834;0.651;0.793;0.834;0.936;0.841;1.0;0.777;0.774
transcript54_ENSMUGG00000013592;0.164;0.023;0.164;0.157;0.023;0.149;0.135;0.353;0.45;0.754;0.749;0.564;0.707;0.739;0.841;0.745;0.777;1.0;0.695
transcript25_ENSPEMG00000024651;0.126;0.016;0.126;0.121;0.016;0.116;0.1;0.495;0.611;0.921;0.916;0.721;0.868;0.742;0.826;0.747;0.774;0.695;1.0
