;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.981;0.981;0.725;0.773;0.773;0.72;0.444;0.676;0.559;0.389;0.981;0.321;0.878;0.321;0.487;0.291;0.389;0.419;0.695;0.118;0.69;0.981;0.182;0.45;0.066;0.081;0.081;0.068;0.0;0.028;0.0;0.072;0.081
ENST00000264312_90_90;0.981;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.051;0.063;0.063;0.053;0.0;0.024;0.0;0.058;0.063
ENST00000381473_90_90;0.981;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.051;0.063;0.063;0.053;0.0;0.024;0.0;0.058;0.063
ENST00000396448_90_90;0.725;0.73;0.73;1.0;0.918;0.918;0.539;0.59;0.775;0.646;0.519;0.73;0.43;0.622;0.43;0.64;0.39;0.519;0.551;0.922;0.155;0.914;0.73;0.246;0.599;0.06;0.075;0.075;0.064;0.0;0.029;0.0;0.07;0.075
ENST00000425583_90_90;0.773;0.792;0.792;0.918;1.0;1.0;0.524;0.569;0.749;0.722;0.5;0.792;0.414;0.682;0.414;0.617;0.376;0.5;0.531;0.888;0.149;0.881;0.792;0.237;0.577;0.059;0.074;0.074;0.062;0.0;0.028;0.0;0.068;0.074
ENST00000444354_90_90;0.773;0.792;0.792;0.918;1.0;1.0;0.524;0.569;0.749;0.722;0.5;0.792;0.414;0.682;0.414;0.617;0.376;0.5;0.531;0.888;0.149;0.881;0.792;0.237;0.577;0.059;0.074;0.074;0.062;0.0;0.028;0.0;0.068;0.074
ENST00000503016_90_90;0.72;0.732;0.732;0.539;0.524;0.524;1.0;0.241;0.687;0.672;0.184;0.732;0.113;0.823;0.113;0.667;0.081;0.184;0.574;0.507;0.0;0.501;0.732;0.0;0.249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000504654_90_90;0.444;0.45;0.45;0.59;0.569;0.569;0.241;1.0;0.426;0.29;0.879;0.45;0.728;0.34;0.728;0.324;0.662;0.879;0.359;0.64;0.263;0.645;0.45;0.417;0.985;0.079;0.101;0.101;0.085;0.0;0.04;0.0;0.097;0.101
ENST00000505922_90_90;0.676;0.688;0.688;0.775;0.749;0.749;0.687;0.426;1.0;0.712;0.358;0.688;0.273;0.774;0.273;0.709;0.235;0.358;0.611;0.743;0.108;0.736;0.688;0.099;0.434;0.064;0.068;0.068;0.068;0.0;0.031;0.0;0.075;0.068
ENST00000506801_90_90;0.559;0.571;0.571;0.646;0.722;0.722;0.672;0.29;0.712;1.0;0.222;0.571;0.136;0.642;0.136;0.855;0.098;0.222;0.736;0.61;0.0;0.603;0.571;0.0;0.299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
