;ENSCAFT00000030055_90_90;ENST00000345434_90_90;ENST00000370674_90_90;ENST00000370676_90_90;ENST00000370683_90_90;ENST00000370690_90_90;ENST00000394153_90_90;ENST00000394155_90_90;ENST00000420362_90_90;ENST00000434885_90_90;ENST00000449474_90_90;ENST00000452016_90_90;ENST00000456445_90_90;ENST00000458357_90_90;ENST00000535737_90_90;ENST00000539015_90_90;ENST00000543669_90_90;ENST00000618438_90_90;ENST00000625935_90_90;ENST00000627383_90_90;ENST00000627578_90_90;ENST00000627812_90_90;ENST00000628032_90_90;ENST00000628443_90_90;ENST00000628568_90_90;ENST00000628919_90_90;ENST00000629039_90_90;ENST00000630084_90_90;ENST00000630278_90_90;ENSMUST00000023854_90_90;ENSMUST00000114768_90_90;ENSMUST00000114769_90_90;ENSMUST00000114772_90_90;ENSMUST00000114773_90_90;ENSMUST00000116596_90_90;ENSMUST00000144600_90_90;ENSMUST00000151033_90_90;ENSMUST00000155882_90_90
ENSCAFT00000030055_90_90;1.0;0.734;0.83;0.613;0.895;0.888;0.888;0.734;0.649;0.698;0.412;0.698;0.673;0.501;0.888;0.875;0.888;0.598;0.053;0.386;0.476;0.155;0.578;0.445;0.888;0.351;0.888;0.888;0.219;0.888;0.613;0.698;0.895;0.875;0.888;0.756;0.26;0.188
ENST00000345434_90_90;0.734;1.0;0.828;0.591;0.734;0.782;0.782;1.0;0.65;0.702;0.409;0.702;0.675;0.502;0.782;0.721;0.782;0.634;0.053;0.381;0.474;0.149;0.581;0.443;0.782;0.345;0.782;0.782;0.215;0.782;0.591;0.954;0.734;0.721;0.782;0.759;0.258;0.184
ENST00000370674_90_90;0.83;0.828;1.0;0.673;0.869;0.935;0.935;0.828;0.747;0.803;0.474;0.803;0.774;0.576;0.935;0.851;0.935;0.727;0.061;0.444;0.546;0.178;0.665;0.512;0.935;0.403;0.935;0.935;0.252;0.935;0.673;0.828;0.869;0.851;0.935;0.823;0.298;0.216
ENST00000370676_90_90;0.613;0.591;0.673;1.0;0.702;0.632;0.632;0.591;0.671;0.633;0.586;0.633;0.652;0.713;0.632;0.633;0.632;0.899;0.075;0.548;0.676;0.22;0.736;0.633;0.632;0.498;0.632;0.632;0.31;0.632;1.0;0.591;0.702;0.633;0.632;0.561;0.368;0.267
ENST00000370683_90_90;0.895;0.734;0.869;0.702;1.0;0.929;0.929;0.734;0.649;0.698;0.412;0.698;0.673;0.501;0.929;0.915;0.929;0.632;0.053;0.386;0.476;0.155;0.578;0.445;0.929;0.351;0.929;0.929;0.219;0.929;0.702;0.734;1.0;0.915;0.929;0.721;0.26;0.188
ENST00000370690_90_90;0.888;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.782;0.929;0.909;1.0;0.772;0.278;0.202
ENST00000394153_90_90;0.888;0.782;0.935;0.632;0.929;1.0;1.0;0.782;0.699;0.751;0.443;0.751;0.724;0.539;1.0;0.909;1.0;0.68;0.058;0.413;0.51;0.165;0.622;0.478;1.0;0.376;1.0;1.0;0.235;1.0;0.632;0.782;0.929;0.909;1.0;0.772;0.278;0.202
ENST00000394155_90_90;0.734;1.0;0.828;0.591;0.734;0.782;0.782;1.0;0.65;0.702;0.409;0.702;0.675;0.502;0.782;0.721;0.782;0.634;0.053;0.381;0.474;0.149;0.581;0.443;0.782;0.345;0.782;0.782;0.215;0.782;0.591;0.954;0.734;0.721;0.782;0.759;0.258;0.184
ENST00000420362_90_90;0.649;0.65;0.747;0.671;0.649;0.699;0.699;0.65;1.0;0.93;0.63;0.93;0.964;0.772;0.699;0.635;0.699;0.736;0.081;0.589;0.73;0.233;0.893;0.683;0.699;0.533;0.699;0.699;0.334;0.699;0.671;0.65;0.649;0.635;0.699;0.804;0.397;0.285
ENST00000434885_90_90;0.698;0.702;0.803;0.633;0.698;0.751;0.751;0.702;0.93;1.0;0.59;1.0;0.965;0.718;0.751;0.683;0.751;0.69;0.076;0.552;0.68;0.222;0.828;0.637;0.751;0.502;0.751;0.751;0.313;0.751;0.633;0.702;0.698;0.683;0.751;0.863;0.371;0.269
