;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.667;0.133;0.733;0.533;0.2;0.4;0.6;0.6;0.267;0.8;0.9;0.6;0.9
ENST00000295894_90_90;0.667;1.0;0.167;0.846;0.818;0.25;0.188;0.75;0.833;0.455;0.667;0.909;0.636;0.818
ENST00000450542_90_90;0.133;0.167;1.0;0.143;0.2;0.167;0.0;0.3;0.167;0.0;0.2;0.083;0.25;0.2
ENST00000460711_90_90;0.733;0.846;0.143;1.0;0.692;0.214;0.167;0.643;0.714;0.385;0.667;0.909;0.636;0.818
ENST00000465156_90_90;0.533;0.818;0.2;0.692;1.0;0.182;0.214;0.583;0.667;0.4;0.5;0.727;0.778;0.636
ENST00000468110_90_90;0.2;0.25;0.167;0.214;0.182;1.0;0.091;0.4;0.25;0.5;0.444;0.273;0.222;0.3
ENST00000472899_90_90;0.4;0.188;0.0;0.167;0.214;0.091;1.0;0.059;0.188;0.3;0.091;0.3;0.429;0.091
ENST00000478300_90_90;0.6;0.75;0.3;0.643;0.583;0.4;0.059;1.0;0.615;0.25;0.9;0.667;0.417;0.9
ENST00000479198_90_90;0.6;0.833;0.167;0.714;0.667;0.25;0.188;0.615;1.0;0.455;0.583;0.818;0.7;0.727
ENST00000498449_90_90;0.267;0.455;0.0;0.385;0.4;0.5;0.3;0.25;0.455;1.0;0.273;0.5;0.5;0.273
ENSMUST00000070323_90_90;0.8;0.667;0.2;0.667;0.5;0.444;0.091;0.9;0.583;0.273;1.0;0.75;0.357;0.692
ENSMUST00000112656_90_90;0.9;0.909;0.083;0.909;0.727;0.273;0.3;0.667;0.818;0.5;0.75;1.0;0.538;0.643
ENSMUST00000153954_90_90;0.6;0.636;0.25;0.636;0.778;0.222;0.429;0.417;0.7;0.5;0.357;0.538;1.0;0.5
ENSMUST00000223583_90_90;0.9;0.818;0.2;0.818;0.636;0.3;0.091;0.9;0.727;0.273;0.692;0.643;0.5;1.0
