;ENSCAFT00000014154_90_90;ENST00000426335_90_90;ENST00000524586_90_90;ENST00000524782_90_90;ENST00000525314_90_90;ENST00000525398_90_90;ENST00000526342_90_90;ENST00000527776_90_90;ENST00000527927_90_90;ENST00000528041_90_90;ENST00000528444_90_90;ENST00000528708_90_90;ENST00000529439_90_90;ENST00000529455_90_90;ENST00000530596_90_90;ENST00000532438_90_90;ENST00000532478_90_90;ENST00000533243_90_90;ENST00000627920_90_90;ENST00000629231_90_90;ENSMUST00000028691_90_90;ENSMUST00000080008_90_90
ENSCAFT00000014154_90_90;1.0;0.711;0.138;0.789;0.432;0.524;0.193;0.305;0.397;0.149;0.367;0.0;0.0;0.199;0.277;0.129;0.227;0.1;0.54;0.1;0.891;0.901
ENST00000426335_90_90;0.711;1.0;0.235;0.889;0.486;0.605;0.325;0.323;0.561;0.27;0.413;0.035;0.017;0.31;0.32;0.251;0.212;0.221;0.724;0.221;0.675;0.699
ENST00000524586_90_90;0.138;0.235;1.0;0.209;0.318;0.271;0.421;0.0;0.395;0.463;0.336;0.075;0.038;0.579;0.405;0.867;0.268;0.584;0.321;0.584;0.105;0.109
ENST00000524782_90_90;0.789;0.889;0.209;1.0;0.591;0.712;0.288;0.296;0.499;0.259;0.516;0.029;0.014;0.293;0.43;0.22;0.323;0.192;0.647;0.192;0.752;0.779
ENST00000525314_90_90;0.432;0.486;0.318;0.591;1.0;0.76;0.217;0.0;0.291;0.402;0.764;0.036;0.018;0.463;0.66;0.336;0.486;0.289;0.254;0.289;0.44;0.404
ENST00000525398_90_90;0.524;0.605;0.271;0.712;0.76;1.0;0.194;0.047;0.43;0.34;0.719;0.034;0.017;0.39;0.561;0.285;0.416;0.247;0.369;0.247;0.495;0.514
ENST00000526342_90_90;0.193;0.325;0.421;0.288;0.217;0.194;1.0;0.231;0.438;0.465;0.23;0.097;0.049;0.374;0.31;0.483;0.138;0.559;0.453;0.559;0.157;0.162
ENST00000527776_90_90;0.305;0.323;0.0;0.296;0.0;0.047;0.231;1.0;0.253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.432;0.0;0.299;0.31
ENST00000527927_90_90;0.397;0.561;0.395;0.499;0.291;0.43;0.438;0.253;1.0;0.299;0.246;0.059;0.03;0.362;0.277;0.438;0.181;0.392;0.781;0.392;0.353;0.365
ENST00000528041_90_90;0.149;0.27;0.463;0.259;0.402;0.34;0.465;0.0;0.299;1.0;0.427;0.091;0.045;0.717;0.607;0.52;0.395;0.607;0.248;0.607;0.114;0.118
ENST00000528444_90_90;0.367;0.413;0.336;0.516;0.764;0.719;0.23;0.0;0.246;0.427;1.0;0.039;0.019;0.492;0.702;0.356;0.518;0.268;0.214;0.268;0.343;0.356
ENST00000528708_90_90;0.0;0.035;0.075;0.029;0.036;0.034;0.097;0.0;0.059;0.091;0.039;1.0;0.804;0.084;0.056;0.093;0.07;0.112;0.05;0.112;0.0;0.0
ENST00000529439_90_90;0.0;0.017;0.038;0.014;0.018;0.017;0.049;0.0;0.03;0.045;0.019;0.804;1.0;0.042;0.028;0.046;0.035;0.056;0.026;0.056;0.0;0.0
ENST00000529455_90_90;0.199;0.31;0.579;0.293;0.463;0.39;0.374;0.0;0.362;0.717;0.492;0.084;0.042;1.0;0.623;0.647;0.534;0.476;0.297;0.476;0.162;0.168
ENST00000530596_90_90;0.277;0.32;0.405;0.43;0.66;0.561;0.31;0.0;0.277;0.607;0.702;0.056;0.028;0.623;1.0;0.439;0.616;0.378;0.235;0.378;0.238;0.247
ENST00000532438_90_90;0.129;0.251;0.867;0.22;0.336;0.285;0.483;0.0;0.438;0.52;0.356;0.093;0.046;0.647;0.439;1.0;0.292;0.667;0.352;0.667;0.095;0.098
ENST00000532478_90_90;0.227;0.212;0.268;0.323;0.486;0.416;0.138;0.0;0.181;0.395;0.518;0.07;0.035;0.534;0.616;0.292;1.0;0.165;0.153;0.165;0.204;0.213
ENST00000533243_90_90;0.1;0.221;0.584;0.192;0.289;0.247;0.559;0.0;0.392;0.607;0.268;0.112;0.056;0.476;0.378;0.667;0.165;1.0;0.316;1.0;0.067;0.07
ENST00000627920_90_90;0.54;0.724;0.321;0.647;0.254;0.369;0.453;0.432;0.781;0.248;0.214;0.05;0.026;0.297;0.235;0.352;0.153;0.316;1.0;0.316;0.49;0.508
ENST00000629231_90_90;0.1;0.221;0.584;0.192;0.289;0.247;0.559;0.0;0.392;0.607;0.268;0.112;0.056;0.476;0.378;0.667;0.165;1.0;0.316;1.0;0.067;0.07
ENSMUST00000028691_90_90;0.891;0.675;0.105;0.752;0.44;0.495;0.157;0.299;0.353;0.114;0.343;0.0;0.0;0.162;0.238;0.095;0.204;0.067;0.49;0.067;1.0;0.956
ENSMUST00000080008_90_90;0.901;0.699;0.109;0.779;0.404;0.514;0.162;0.31;0.365;0.118;0.356;0.0;0.0;0.168;0.247;0.098;0.213;0.07;0.508;0.07;0.956;1.0
