id_transcript;id_transcript;orthologs
ENSCAFT00000027249_90_90;ENSCAFT00000027249_90_90;null
ENSCAFT00000027252_90_90;ENSCAFT00000027252_90_90;null
ENST00000327028_90_90;ENST00000327028_90_90;null
ENST00000343765_90_90;ENST00000343765_90_90;ENSMUST00000072744_90_90
ENST00000448935_90_90;ENST00000448935_90_90;null
ENST00000553888_90_90;ENST00000553888_90_90;ENSMUST00000072744_90_90
ENST00000556412_90_90;ENST00000556412_90_90;null
ENST00000557466_90_90;ENST00000557466_90_90;null
ENST00000557658_90_90;ENST00000557658_90_90;ENSMUST00000072744_90_90
ENSMUST00000021426_90_90;ENSMUST00000021426_90_90;null
ENSMUST00000072744_90_90;ENSMUST00000072744_90_90;ENST00000343765_90_90:ENST00000553888_90_90:ENST00000557658_90_90
ENSMUST00000179379_90_90;ENSMUST00000179379_90_90;null
