;transcript6_ENSMPUG00000020072;transcript8_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript8_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.601;0.899;0.999;0.908;0.928;0.88;0.88;0.669;0.839;0.842;0.928;0.669;0.669;0.823;0.88
transcript8_ENSMPUG00000020072;0.601;1.0;0.552;0.6;0.579;0.556;0.561;0.561;0.469;0.512;0.515;0.556;0.469;0.469;0.498;0.561
transcript10_ENSMPUG00000020072;0.899;0.552;1.0;0.899;0.862;0.841;0.884;0.884;0.625;0.928;0.93;0.841;0.625;0.625;0.826;0.884
transcript13_ENSMPUG00000020072;0.999;0.6;0.899;1.0;0.907;0.927;0.879;0.879;0.67;0.839;0.841;0.927;0.67;0.67;0.822;0.879
transcript4_ENSECAG00000007947;0.908;0.579;0.862;0.907;1.0;0.978;0.975;0.975;0.733;0.926;0.928;0.978;0.733;0.733;0.906;0.975
transcript6_ENSECAG00000007947;0.928;0.556;0.841;0.927;0.978;1.0;0.953;0.953;0.71;0.904;0.907;1.0;0.71;0.71;0.885;0.953
transcript7_ENSECAG00000007947;0.88;0.561;0.884;0.879;0.975;0.953;1.0;1.0;0.713;0.952;0.954;0.953;0.713;0.713;0.932;1.0
transcript8_ENSECAG00000007947;0.88;0.561;0.884;0.879;0.975;0.953;1.0;1.0;0.713;0.952;0.954;0.953;0.713;0.713;0.932;1.0
transcript14_ENSECAG00000007947;0.669;0.469;0.625;0.67;0.733;0.71;0.713;0.713;1.0;0.658;0.661;0.71;1.0;1.0;0.641;0.713
transcript15_ENSECAG00000007947;0.839;0.512;0.928;0.839;0.926;0.904;0.952;0.952;0.658;1.0;0.998;0.904;0.658;0.658;0.883;0.952
transcript16_ENSECAG00000007947;0.842;0.515;0.93;0.841;0.928;0.907;0.954;0.954;0.661;0.998;1.0;0.907;0.661;0.661;0.885;0.954
transcript17_ENSECAG00000007947;0.928;0.556;0.841;0.927;0.978;1.0;0.953;0.953;0.71;0.904;0.907;1.0;0.71;0.71;0.885;0.953
transcript18_ENSECAG00000007947;0.669;0.469;0.625;0.67;0.733;0.71;0.713;0.713;1.0;0.658;0.661;0.71;1.0;1.0;0.641;0.713
transcript19_ENSECAG00000007947;0.669;0.469;0.625;0.67;0.733;0.71;0.713;0.713;1.0;0.658;0.661;0.71;1.0;1.0;0.641;0.713
transcript20_ENSECAG00000007947;0.823;0.498;0.826;0.822;0.906;0.885;0.932;0.932;0.641;0.883;0.885;0.885;0.641;0.641;1.0;0.932
transcript21_ENSECAG00000007947;0.88;0.561;0.884;0.879;0.975;0.953;1.0;1.0;0.713;0.952;0.954;0.953;0.713;0.713;0.932;1.0
