;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;0.921;0.1;0.807;0.588;0.064;0.055;0.767;0.891;0.767
ENST00000308664_90_90;0.921;1.0;0.1;0.868;0.637;0.064;0.097;0.818;0.961;0.818
ENST00000377685_90_90;0.1;0.1;1.0;0.093;0.0;0.0;0.0;0.084;0.095;0.084
ENST00000539276_90_90;0.807;0.868;0.093;1.0;0.755;0.059;0.09;0.932;0.841;0.932
ENST00000548169_90_90;0.588;0.637;0.0;0.755;1.0;0.086;0.133;0.713;0.622;0.713
ENST00000552636_90_90;0.064;0.064;0.0;0.059;0.086;1.0;0.0;0.055;0.06;0.055
ENST00000553144_90_90;0.055;0.097;0.0;0.09;0.133;0.0;1.0;0.082;0.091;0.082
ENSMUST00000031423_90_90;0.767;0.818;0.084;0.932;0.713;0.055;0.082;1.0;0.849;1.0
ENSMUST00000177974_90_90;0.891;0.961;0.095;0.841;0.622;0.06;0.091;0.849;1.0;0.849
ENSMUST00000179939_90_90;0.767;0.818;0.084;0.932;0.713;0.055;0.082;1.0;0.849;1.0
