;transcript9_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript27_ENSHGLG00100003156;transcript32_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript43_ENSHGLG00000019563;transcript8_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript33_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;0.878;1.0;0.909;0.83;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript14_ENSHGLG00100003156;0.878;1.0;0.878;0.966;0.946;0.878;0.897;0.878;0.897;0.884;0.841;0.878;0.878;0.878
transcript20_ENSHGLG00100003156;1.0;0.878;1.0;0.909;0.83;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript27_ENSHGLG00100003156;0.909;0.966;0.909;1.0;0.913;0.909;0.929;0.909;0.929;0.901;0.872;0.909;0.909;0.909
transcript32_ENSHGLG00100003156;0.83;0.946;0.83;0.913;1.0;0.83;0.849;0.83;0.849;0.837;0.793;0.83;0.83;0.83
transcript20_ENSHGLG00000019563;1.0;0.878;1.0;0.909;0.83;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript26_ENSHGLG00000019563;0.979;0.897;0.979;0.929;0.849;0.979;1.0;0.979;1.0;0.971;0.941;0.979;0.979;0.979
transcript28_ENSHGLG00000019563;1.0;0.878;1.0;0.909;0.83;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript40_ENSHGLG00000019563;0.979;0.897;0.979;0.929;0.849;0.979;1.0;0.979;1.0;0.971;0.941;0.979;0.979;0.979
transcript43_ENSHGLG00000019563;0.992;0.884;0.992;0.901;0.837;0.992;0.971;0.992;0.971;1.0;0.955;0.992;0.992;0.992
transcript8_ENSHGLG00100006079;0.963;0.841;0.963;0.872;0.793;0.963;0.941;0.963;0.941;0.955;1.0;0.963;0.963;0.963
transcript9_ENSHGLG00100006079;1.0;0.878;1.0;0.909;0.83;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript22_ENSHGLG00100006079;1.0;0.878;1.0;0.909;0.83;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
transcript33_ENSHGLG00100006079;1.0;0.878;1.0;0.909;0.83;1.0;0.979;1.0;0.979;0.992;0.963;1.0;1.0;1.0
