;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.973;0.947;0.961;0.07;0.29;0.003;0.115;0.9;0.93;0.937;0.201;0.403
ENSCAFT00000042737_90_90;0.973;1.0;0.959;0.987;0.075;0.298;0.007;0.114;0.923;0.934;0.961;0.197;0.414
ENST00000373836_90_90;0.947;0.959;1.0;0.971;0.067;0.286;0.0;0.137;0.895;0.954;0.932;0.217;0.396
ENST00000373839_90_90;0.961;0.987;0.971;1.0;0.075;0.3;0.007;0.114;0.922;0.932;0.96;0.198;0.412
ENST00000493669_90_90;0.07;0.075;0.067;0.075;1.0;0.277;0.054;0.499;0.079;0.071;0.076;0.298;0.175
ENST00000632202_90_90;0.29;0.298;0.286;0.3;0.277;1.0;0.021;0.385;0.251;0.277;0.289;0.609;0.522
ENST00000632421_90_90;0.003;0.007;0.0;0.007;0.054;0.021;1.0;0.0;0.008;0.0;0.007;0.0;0.016
ENST00000633167_90_90;0.115;0.114;0.137;0.114;0.499;0.385;0.0;1.0;0.081;0.136;0.116;0.375;0.167
ENSMUST00000084170_90_90;0.9;0.923;0.895;0.922;0.079;0.251;0.008;0.081;1.0;0.933;0.961;0.209;0.447
ENSMUST00000084249_90_90;0.93;0.934;0.954;0.932;0.071;0.277;0.0;0.136;0.933;1.0;0.971;0.224;0.413
ENSMUST00000102568_90_90;0.937;0.961;0.932;0.96;0.076;0.289;0.007;0.116;0.961;0.971;1.0;0.201;0.429
ENSMUST00000136711_90_90;0.201;0.197;0.217;0.198;0.298;0.609;0.0;0.375;0.209;0.224;0.201;1.0;0.454
ENSMUST00000152271_90_90;0.403;0.414;0.396;0.412;0.175;0.522;0.016;0.167;0.447;0.413;0.429;0.454;1.0
