;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;0.866;0.907;0.929;0.127;0.036;0.11;0.256;0.694;0.054;0.347;0.948;0.959;0.948;0.959;0.948;0.959;0.929;0.906
ENSCAFT00000021670_90_90;0.866;1.0;0.784;0.781;0.158;0.048;0.104;0.231;0.587;0.055;0.346;0.866;0.866;0.866;0.866;0.866;0.866;0.792;0.808
ENST00000265969_90_90;0.907;0.784;1.0;0.833;0.123;0.123;0.098;0.231;0.708;0.048;0.459;0.752;0.744;0.752;0.748;0.756;0.748;0.84;1.0
ENST00000379472_90_90;0.929;0.781;0.833;1.0;0.12;0.033;0.102;0.247;0.611;0.051;0.321;0.847;0.837;0.847;0.837;0.847;0.837;1.0;0.839
ENST00000638366_90_90;0.127;0.158;0.123;0.12;1.0;0.16;0.418;0.348;0.15;0.215;0.264;0.13;0.129;0.13;0.129;0.13;0.129;0.123;0.129
ENST00000638825_90_90;0.036;0.048;0.123;0.033;0.16;1.0;0.129;0.09;0.15;0.176;0.268;0.035;0.035;0.035;0.035;0.035;0.035;0.033;0.117
ENST00000639325_90_90;0.11;0.104;0.098;0.102;0.418;0.129;1.0;0.486;0.206;0.544;0.213;0.11;0.108;0.11;0.108;0.11;0.108;0.109;0.103
ENST00000639495_90_90;0.256;0.231;0.231;0.247;0.348;0.09;0.486;1.0;0.35;0.323;0.498;0.241;0.238;0.241;0.238;0.241;0.238;0.26;0.243
ENST00000640318_90_90;0.694;0.587;0.708;0.611;0.15;0.15;0.206;0.35;1.0;0.116;0.498;0.577;0.57;0.577;0.573;0.58;0.573;0.654;0.75
ENST00000640461_90_90;0.054;0.055;0.048;0.051;0.215;0.176;0.544;0.323;0.116;1.0;0.104;0.057;0.057;0.057;0.057;0.057;0.057;0.053;0.051
ENST00000640909_90_90;0.347;0.346;0.459;0.321;0.264;0.268;0.213;0.498;0.498;0.104;1.0;0.314;0.309;0.314;0.312;0.316;0.312;0.323;0.454
ENST00000302127_90_90;0.948;0.866;0.752;0.847;0.13;0.035;0.11;0.241;0.577;0.057;0.314;1.0;0.964;1.0;0.964;1.0;0.964;0.847;0.751
ENST00000315987_90_90;0.959;0.866;0.744;0.837;0.129;0.035;0.108;0.238;0.57;0.057;0.309;0.964;1.0;0.964;1.0;0.964;1.0;0.836;0.743
ENST00000369697_90_90;0.948;0.866;0.752;0.847;0.13;0.035;0.11;0.241;0.577;0.057;0.314;1.0;0.964;1.0;0.964;1.0;0.964;0.847;0.751
ENSMUST00000079169_90_90;0.959;0.866;0.748;0.837;0.129;0.035;0.108;0.238;0.573;0.057;0.312;0.964;1.0;0.964;1.0;0.964;1.0;0.836;0.748
ENSMUST00000098761_90_90;0.948;0.866;0.756;0.847;0.13;0.035;0.11;0.241;0.58;0.057;0.316;1.0;0.964;1.0;0.964;1.0;0.964;0.847;0.756
ENSMUST00000118360_90_90;0.959;0.866;0.748;0.837;0.129;0.035;0.108;0.238;0.573;0.057;0.312;0.964;1.0;0.964;1.0;0.964;1.0;0.836;0.748
ENSMUST00000025202_90_90;0.929;0.792;0.84;1.0;0.123;0.033;0.109;0.26;0.654;0.053;0.323;0.847;0.836;0.847;0.836;0.847;0.836;1.0;0.833
ENSMUST00000160433_90_90;0.906;0.808;1.0;0.839;0.129;0.117;0.103;0.243;0.75;0.051;0.454;0.751;0.743;0.751;0.748;0.756;0.748;0.833;1.0
