;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;1.0;1.0;0.1;0.2;0.2;0.909;0.182;0.455;0.182;0.909
ENST00000308924_90_90;1.0;1.0;0.917;0.154;0.167;0.167;0.818;0.182;0.364;0.182;0.909
ENST00000450554_90_90;1.0;0.917;1.0;0.167;0.182;0.182;0.9;0.2;0.4;0.2;0.818
ENST00000587196_90_90;0.1;0.154;0.167;1.0;0.0;0.0;0.111;0.0;0.25;0.0;0.1
ENST00000590551_90_90;0.2;0.167;0.182;0.0;1.0;0.0;0.222;1.0;0.0;0.0;0.2
ENST00000592874_90_90;0.2;0.167;0.182;0.0;0.0;1.0;0.1;0.0;0.2;0.333;0.091
ENSMUST00000005041_90_90;0.909;0.818;0.9;0.111;0.222;0.1;1.0;0.182;0.308;0.273;0.917
ENSMUST00000165399_90_90;0.182;0.182;0.2;0.0;1.0;0.0;0.182;1.0;0.0;0.0;0.167
ENSMUST00000207097_90_90;0.455;0.364;0.4;0.25;0.0;0.2;0.308;0.0;1.0;0.0;0.286
ENSMUST00000207498_90_90;0.182;0.182;0.2;0.0;0.0;0.333;0.273;0.0;0.0;1.0;0.25
ENSMUST00000209099_90_90;0.909;0.909;0.818;0.1;0.2;0.091;0.917;0.167;0.286;0.25;1.0
