;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;0.9;1.0;0.3;0.1;1.0;0.2;0.9;0.3;0.2;0.5
ENST00000348628_90_90;0.9;1.0;0.846;0.364;0.091;0.846;0.273;1.0;0.231;0.273;0.545
ENST00000398376_90_90;1.0;0.846;1.0;0.308;0.077;1.0;0.231;0.846;0.385;0.231;0.462
ENST00000510347_90_90;0.3;0.364;0.308;1.0;0.0;0.308;0.0;0.364;0.0;0.75;0.429
ENST00000515758_90_90;0.1;0.091;0.077;0.0;1.0;0.077;0.0;0.091;0.0;0.0;0.167
ENSMUST00000025519_90_90;1.0;0.846;1.0;0.308;0.077;1.0;0.214;0.846;0.357;0.214;0.429
ENSMUST00000039904_90_90;0.2;0.273;0.231;0.0;0.0;0.214;1.0;0.25;0.667;0.0;0.0
ENSMUST00000102888_90_90;0.9;1.0;0.846;0.364;0.091;0.846;0.25;1.0;0.214;0.25;0.5
ENSMUST00000115295_90_90;0.3;0.231;0.385;0.0;0.0;0.357;0.667;0.214;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.2;0.273;0.231;0.75;0.0;0.214;0.0;0.25;0.0;1.0;0.222
ENSMUST00000137805_90_90;0.5;0.545;0.462;0.429;0.167;0.429;0.0;0.5;0.0;0.222;1.0
