;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.724;0.759;0.286;0.655;0.269;0.281;0.148;0.115;0.192;0.231;0.455;0.115;0.821;0.786;0.2;0.115;0.424;0.125
ENST00000263280_90_90;0.724;1.0;0.962;0.385;0.92;0.32;0.281;0.107;0.16;0.24;0.28;0.5;0.16;0.889;0.923;0.2;0.16;0.382;0.091
ENST00000391910_90_90;0.759;0.962;1.0;0.37;0.885;0.308;0.312;0.103;0.154;0.231;0.269;0.531;0.154;0.926;0.889;0.194;0.154;0.412;0.121
ENST00000435164_90_90;0.286;0.385;0.37;1.0;0.417;0.727;0.0;0.133;0.364;0.545;0.636;0.36;0.0;0.321;0.333;0.294;0.0;0.32;0.0
ENST00000539396_90_90;0.655;0.92;0.885;0.417;1.0;0.348;0.3;0.074;0.174;0.261;0.304;0.533;0.174;0.815;0.846;0.172;0.174;0.406;0.097
ENST00000593979_90_90;0.269;0.32;0.308;0.727;0.348;1.0;0.0;0.167;0.5;0.75;0.875;0.292;0.0;0.308;0.32;0.357;0.0;0.304;0.0
ENST00000594287_90_90;0.281;0.281;0.312;0.0;0.3;0.0;1.0;0.0;0.0;0.0;0.0;0.444;0.176;0.312;0.281;0.0;0.176;0.357;0.5
ENST00000594704_90_90;0.148;0.107;0.103;0.133;0.074;0.167;0.0;1.0;0.25;0.2;0.182;0.036;0.0;0.103;0.107;0.545;0.0;0.037;0.0
ENST00000596012_90_90;0.115;0.16;0.154;0.364;0.174;0.5;0.0;0.25;1.0;0.667;0.571;0.125;0.0;0.154;0.16;0.364;0.0;0.13;0.0
ENST00000597021_90_90;0.192;0.24;0.231;0.545;0.261;0.75;0.0;0.2;0.667;1.0;0.857;0.208;0.0;0.231;0.24;0.417;0.0;0.217;0.0
ENST00000597063_90_90;0.231;0.28;0.269;0.636;0.304;0.875;0.0;0.182;0.571;0.857;1.0;0.25;0.0;0.269;0.28;0.385;0.0;0.261;0.0
ENST00000600358_90_90;0.455;0.5;0.531;0.36;0.533;0.292;0.444;0.036;0.125;0.208;0.25;1.0;0.0;0.485;0.455;0.133;0.0;0.731;0.36
ENST00000600615_90_90;0.115;0.16;0.154;0.0;0.174;0.0;0.176;0.0;0.0;0.0;0.0;0.0;1.0;0.154;0.16;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.821;0.889;0.926;0.321;0.815;0.308;0.312;0.103;0.154;0.231;0.269;0.485;0.154;1.0;0.962;0.194;0.154;0.455;0.121
ENSMUST00000108495_90_90;0.786;0.923;0.889;0.333;0.846;0.32;0.281;0.107;0.16;0.24;0.28;0.455;0.16;0.962;1.0;0.2;0.16;0.424;0.091
ENSMUST00000184280_90_90;0.2;0.2;0.194;0.294;0.172;0.357;0.0;0.545;0.364;0.417;0.385;0.133;0.0;0.194;0.2;1.0;0.0;0.138;0.0
ENSMUST00000184694_90_90;0.115;0.16;0.154;0.0;0.174;0.0;0.176;0.0;0.0;0.0;0.0;0.0;1.0;0.154;0.16;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.424;0.382;0.412;0.32;0.406;0.304;0.357;0.037;0.13;0.217;0.261;0.731;0.0;0.455;0.424;0.138;0.0;1.0;0.5
ENSMUST00000185011_90_90;0.125;0.091;0.121;0.0;0.097;0.0;0.5;0.0;0.0;0.0;0.0;0.36;0.0;0.121;0.091;0.0;0.0;0.5;1.0
