;ENSCAFT00000019569_90_90;ENSCAFT00000036114_90_90;ENST00000334961_90_90;ENST00000338641_90_90;ENST00000353887_90_90;ENST00000361166_90_90;ENST00000361452_90_90;ENST00000361676_90_90;ENST00000397789_90_90;ENST00000403435_90_90;ENST00000403999_90_90;ENST00000413209_90_90;ENST00000432151_90_90;ENSMUST00000053079_90_90;ENSMUST00000056290_90_90;ENSMUST00000093374_90_90;ENSMUST00000109910_90_90;ENSMUST00000124878_90_90;ENSMUST00000137926_90_90;ENSMUST00000152656_90_90;ENSMUST00000164190_90_90;ENSMUST00000172305_90_90
ENSCAFT00000019569_90_90;;;0.797;0.902;0.797;0.972;0.885;0.885;0.972;0.895;0.972;0.272;0.37;1.0;1.0;0.888;0.928;0.166;0.239;0.25;0.423;0.053
ENSCAFT00000036114_90_90;;;0.734;0.972;0.734;0.902;0.818;0.818;0.902;0.828;0.902;0.323;0.368;0.928;0.928;0.82;0.924;0.166;0.238;0.249;0.421;0.053
ENST00000334961_90_90;0.797;0.734;;;;;;;;;;;;0.797;0.797;0.78;0.734;0.053;0.239;0.317;0.378;0.065
ENST00000338641_90_90;0.902;0.972;;;;;;;;;;;;0.902;0.902;0.794;0.898;0.171;0.244;0.257;0.433;0.054
ENST00000353887_90_90;0.797;0.734;;;;;;;;;;;;0.797;0.797;0.78;0.734;0.053;0.239;0.317;0.378;0.065
ENST00000361166_90_90;0.972;0.902;;;;;;;;;;;;0.972;0.972;0.861;0.902;0.171;0.245;0.258;0.435;0.054
ENST00000361452_90_90;0.885;0.818;;;;;;;;;;;;0.885;0.885;0.774;0.818;0.084;0.216;0.283;0.479;0.059
ENST00000361676_90_90;0.885;0.818;;;;;;;;;;;;0.885;0.885;0.873;0.818;0.145;0.27;0.283;0.344;0.059
ENST00000397789_90_90;0.972;0.902;;;;;;;;;;;;0.972;0.972;0.861;0.902;0.171;0.245;0.258;0.435;0.054
ENST00000403435_90_90;0.895;0.828;;;;;;;;;;;;0.895;0.895;0.783;0.828;0.187;0.266;0.281;0.424;0.058
ENST00000403999_90_90;0.972;0.902;;;;;;;;;;;;0.972;0.972;0.861;0.902;0.171;0.245;0.258;0.435;0.054
ENST00000413209_90_90;0.272;0.323;;;;;;;;;;;;0.272;0.272;0.165;0.271;0.483;0.186;0.096;0.357;0.136
ENST00000432151_90_90;0.37;0.368;;;;;;;;;;;;0.37;0.37;0.33;0.368;0.097;0.221;0.675;0.37;0.123
ENSMUST00000053079_90_90;1.0;0.928;0.797;0.902;0.797;0.972;0.885;0.885;0.972;0.895;0.972;0.272;0.37;;;;;;;;;
ENSMUST00000056290_90_90;1.0;0.928;0.797;0.902;0.797;0.972;0.885;0.885;0.972;0.895;0.972;0.272;0.37;;;;;;;;;
ENSMUST00000093374_90_90;0.888;0.82;0.78;0.794;0.78;0.861;0.774;0.873;0.861;0.783;0.861;0.165;0.33;;;;;;;;;
ENSMUST00000109910_90_90;0.928;0.924;0.734;0.898;0.734;0.902;0.818;0.818;0.902;0.828;0.902;0.271;0.368;;;;;;;;;
ENSMUST00000124878_90_90;0.166;0.166;0.053;0.171;0.053;0.171;0.084;0.145;0.171;0.187;0.171;0.483;0.097;;;;;;;;;
ENSMUST00000137926_90_90;0.239;0.238;0.239;0.244;0.239;0.245;0.216;0.27;0.245;0.266;0.245;0.186;0.221;;;;;;;;;
ENSMUST00000152656_90_90;0.25;0.249;0.317;0.257;0.317;0.258;0.283;0.283;0.258;0.281;0.258;0.096;0.675;;;;;;;;;
ENSMUST00000164190_90_90;0.423;0.421;0.378;0.433;0.378;0.435;0.479;0.344;0.435;0.424;0.435;0.357;0.37;;;;;;;;;
ENSMUST00000172305_90_90;0.053;0.053;0.065;0.054;0.065;0.054;0.059;0.059;0.054;0.058;0.054;0.136;0.123;;;;;;;;;
