;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.75;0.25;0.75;0.5;0.75;0.75;1.0;1.0;1.0;1.0;1.0
ENST00000422393_90_90;0.75;1.0;0.333;0.833;0.5;0.857;0.75;0.6;0.571;0.6;0.556;0.5
ENST00000433491_90_90;0.25;0.333;1.0;0.4;0.667;0.286;0.25;0.2;0.4;0.2;0.111;0.25
ENST00000434483_90_90;0.75;0.833;0.4;1.0;0.6;0.714;0.625;0.5;0.667;0.5;0.444;0.6
ENST00000443502_90_90;0.5;0.5;0.667;0.6;1.0;0.429;0.375;0.3;0.6;0.3;0.222;0.5
ENST00000455268_90_90;0.75;0.857;0.286;0.714;0.429;1.0;0.875;0.7;0.5;0.7;0.667;0.429
ENST00000494475_90_90;0.75;0.75;0.25;0.625;0.375;0.875;1.0;0.8;0.444;0.8;0.778;0.375
ENST00000612423_90_90;1.0;0.6;0.2;0.5;0.3;0.7;0.8;1.0;0.5;1.0;1.0;0.444
ENST00000619236_90_90;1.0;0.571;0.4;0.667;0.6;0.5;0.444;0.5;1.0;0.5;0.444;1.0
ENST00000621218_90_90;1.0;0.6;0.2;0.5;0.3;0.7;0.8;1.0;0.5;1.0;1.0;0.444
ENSMUST00000033800_90_90;1.0;0.556;0.111;0.444;0.222;0.667;0.778;1.0;0.444;1.0;1.0;0.5
ENSMUST00000113085_90_90;1.0;0.5;0.25;0.6;0.5;0.429;0.375;0.444;1.0;0.444;0.5;1.0
