;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.763;0.938;1.0;0.344;0.969;0.273;0.438;0.75;0.188;0.273;0.312;0.206;0.156;0.5;0.281;0.879;0.094;0.156;0.281;0.903;0.8;0.833;0.935;0.355;0.167;0.806;0.967;0.839
ENSCAFT00000044406_90_90;0.763;1.0;0.765;0.824;0.323;0.848;0.25;0.419;0.742;0.2;0.333;0.212;0.258;0.129;0.484;0.3;0.935;0.1;0.129;0.3;0.781;0.625;0.828;0.812;0.429;0.179;0.862;0.781;0.897
ENST00000356360_90_90;0.938;0.765;1.0;0.943;0.333;0.886;0.25;0.424;0.657;0.212;0.222;0.324;0.135;0.152;0.485;0.273;0.778;0.121;0.152;0.273;0.853;0.758;0.727;0.882;0.265;0.161;0.706;0.909;0.735
ENST00000393346_90_90;1.0;0.824;0.943;1.0;0.314;0.943;0.306;0.4;0.714;0.2;0.278;0.343;0.189;0.143;0.457;0.257;0.833;0.114;0.143;0.257;0.912;0.818;0.788;0.941;0.324;0.152;0.765;0.97;0.794
ENST00000525162_90_90;0.344;0.323;0.333;0.314;1.0;0.333;0.0;0.667;0.44;0.0;0.0;0.0;0.0;0.143;0.688;0.25;0.355;0.0;0.143;0.25;0.303;0.31;0.37;0.294;0.0;0.455;0.357;0.303;0.345
ENST00000526033_90_90;0.969;0.848;0.886;0.943;0.333;1.0;0.324;0.424;0.758;0.212;0.294;0.286;0.2;0.152;0.485;0.273;0.882;0.121;0.152;0.273;0.853;0.758;0.839;0.882;0.344;0.161;0.812;0.909;0.844
ENST00000526961_90_90;0.273;0.25;0.25;0.306;0.0;0.324;1.0;0.0;0.276;0.357;0.643;0.5;0.615;0.0;0.0;0.0;0.265;0.333;0.0;0.0;0.375;0.393;0.267;0.364;0.412;0.0;0.3;0.333;0.29
ENST00000528256_90_90;0.438;0.419;0.424;0.4;0.667;0.424;0.0;1.0;0.345;0.0;0.0;0.0;0.0;0.267;0.875;0.533;0.452;0.0;0.267;0.533;0.333;0.258;0.407;0.324;0.0;0.417;0.393;0.333;0.379
ENST00000528398_90_90;0.75;0.742;0.657;0.714;0.44;0.758;0.276;0.345;1.0;0.28;0.385;0.233;0.214;0.071;0.414;0.133;0.806;0.16;0.071;0.133;0.676;0.733;0.821;0.706;0.423;0.2;0.793;0.727;0.828
ENST00000529016_90_90;0.188;0.2;0.212;0.2;0.0;0.212;0.357;0.0;0.28;1.0;0.5;0.357;0.231;0.0;0.0;0.0;0.226;0.375;0.0;0.0;0.182;0.214;0.222;0.212;0.462;0.0;0.214;0.219;0.25
ENST00000529760_90_90;0.273;0.333;0.222;0.278;0.0;0.294;0.643;0.0;0.385;0.5;1.0;0.438;0.538;0.0;0.0;0.0;0.355;0.364;0.0;0.0;0.344;0.357;0.37;0.333;0.643;0.0;0.407;0.303;0.393
ENST00000530542_90_90;0.312;0.212;0.324;0.343;0.0;0.286;0.5;0.0;0.233;0.357;0.438;1.0;0.312;0.0;0.0;0.0;0.194;0.143;0.0;0.0;0.375;0.444;0.226;0.364;0.412;0.0;0.219;0.375;0.212
ENST00000530692_90_90;0.206;0.258;0.135;0.189;0.0;0.2;0.615;0.0;0.214;0.231;0.538;0.312;1.0;0.0;0.0;0.0;0.212;0.3;0.0;0.0;0.242;0.241;0.207;0.235;0.5;0.0;0.241;0.206;0.233
ENST00000531558_90_90;0.156;0.129;0.152;0.143;0.143;0.152;0.0;0.267;0.071;0.0;0.0;0.0;0.0;1.0;0.235;0.273;0.161;0.0;1.0;0.273;0.125;0.069;0.154;0.121;0.0;0.0;0.148;0.125;0.143
ENST00000531930_90_90;0.5;0.484;0.485;0.457;0.688;0.485;0.0;0.875;0.414;0.0;0.0;0.0;0.0;0.235;1.0;0.471;0.516;0.0;0.235;0.471;0.394;0.323;0.481;0.382;0.0;0.357;0.464;0.394;0.448
ENST00000532041_90_90;0.281;0.3;0.273;0.257;0.25;0.273;0.0;0.533;0.133;0.0;0.0;0.0;0.0;0.273;0.471;1.0;0.29;0.0;0.273;1.0;0.182;0.097;0.222;0.176;0.0;0.333;0.214;0.182;0.207
ENST00000532317_90_90;0.879;0.935;0.778;0.833;0.355;0.882;0.265;0.452;0.806;0.226;0.355;0.194;0.212;0.161;0.516;0.29;1.0;0.129;0.161;0.29;0.794;0.647;0.897;0.824;0.367;0.172;0.931;0.794;0.966
ENST00000532603_90_90;0.094;0.1;0.121;0.114;0.0;0.121;0.333;0.0;0.16;0.375;0.364;0.143;0.3;0.0;0.0;0.0;0.129;1.0;0.0;0.0;0.125;0.148;0.154;0.121;0.231;0.0;0.148;0.125;0.143
ENST00000534412_90_90;0.156;0.129;0.152;0.143;0.143;0.152;0.0;0.267;0.071;0.0;0.0;0.0;0.0;1.0;0.235;0.273;0.161;0.0;1.0;0.273;0.125;0.069;0.154;0.121;0.0;0.0;0.148;0.125;0.143
ENST00000630913_90_90;0.281;0.3;0.273;0.257;0.25;0.273;0.0;0.533;0.133;0.0;0.0;0.0;0.0;0.273;0.471;1.0;0.29;0.0;0.273;1.0;0.182;0.097;0.222;0.176;0.0;0.333;0.214;0.182;0.207
ENSMUST00000049537_90_90;0.903;0.781;0.853;0.912;0.303;0.853;0.375;0.333;0.676;0.182;0.344;0.375;0.242;0.125;0.394;0.182;0.794;0.125;0.125;0.182;1.0;0.75;0.829;0.972;0.27;0.171;0.857;0.944;0.833
ENSMUST00000207084_90_90;0.8;0.625;0.758;0.818;0.31;0.758;0.393;0.258;0.733;0.214;0.357;0.444;0.241;0.069;0.323;0.097;0.647;0.148;0.069;0.097;0.75;1.0;0.629;0.73;0.333;0.133;0.611;0.75;0.595
ENSMUST00000207225_90_90;0.833;0.828;0.727;0.788;0.37;0.839;0.267;0.407;0.821;0.222;0.37;0.226;0.207;0.154;0.481;0.222;0.897;0.154;0.154;0.222;0.829;0.629;1.0;0.806;0.323;0.207;0.967;0.829;0.935
