;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript2_ENSMLUG00000027828;transcript8_ENSPEMG00000024651;transcript18_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript17_ENSMUGG00000013649;transcript29_ENSMUGG00000013592;transcript17_ENSMUGG00000013592
transcript2_ENSSTOG00000019743;1.0;1.0;0.494;0.678;0.751;0.574;0.641;0.286;0.65;0.669;0.653;0.7;0.625
transcript15_ENSSTOG00000019743;1.0;1.0;0.494;0.678;0.751;0.574;0.641;0.286;0.65;0.669;0.653;0.7;0.625
transcript8_ENSNGAG00000018584;0.494;0.494;1.0;0.729;0.452;0.674;0.674;0.315;0.665;0.647;0.627;0.681;0.629
transcript9_ENSNGAG00000018584;0.678;0.678;0.729;1.0;0.571;0.526;0.868;0.366;0.88;0.908;0.508;0.554;0.506
transcript2_ENSMLUG00000027828;0.751;0.751;0.452;0.571;1.0;0.511;0.548;0.276;0.555;0.566;0.561;0.609;0.548
transcript8_ENSPEMG00000024651;0.574;0.574;0.674;0.526;0.511;1.0;0.497;0.245;0.492;0.481;0.719;0.771;0.701
transcript18_ENSNGAG00000018584;0.641;0.641;0.674;0.868;0.548;0.497;1.0;0.401;0.933;0.958;0.514;0.561;0.512
transcript7_ENSNGAG00000018584;0.286;0.286;0.315;0.366;0.276;0.245;0.401;1.0;0.441;0.428;0.305;0.281;0.306
transcript19_ENSNGAG00000018584;0.65;0.65;0.665;0.88;0.555;0.492;0.933;0.441;1.0;0.971;0.509;0.556;0.507
transcript10_ENSNGAG00000018584;0.669;0.669;0.647;0.908;0.566;0.481;0.958;0.428;0.971;1.0;0.497;0.543;0.496
transcript17_ENSMUGG00000013649;0.653;0.653;0.627;0.508;0.561;0.719;0.514;0.305;0.509;0.497;1.0;0.857;0.957
transcript29_ENSMUGG00000013592;0.7;0.7;0.681;0.554;0.609;0.771;0.561;0.281;0.556;0.543;0.857;1.0;0.892
transcript17_ENSMUGG00000013592;0.625;0.625;0.629;0.506;0.548;0.701;0.512;0.306;0.507;0.496;0.957;0.892;1.0
