;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.778;0.481;0.714;0.818;0.857;0.667;0.667;0.864;0.857;0.286;0.818;0.905;0.238;0.19;0.095;0.783;0.182;0.524;0.792;0.955;0.826;0.913;0.913;0.955
ENSCAFT00000048577_90_90;0.778;1.0;0.538;0.714;0.905;0.773;0.591;0.591;0.864;0.773;0.286;0.818;0.818;0.238;0.19;0.095;0.952;0.182;0.455;0.955;0.792;0.909;0.833;0.833;0.792
ENSCAFT00000049950_90_90;0.481;0.538;1.0;0.647;0.524;0.476;0.35;0.35;0.5;0.476;0.462;0.455;0.524;0.286;0.308;0.154;0.5;0.385;0.2;0.636;0.636;0.667;0.609;0.609;0.636
ENST00000314177_90_90;0.714;0.714;0.647;1.0;0.826;0.708;0.48;0.48;0.76;0.708;0.3;0.68;0.792;0.316;0.211;0.105;0.792;0.174;0.375;0.682;0.636;0.714;0.609;0.652;0.682
ENST00000338564_90_90;0.818;0.905;0.524;0.826;1.0;0.8;0.577;0.577;0.846;0.8;0.25;0.769;0.88;0.261;0.174;0.087;0.958;0.148;0.48;0.864;0.739;0.905;0.708;0.75;0.783
ENST00000340545_90_90;0.857;0.773;0.476;0.708;0.8;1.0;0.739;0.739;0.88;1.0;0.261;0.957;0.917;0.167;0.182;0.091;0.769;0.154;0.5;0.696;0.81;0.727;0.773;0.739;0.773
ENST00000397620_90_90;0.667;0.591;0.35;0.48;0.577;0.739;1.0;1.0;0.654;0.739;0.389;0.708;0.68;0.043;0.222;0.111;0.556;0.182;0.6;0.522;0.619;0.545;0.591;0.565;0.591
ENST00000397624_90_90;0.667;0.591;0.35;0.48;0.577;0.739;1.0;1.0;0.654;0.739;0.389;0.708;0.68;0.043;0.222;0.111;0.556;0.182;0.6;0.522;0.619;0.545;0.591;0.565;0.591
ENST00000424352_90_90;0.864;0.864;0.5;0.76;0.846;0.88;0.654;0.654;1.0;0.88;0.231;0.92;0.96;0.24;0.16;0.08;0.885;0.138;0.444;0.826;0.783;0.783;0.826;0.87;0.826
ENST00000557796_90_90;0.857;0.773;0.476;0.708;0.8;1.0;0.739;0.739;0.88;1.0;0.261;0.957;0.917;0.167;0.182;0.091;0.769;0.154;0.5;0.696;0.81;0.727;0.773;0.739;0.773
ENST00000558313_90_90;0.286;0.286;0.462;0.3;0.25;0.261;0.389;0.389;0.231;0.261;1.0;0.25;0.24;0.083;0.375;0.286;0.24;0.154;0.167;0.273;0.286;0.286;0.273;0.261;0.273
ENST00000559085_90_90;0.818;0.818;0.455;0.68;0.769;0.957;0.708;0.708;0.92;0.957;0.25;1.0;0.88;0.16;0.174;0.087;0.808;0.148;0.48;0.739;0.773;0.696;0.818;0.783;0.739
ENST00000559561_90_90;0.905;0.818;0.524;0.792;0.88;0.917;0.68;0.68;0.96;0.917;0.24;0.88;1.0;0.25;0.167;0.083;0.846;0.143;0.462;0.783;0.818;0.818;0.783;0.826;0.864
ENST00000560570_90_90;0.238;0.238;0.286;0.316;0.261;0.167;0.043;0.043;0.24;0.167;0.083;0.16;0.25;1.0;0.0;0.0;0.25;0.0;0.0;0.273;0.227;0.286;0.217;0.261;0.273
ENST00000560617_90_90;0.19;0.19;0.308;0.211;0.174;0.182;0.222;0.222;0.16;0.182;0.375;0.174;0.167;0.0;1.0;0.5;0.167;0.333;0.286;0.182;0.19;0.19;0.182;0.174;0.182
ENST00000560697_90_90;0.095;0.095;0.154;0.105;0.087;0.091;0.111;0.111;0.08;0.091;0.286;0.087;0.083;0.0;0.5;1.0;0.083;0.111;0.143;0.091;0.095;0.095;0.091;0.087;0.091
ENST00000561208_90_90;0.783;0.952;0.5;0.792;0.958;0.769;0.556;0.556;0.885;0.769;0.24;0.808;0.846;0.25;0.167;0.083;1.0;0.143;0.462;0.909;0.708;0.864;0.75;0.792;0.75
ENST00000606653_90_90;0.182;0.182;0.385;0.174;0.148;0.154;0.182;0.182;0.138;0.154;0.154;0.148;0.143;0.0;0.333;0.111;0.143;1.0;0.222;0.227;0.238;0.238;0.227;0.217;0.227
ENST00000607277_90_90;0.524;0.455;0.2;0.375;0.48;0.5;0.6;0.6;0.444;0.5;0.167;0.48;0.462;0.0;0.286;0.143;0.462;0.222;1.0;0.391;0.476;0.409;0.455;0.435;0.455
ENSMUST00000028639_90_90;0.792;0.955;0.636;0.682;0.864;0.696;0.522;0.522;0.826;0.696;0.273;0.739;0.783;0.273;0.182;0.091;0.909;0.227;0.391;1.0;0.769;0.957;0.808;0.88;0.84
ENSMUST00000074285_90_90;0.955;0.792;0.636;0.636;0.739;0.81;0.619;0.619;0.783;0.81;0.286;0.773;0.818;0.227;0.19;0.095;0.708;0.238;0.476;0.769;1.0;0.8;0.958;0.88;0.917
ENSMUST00000102538_90_90;0.826;0.909;0.667;0.714;0.905;0.727;0.545;0.545;0.783;0.727;0.286;0.696;0.818;0.286;0.19;0.095;0.864;0.238;0.409;0.957;0.8;1.0;0.769;0.84;0.875
ENSMUST00000110906_90_90;0.913;0.833;0.609;0.609;0.708;0.773;0.591;0.591;0.826;0.773;0.273;0.818;0.783;0.217;0.182;0.091;0.75;0.227;0.455;0.808;0.958;0.769;1.0;0.92;0.88
ENSMUST00000110907_90_90;0.913;0.833;0.609;0.652;0.75;0.739;0.565;0.565;0.87;0.739;0.261;0.783;0.826;0.261;0.174;0.087;0.792;0.217;0.435;0.88;0.88;0.84;0.92;1.0;0.958
ENSMUST00000110908_90_90;0.955;0.792;0.636;0.682;0.783;0.773;0.591;0.591;0.826;0.773;0.273;0.739;0.864;0.273;0.182;0.091;0.75;0.227;0.455;0.84;0.917;0.875;0.88;0.958;1.0
