;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.612;0.65;0.687;0.313;0.356;0.726;0.703;0.893;0.916;0.65;0.043;0.18
ENST00000237247_90_90;0.612;1.0;0.911;0.691;0.267;0.343;0.563;0.542;0.585;0.604;0.486;0.075;0.179
ENST00000371037_90_90;0.65;0.911;1.0;0.716;0.314;0.356;0.574;0.552;0.58;0.6;0.502;0.043;0.18
ENST00000371039_90_90;0.687;0.691;0.716;1.0;0.36;0.419;0.615;0.63;0.64;0.626;0.593;0.056;0.19
ENST00000424320_90_90;0.313;0.267;0.314;0.36;1.0;0.0;0.326;0.336;0.271;0.264;0.238;0.127;0.529
ENST00000435165_90_90;0.356;0.343;0.356;0.419;0.0;1.0;0.443;0.414;0.333;0.357;0.558;0.0;0.0
ENSMUST00000066824_90_90;0.726;0.563;0.574;0.615;0.326;0.443;1.0;0.97;0.774;0.798;0.812;0.107;0.283
ENSMUST00000072481_90_90;0.703;0.542;0.552;0.63;0.336;0.414;0.97;1.0;0.793;0.774;0.782;0.11;0.292
ENSMUST00000080728_90_90;0.893;0.585;0.58;0.64;0.271;0.333;0.774;0.793;1.0;0.976;0.628;0.087;0.233
ENSMUST00000106882_90_90;0.916;0.604;0.6;0.626;0.264;0.357;0.798;0.774;0.976;1.0;0.652;0.085;0.228
ENSMUST00000149547_90_90;0.65;0.486;0.502;0.593;0.238;0.558;0.812;0.782;0.628;0.652;1.0;0.0;0.132
ENSMUST00000156596_90_90;0.043;0.075;0.043;0.056;0.127;0.0;0.107;0.11;0.087;0.085;0.0;1.0;0.374
ENSMUST00000183855_90_90;0.18;0.179;0.18;0.19;0.529;0.0;0.283;0.292;0.233;0.228;0.132;0.374;1.0
