;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;;0.258;0.209;0.258;0.332;0.258;0.325;0.268;0.333;0.015;0.273;0.068;0.0;0.035;0.0;0.068;0.0;0.02
ENST00000367378_90_90;0.258;;;;;;;;;;;0.457;0.0;0.107;0.236;0.437;0.101;0.415
ENST00000367380_90_90;0.209;;;;;;;;;;;0.318;0.0;0.0;0.287;0.299;0.127;0.337
ENST00000367384_90_90;0.258;;;;;;;;;;;0.437;0.0;0.106;0.235;0.457;0.101;0.396
ENST00000460828_90_90;0.332;;;;;;;;;;;0.179;0.0;0.198;0.0;0.178;0.0;0.134
ENST00000464889_90_90;0.258;;;;;;;;;;;0.457;0.0;0.107;0.236;0.437;0.101;0.415
ENST00000484601_90_90;0.325;;;;;;;;;;;0.196;0.0;0.221;0.0;0.195;0.0;0.15
ENST00000486585_90_90;0.268;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494411_90_90;0.333;;;;;;;;;;;0.141;0.0;0.142;0.0;0.141;0.0;0.096
ENST00000495487_90_90;0.015;;;;;;;;;;;0.299;0.0;0.148;0.31;0.299;0.267;0.331
ENST00000544496_90_90;0.273;;;;;;;;;;;0.387;0.0;0.114;0.157;0.369;0.034;0.345
ENSMUST00000159917_90_90;0.068;0.457;0.318;0.437;0.179;0.457;0.196;0.0;0.141;0.299;0.387;;;;;;;
ENSMUST00000159977_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;
ENSMUST00000161123_90_90;0.035;0.107;0.0;0.106;0.198;0.107;0.221;0.0;0.142;0.148;0.114;;;;;;;
ENSMUST00000161428_90_90;0.0;0.236;0.287;0.235;0.0;0.236;0.0;0.0;0.0;0.31;0.157;;;;;;;
ENSMUST00000162606_90_90;0.068;0.437;0.299;0.457;0.178;0.437;0.195;0.0;0.141;0.299;0.369;;;;;;;
ENSMUST00000162682_90_90;0.0;0.101;0.127;0.101;0.0;0.101;0.0;0.0;0.0;0.267;0.034;;;;;;;
ENSMUST00000163085_90_90;0.02;0.415;0.337;0.396;0.134;0.415;0.15;0.0;0.096;0.331;0.345;;;;;;;
