;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.843;0.554;0.545;0.607;0.534;0.496;0.335;0.697;0.695;0.675;0.68;0.843
transcript2_ENSSTOG00000019743;0.843;1.0;0.607;0.589;0.664;0.572;0.526;0.341;0.778;0.774;0.745;0.756;1.0
transcript17_ENSMUGG00000013649;0.554;0.607;1.0;0.972;0.869;0.758;0.671;0.449;0.603;0.597;0.617;0.609;0.607
transcript17_ENSMUGG00000013592;0.545;0.589;0.972;1.0;0.889;0.745;0.663;0.447;0.595;0.589;0.609;0.602;0.589
transcript29_ENSMUGG00000013592;0.607;0.664;0.869;0.889;1.0;0.831;0.729;0.487;0.651;0.647;0.669;0.66;0.664
transcript8_ENSPEMG00000024651;0.534;0.572;0.758;0.745;0.831;1.0;0.673;0.477;0.566;0.561;0.579;0.573;0.572
transcript8_ENSNGAG00000018584;0.496;0.526;0.671;0.663;0.729;0.673;1.0;0.647;0.671;0.679;0.706;0.695;0.526
transcript7_ENSNGAG00000018584;0.335;0.341;0.449;0.447;0.487;0.477;0.647;1.0;0.432;0.438;0.455;0.448;0.341
transcript9_ENSNGAG00000018584;0.697;0.778;0.603;0.595;0.651;0.566;0.671;0.432;1.0;0.986;0.95;0.964;0.778
transcript10_ENSNGAG00000018584;0.695;0.774;0.597;0.589;0.647;0.561;0.679;0.438;0.986;1.0;0.964;0.978;0.774
transcript18_ENSNGAG00000018584;0.675;0.745;0.617;0.609;0.669;0.579;0.706;0.455;0.95;0.964;1.0;0.986;0.745
transcript19_ENSNGAG00000018584;0.68;0.756;0.609;0.602;0.66;0.573;0.695;0.448;0.964;0.978;0.986;1.0;0.756
transcript15_ENSSTOG00000019743;0.843;1.0;0.607;0.589;0.664;0.572;0.526;0.341;0.778;0.774;0.745;0.756;1.0
