id_transcript;block_sequence
ENSCAFT00000002814_90_90;0.2.4.5.7.8.9.12.13.14.19.20.21.23.24.25.26.27.29
ENST00000280758_90_90;1.2.4.5.7.9.10.13.14.15.20.21.23.24.25.26.27.29
ENST00000357167_90_90;16.17.18.19.20.21.23.24.25.26.27.29
ENST00000415943_90_90;11.12.13.14.15.20.21.22
ENST00000420571_90_90;1.2.4.5.7.9.10.13.14.15.20.21.23.25.26.27.29
ENST00000490090_90_90;1.2.4.5.7.9.10.13.14.15.20.21.23.24.25.26.27.28
ENST00000494235_90_90;27.29
ENST00000550706_90_90;5.7.9.10.14.15.20
ENSMUST00000020231_90_90;1.2.3.4.5.6.7.8.9.12.13.14.15.20.21.23.25
ENSMUST00000105306_90_90;16.18.19.20.21.23.24.25.26.27.29
ENSMUST00000105307_90_90;1.2.3.4.5.6.7.8.9.12.13.14.15.20.21.23.24.25.26.27.29
