;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.882;0.529;0.294;0.824;0.824;0.118;0.294;0.722;0.5;0.944
ENST00000280758_90_90;0.882;1.0;0.364;0.238;0.944;0.895;0.111;0.389;0.722;0.4;0.944
ENST00000357167_90_90;0.529;0.364;1.0;0.111;0.318;0.304;0.167;0.056;0.19;1.0;0.381
ENST00000415943_90_90;0.294;0.238;0.111;1.0;0.25;0.238;0.0;0.25;0.429;0.133;0.333
ENST00000420571_90_90;0.824;0.944;0.318;0.25;1.0;0.842;0.118;0.412;0.765;0.35;0.889
ENST00000490090_90_90;0.824;0.895;0.304;0.238;0.842;1.0;0.053;0.389;0.765;0.35;0.889
ENST00000494235_90_90;0.118;0.111;0.167;0.0;0.118;0.053;1.0;0.0;0.0;0.182;0.111
ENST00000550706_90_90;0.294;0.389;0.056;0.25;0.412;0.389;0.0;1.0;0.429;0.062;0.333
ENSMUST00000020231_90_90;0.722;0.722;0.19;0.429;0.765;0.765;0.0;0.429;1.0;0.167;0.81
ENSMUST00000105306_90_90;0.5;0.4;1.0;0.133;0.35;0.35;0.182;0.062;0.167;1.0;0.333
ENSMUST00000105307_90_90;0.944;0.944;0.381;0.333;0.889;0.889;0.111;0.333;0.81;0.333;1.0
