;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.871;0.516;0.233;0.3;0.103;0.167;0.138;0.069;0.138;0.129;0.094;0.812;0.345;0.345;0.345;0.467;0.207;0.345;0.345;0.323;0.034;0.276;0.103;0.258
ENST00000319481_90_90;0.871;1.0;0.621;0.233;0.345;0.103;0.207;0.138;0.069;0.138;0.129;0.094;0.812;0.3;0.3;0.3;0.419;0.207;0.3;0.3;0.323;0.034;0.233;0.103;0.219
ENST00000357041_90_90;0.516;0.621;1.0;0.0;0.556;0.167;0.333;0.0;0.0;0.0;0.2;0.143;0.516;0.474;0.474;0.474;0.65;0.333;0.474;0.474;0.0;0.056;0.368;0.0;0.333
ENST00000399441_90_90;0.233;0.233;0.0;1.0;0.0;0.0;0.0;0.333;0.111;0.5;0.0;0.0;0.233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.538;0.0;0.0;0.375;0.0
ENST00000399443_90_90;0.3;0.345;0.556;0.0;1.0;0.3;0.6;0.0;0.0;0.0;0.0;0.231;0.3;0.818;0.818;0.818;0.562;0.6;0.818;0.818;0.0;0.1;0.636;0.0;0.333
ENST00000578013_90_90;0.103;0.103;0.167;0.0;0.3;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.103;0.3;0.3;0.3;0.2;0.5;0.3;0.3;0.0;0.0;0.1;0.0;0.0
ENST00000578055_90_90;0.167;0.207;0.333;0.0;0.6;0.125;1.0;0.0;0.0;0.0;0.0;0.333;0.167;0.455;0.455;0.455;0.312;0.2;0.455;0.455;0.0;0.167;0.4;0.0;0.333
ENST00000578091_90_90;0.138;0.138;0.0;0.333;0.0;0.0;0.0;1.0;0.5;0.6;0.0;0.0;0.138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.333;0.0;0.0;0.4;0.0
ENST00000579851_90_90;0.069;0.069;0.0;0.111;0.0;0.0;0.0;0.5;1.0;0.2;0.0;0.0;0.069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.167;0.0;0.0;0.25;0.0
ENST00000582645_90_90;0.138;0.138;0.0;0.5;0.0;0.0;0.0;0.6;0.2;1.0;0.0;0.0;0.138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.333;0.0;0.0;0.4;0.0
ENST00000584119_90_90;0.129;0.129;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.129;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.094;0.094;0.143;0.0;0.231;0.0;0.333;0.0;0.0;0.0;0.0;1.0;0.094;0.231;0.231;0.231;0.167;0.091;0.231;0.231;0.0;0.0;0.273;0.0;0.231
ENSMUST00000074352_90_90;0.812;0.812;0.516;0.233;0.3;0.103;0.167;0.138;0.069;0.138;0.129;0.094;1.0;0.345;0.345;0.345;0.517;0.207;0.345;0.345;0.281;0.034;0.276;0.103;0.3
ENSMUST00000117361_90_90;0.345;0.3;0.474;0.0;0.818;0.3;0.455;0.0;0.0;0.0;0.0;0.231;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000118313_90_90;0.345;0.3;0.474;0.0;0.818;0.3;0.455;0.0;0.0;0.0;0.0;0.231;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000119043_90_90;0.345;0.3;0.474;0.0;0.818;0.3;0.455;0.0;0.0;0.0;0.0;0.231;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000119512_90_90;0.467;0.419;0.65;0.0;0.562;0.2;0.312;0.0;0.0;0.0;0.05;0.167;0.517;0.667;0.667;0.667;1.0;0.4;0.667;0.667;0.0;0.067;0.533;0.0;0.562
ENSMUST00000121774_90_90;0.207;0.207;0.333;0.0;0.6;0.5;0.2;0.0;0.0;0.0;0.0;0.091;0.207;0.6;0.6;0.6;0.4;1.0;0.6;0.6;0.0;0.0;0.4;0.0;0.143
ENSMUST00000121808_90_90;0.345;0.3;0.474;0.0;0.818;0.3;0.455;0.0;0.0;0.0;0.0;0.231;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000121888_90_90;0.345;0.3;0.474;0.0;0.818;0.3;0.455;0.0;0.0;0.0;0.0;0.231;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000122175_90_90;0.323;0.323;0.0;0.538;0.0;0.0;0.0;0.333;0.167;0.333;0.0;0.0;0.281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.25;0.0
ENSMUST00000124570_90_90;0.034;0.034;0.056;0.0;0.1;0.0;0.167;0.0;0.0;0.0;0.0;0.0;0.034;0.1;0.1;0.1;0.067;0.0;0.1;0.1;0.0;1.0;0.125;0.0;0.1
ENSMUST00000143077_90_90;0.276;0.233;0.368;0.0;0.636;0.1;0.4;0.0;0.0;0.0;0.0;0.273;0.276;0.8;0.8;0.8;0.533;0.4;0.8;0.8;0.0;0.125;1.0;0.0;0.5
ENSMUST00000147197_90_90;0.103;0.103;0.0;0.375;0.0;0.0;0.0;0.4;0.25;0.4;0.0;0.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;1.0;0.0
ENSMUST00000155650_90_90;0.258;0.219;0.333;0.0;0.333;0.0;0.333;0.0;0.0;0.0;0.0;0.231;0.3;0.429;0.429;0.429;0.562;0.143;0.429;0.429;0.0;0.1;0.5;0.0;1.0
