;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.905;0.889;0.03;0.724;0.0;0.0;0.901;0.118;0.75;0.124;0.684;0.381;0.07;0.263;0.127;0.281;0.941;1.0;0.206;0.821
ENST00000268049_90_90;0.905;1.0;0.922;0.027;0.756;0.0;0.0;0.938;0.139;0.749;0.213;0.622;0.474;0.067;0.306;0.128;0.323;0.85;0.911;0.165;0.762
ENST00000380324_90_90;0.889;0.922;1.0;0.027;0.827;0.049;0.049;0.917;0.195;0.73;0.175;0.605;0.424;0.119;0.367;0.123;0.383;0.851;0.913;0.166;0.764
ENST00000538686_90_90;0.03;0.027;0.027;1.0;0.0;0.0;0.0;0.027;0.0;0.042;0.0;0.0;0.053;0.0;0.0;0.0;0.055;0.033;0.03;0.0;0.0
ENST00000540797_90_90;0.724;0.756;0.827;0.0;1.0;0.058;0.058;0.752;0.247;0.669;0.178;0.705;0.257;0.142;0.464;0.141;0.218;0.684;0.746;0.215;0.924
ENST00000557884_90_90;0.0;0.0;0.049;0.0;0.058;1.0;1.0;0.0;0.243;0.0;0.0;0.0;0.0;0.311;0.137;0.0;0.127;0.0;0.0;0.0;0.0
ENST00000558157_90_90;0.0;0.0;0.049;0.0;0.058;1.0;1.0;0.0;0.243;0.0;0.0;0.0;0.0;0.311;0.137;0.0;0.127;0.0;0.0;0.0;0.0
ENST00000558285_90_90;0.901;0.938;0.917;0.027;0.752;0.0;0.0;1.0;0.139;0.744;0.176;0.618;0.427;0.067;0.305;0.127;0.323;0.843;0.904;0.165;0.756
ENST00000559192_90_90;0.118;0.139;0.195;0.0;0.247;0.243;0.243;0.139;1.0;0.0;0.438;0.0;0.23;0.202;0.475;0.0;0.405;0.126;0.119;0.522;0.163
ENST00000559257_90_90;0.75;0.749;0.73;0.042;0.669;0.0;0.0;0.744;0.0;1.0;0.0;0.787;0.223;0.085;0.179;0.155;0.126;0.689;0.75;0.079;0.726
ENST00000559276_90_90;0.124;0.213;0.175;0.0;0.178;0.0;0.0;0.176;0.438;0.0;1.0;0.0;0.406;0.0;0.297;0.0;0.33;0.132;0.124;0.333;0.116
ENST00000559711_90_90;0.684;0.622;0.605;0.0;0.705;0.0;0.0;0.618;0.0;0.787;0.0;1.0;0.113;0.091;0.192;0.165;0.025;0.623;0.684;0.087;0.78
ENST00000559771_90_90;0.381;0.474;0.424;0.053;0.257;0.0;0.0;0.427;0.23;0.223;0.406;0.113;1.0;0.0;0.449;0.0;0.549;0.405;0.382;0.337;0.224
ENST00000559873_90_90;0.07;0.067;0.119;0.0;0.142;0.311;0.311;0.067;0.202;0.085;0.0;0.091;0.0;1.0;0.125;0.0;0.115;0.077;0.072;0.0;0.086
ENST00000560070_90_90;0.263;0.306;0.367;0.0;0.464;0.137;0.137;0.305;0.475;0.179;0.297;0.192;0.449;0.125;1.0;0.0;0.359;0.285;0.268;0.459;0.352
ENST00000560202_90_90;0.127;0.128;0.123;0.0;0.141;0.0;0.0;0.127;0.0;0.155;0.0;0.165;0.0;0.0;0.0;1.0;0.0;0.137;0.127;0.0;0.147
ENST00000561442_90_90;0.281;0.323;0.383;0.055;0.218;0.127;0.127;0.323;0.405;0.126;0.33;0.025;0.549;0.115;0.359;0.0;1.0;0.3;0.284;0.268;0.125
ENSMUST00000098613_90_90;0.941;0.85;0.851;0.033;0.684;0.0;0.0;0.843;0.126;0.689;0.132;0.623;0.405;0.077;0.285;0.137;0.3;1.0;0.941;0.217;0.762
ENSMUST00000127569_90_90;1.0;0.911;0.913;0.03;0.746;0.0;0.0;0.904;0.119;0.75;0.124;0.684;0.382;0.072;0.268;0.127;0.284;0.941;1.0;0.206;0.821
ENSMUST00000139547_90_90;0.206;0.165;0.166;0.0;0.215;0.0;0.0;0.165;0.522;0.079;0.333;0.087;0.337;0.0;0.459;0.0;0.268;0.217;0.206;1.0;0.271
ENSMUST00000174387_90_90;0.821;0.762;0.764;0.0;0.924;0.0;0.0;0.756;0.163;0.726;0.116;0.78;0.224;0.086;0.352;0.147;0.125;0.762;0.821;0.271;1.0
