;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;1.0;0.259;0.259;0.087;0.087;0.713;0.713;0.713;0.713;0.218;0.218;0.309;0.309;0.27;0.27;0.218;0.278;0.278;0.265;0.198;0.198;0.278;0.296;0.283
transcript9_ENSXMAG00000026005;1.0;1.0;0.259;0.259;0.087;0.087;0.713;0.713;0.713;0.713;0.218;0.218;0.309;0.309;0.27;0.27;0.218;0.278;0.278;0.265;0.198;0.198;0.278;0.296;0.283
transcript14_ENSAPOG00000016134;0.259;0.259;1.0;1.0;0.669;0.669;0.185;0.185;0.185;0.185;0.772;0.772;0.838;0.838;0.611;0.611;0.775;0.591;0.931;0.977;0.857;0.857;0.931;0.876;0.917
transcript14_ENSAPOG00000023408;0.259;0.259;1.0;1.0;0.669;0.669;0.185;0.185;0.185;0.185;0.772;0.772;0.838;0.838;0.611;0.611;0.775;0.591;0.931;0.977;0.857;0.857;0.931;0.876;0.917
transcript21_ENSAPOG00000016134;0.087;0.087;0.669;0.669;1.0;1.0;0.0;0.0;0.0;0.0;0.687;0.687;0.618;0.618;0.499;0.499;0.691;0.476;0.719;0.647;0.639;0.639;0.719;0.659;0.703
transcript21_ENSPNYG00000024266;0.087;0.087;0.669;0.669;1.0;1.0;0.0;0.0;0.0;0.0;0.687;0.687;0.618;0.618;0.499;0.499;0.691;0.476;0.719;0.647;0.639;0.639;0.719;0.659;0.703
transcript7_ENSAPOG00000023408;0.713;0.713;0.185;0.185;0.0;0.0;1.0;1.0;1.0;1.0;0.239;0.239;0.221;0.221;0.302;0.302;0.239;0.313;0.198;0.189;0.216;0.216;0.198;0.211;0.202
transcript7_ENSAOCG00000015695;0.713;0.713;0.185;0.185;0.0;0.0;1.0;1.0;1.0;1.0;0.239;0.239;0.221;0.221;0.302;0.302;0.239;0.313;0.198;0.189;0.216;0.216;0.198;0.211;0.202
transcript7_ENSPNYG00000024266;0.713;0.713;0.185;0.185;0.0;0.0;1.0;1.0;1.0;1.0;0.239;0.239;0.221;0.221;0.302;0.302;0.239;0.313;0.198;0.189;0.216;0.216;0.198;0.211;0.202
transcript7_ENSXMAG00000026005;0.713;0.713;0.185;0.185;0.0;0.0;1.0;1.0;1.0;1.0;0.239;0.239;0.221;0.221;0.302;0.302;0.239;0.313;0.198;0.189;0.216;0.216;0.198;0.211;0.202
