;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.873;0.746;0.273;0.264;0.273;0.264;0.244;0.202;0.963;0.827;0.963;0.171
ENST00000278422_90_90;0.873;1.0;0.865;0.317;0.264;0.317;0.264;0.288;0.241;0.84;0.713;0.84;0.171
ENST00000378312_90_90;0.746;0.865;1.0;0.366;0.244;0.366;0.244;0.333;0.277;0.713;0.817;0.713;0.197
ENST00000524972_90_90;0.273;0.317;0.366;1.0;0.524;1.0;0.524;0.695;0.702;0.281;0.325;0.281;0.515
ENST00000525035_90_90;0.264;0.264;0.244;0.524;1.0;0.524;1.0;0.569;0.575;0.273;0.252;0.273;0.433
ENST00000528110_90_90;0.273;0.317;0.366;1.0;0.524;1.0;0.524;0.695;0.702;0.281;0.325;0.281;0.515
ENST00000529403_90_90;0.264;0.264;0.244;0.524;1.0;0.524;1.0;0.569;0.575;0.273;0.252;0.273;0.433
ENST00000530114_90_90;0.244;0.288;0.333;0.695;0.569;0.695;0.569;1.0;0.781;0.252;0.291;0.252;0.592
ENST00000533602_90_90;0.202;0.241;0.277;0.702;0.575;0.702;0.575;0.781;1.0;0.207;0.238;0.207;0.603
ENSMUST00000053664_90_90;0.963;0.84;0.713;0.281;0.273;0.281;0.273;0.252;0.207;1.0;0.859;1.0;0.175
ENSMUST00000111664_90_90;0.827;0.713;0.817;0.325;0.252;0.325;0.252;0.291;0.238;0.859;1.0;0.859;0.202
ENSMUST00000111665_90_90;0.963;0.84;0.713;0.281;0.273;0.281;0.273;0.252;0.207;1.0;0.859;1.0;0.175
ENSMUST00000152149_90_90;0.171;0.171;0.197;0.515;0.433;0.515;0.433;0.592;0.603;0.175;0.202;0.175;1.0
