;ENSCAFT00000027907_90_90;ENST00000344626_90_90;ENST00000413806_90_90;ENST00000429416_90_90;ENST00000444061_90_90;ENST00000450717_90_90;ENST00000541122_90_90;ENST00000586985_90_90;ENST00000589677_90_90;ENST00000590574_90_90;ENST00000592158_90_90;ENSMUST00000034707_90_90;ENSMUST00000098948_90_90;ENSMUST00000172996_90_90;ENSMUST00000174008_90_90
ENSCAFT00000027907_90_90;1.0;0.957;0.917;0.957;0.964;0.918;0.966;0.068;0.932;1.0;0.141;1.0;0.966;0.623;0.964
ENST00000344626_90_90;0.957;1.0;0.883;1.0;0.923;0.96;0.926;0.065;0.895;0.957;0.135;0.957;0.926;0.664;0.923
ENST00000413806_90_90;0.917;0.883;1.0;0.883;0.886;0.851;0.95;0.062;0.918;0.917;0.166;0.917;0.95;0.625;0.886
ENST00000429416_90_90;0.957;1.0;0.883;1.0;0.923;0.96;0.926;0.065;0.895;0.957;0.135;0.957;0.926;0.664;0.923
ENST00000444061_90_90;0.964;0.923;0.886;0.923;1.0;0.887;0.932;0.07;0.964;0.964;0.148;0.964;0.932;0.639;1.0
ENST00000450717_90_90;0.918;0.96;0.851;0.96;0.887;1.0;0.892;0.062;0.862;0.918;0.128;0.918;0.892;0.64;0.887
ENST00000541122_90_90;0.966;0.926;0.95;0.926;0.932;0.892;1.0;0.065;0.966;0.966;0.176;0.966;1.0;0.655;0.932
ENST00000586985_90_90;0.068;0.065;0.062;0.065;0.07;0.062;0.065;1.0;0.068;0.068;0.0;0.068;0.065;0.0;0.07
ENST00000589677_90_90;0.932;0.895;0.918;0.895;0.964;0.862;0.966;0.068;1.0;0.932;0.185;0.932;0.966;0.674;0.964
ENST00000590574_90_90;1.0;0.957;0.917;0.957;0.964;0.918;0.966;0.068;0.932;1.0;0.141;1.0;0.966;0.623;0.964
ENST00000592158_90_90;0.141;0.135;0.166;0.135;0.148;0.128;0.176;0.0;0.185;0.141;1.0;0.141;0.176;0.254;0.148
ENSMUST00000034707_90_90;1.0;0.957;0.917;0.957;0.964;0.918;0.966;0.068;0.932;1.0;0.141;1.0;0.966;0.623;0.964
ENSMUST00000098948_90_90;0.966;0.926;0.95;0.926;0.932;0.892;1.0;0.065;0.966;0.966;0.176;0.966;1.0;0.655;0.932
ENSMUST00000172996_90_90;0.623;0.664;0.625;0.664;0.639;0.64;0.655;0.0;0.674;0.623;0.254;0.623;0.655;1.0;0.639
ENSMUST00000174008_90_90;0.964;0.923;0.886;0.923;1.0;0.887;0.932;0.07;0.964;0.964;0.148;0.964;0.932;0.639;1.0
