;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.984;0.948;0.999;0.984;0.847;0.969;0.898;0.551;0.874;0.969;0.568;0.568;0.892;0.961;0.542
transcript19_ppan;0.984;1.0;0.964;0.983;0.969;0.833;0.984;0.912;0.542;0.862;0.968;0.56;0.56;0.88;0.976;0.533
transcript20_ppan;0.948;0.964;1.0;0.947;0.933;0.801;0.948;0.946;0.522;0.835;0.933;0.541;0.541;0.852;0.948;0.514
transcript12_ptro;0.999;0.983;0.947;1.0;0.983;0.846;0.967;0.896;0.55;0.873;0.967;0.567;0.567;0.891;0.959;0.541
transcript12_hsap;0.984;0.969;0.933;0.983;1.0;0.861;0.984;0.913;0.558;0.861;0.953;0.56;0.56;0.879;0.945;0.536
transcript18_hsap;0.847;0.833;0.801;0.846;0.861;1.0;0.846;0.841;0.584;0.814;0.82;0.575;0.575;0.842;0.813;0.562
transcript19_hsap;0.969;0.984;0.948;0.967;0.984;0.846;1.0;0.927;0.549;0.849;0.953;0.553;0.553;0.866;0.96;0.528
transcript20_hsap;0.898;0.912;0.946;0.896;0.913;0.841;0.927;1.0;0.509;0.79;0.882;0.514;0.514;0.808;0.896;0.489
transcript21_hsap;0.551;0.542;0.522;0.55;0.558;0.584;0.549;0.509;1.0;0.596;0.535;0.93;0.93;0.578;0.531;0.966
transcript11_ggor;0.874;0.862;0.835;0.873;0.861;0.814;0.849;0.79;0.596;1.0;0.873;0.646;0.646;0.964;0.877;0.594
transcript12_ggor;0.969;0.968;0.933;0.967;0.953;0.82;0.953;0.882;0.535;0.873;1.0;0.566;0.566;0.891;0.976;0.527
transcript16_ggor;0.568;0.56;0.541;0.567;0.56;0.575;0.553;0.514;0.93;0.646;0.566;1.0;1.0;0.623;0.567;0.923
transcript17_ggor;0.568;0.56;0.541;0.567;0.56;0.575;0.553;0.514;0.93;0.646;0.566;1.0;1.0;0.623;0.567;0.923
transcript18_ggor;0.892;0.88;0.852;0.891;0.879;0.842;0.866;0.808;0.578;0.964;0.891;0.623;0.623;1.0;0.896;0.573
transcript19_ggor;0.961;0.976;0.948;0.959;0.945;0.813;0.96;0.896;0.531;0.877;0.976;0.567;0.567;0.896;1.0;0.523
transcript8_pabe;0.542;0.533;0.514;0.541;0.536;0.562;0.528;0.489;0.966;0.594;0.527;0.923;0.923;0.573;0.523;1.0
