;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.972;0.972;0.997;0.918;0.99;0.99;0.996;0.921;0.844;0.768;0.252;0.964;1.0;0.349;0.798;0.884;0.884;0.326;0.884;0.884;0.884;0.737;0.163;0.376;0.3;0.76;0.281;0.163;0.434;0.752;0.33;0.475;0.964;0.159;0.151;0.37;1.0;0.922;0.966;0.957;0.798;0.807;0.927;0.927;0.927;0.844;0.996;0.16;0.844;0.485;0.161;0.996;0.083;0.741;0.903;0.903;0.903;0.903;0.903;0.363;0.903;0.03;0.061
ENSCAFT00000013439_90_90;0.972;1.0;0.893;0.995;0.92;0.853;0.853;0.862;0.771;0.827;0.736;0.184;0.797;0.845;0.207;0.762;0.899;0.969;0.251;0.929;0.911;0.911;0.79;0.099;0.314;0.237;0.643;0.219;0.099;0.373;0.843;0.267;0.414;0.796;0.037;0.133;0.226;0.844;0.745;0.786;0.792;0.762;0.597;0.908;0.981;0.942;0.829;0.865;0.142;0.829;0.384;0.038;0.865;0.015;0.776;0.924;0.924;0.924;0.924;0.924;0.303;0.924;0.009;0.009
ENSCAFT00000037016_90_90;0.972;0.893;1.0;0.995;0.952;0.884;0.884;0.893;0.799;0.858;0.763;0.19;0.826;0.875;0.213;0.791;0.91;0.948;0.254;0.99;0.933;0.933;0.809;0.101;0.321;0.242;0.66;0.224;0.101;0.382;0.863;0.273;0.424;0.826;0.038;0.137;0.234;0.875;0.772;0.816;0.82;0.791;0.617;0.917;0.96;1.0;0.859;0.895;0.146;0.859;0.397;0.039;0.895;0.016;0.8;0.95;0.95;0.95;0.95;0.95;0.311;0.95;0.009;0.009
ENSCAFT00000021145_90_90;0.997;0.995;0.995;1.0;0.933;0.995;0.995;1.0;0.937;0.855;0.793;0.228;0.855;0.998;0.299;0.718;0.898;0.898;0.319;0.898;0.901;0.901;0.716;0.148;0.345;0.275;0.708;0.259;0.148;0.398;0.78;0.302;0.436;0.855;0.129;0.137;0.32;0.998;0.817;0.855;0.959;0.718;0.712;0.947;0.947;0.947;0.855;1.0;0.132;0.855;0.419;0.15;1.0;0.086;0.724;0.918;0.918;0.918;0.918;0.918;0.337;0.918;0.028;0.056
ENSCAFT00000025193_90_90;0.918;0.92;0.952;0.933;1.0;0.839;0.839;0.847;0.774;0.851;0.775;0.22;0.75;0.831;0.211;0.75;0.912;0.967;0.319;0.953;0.986;0.986;0.833;0.138;0.297;0.241;0.613;0.227;0.138;0.344;0.873;0.263;0.374;0.756;0.036;0.151;0.228;0.837;0.713;0.747;0.794;0.756;0.591;0.909;0.966;0.952;0.853;0.849;0.157;0.853;0.352;0.036;0.849;0.0;0.824;1.0;1.0;1.0;1.0;1.0;0.295;1.0;0.022;0.044
ENST00000302271_90_90;0.99;0.853;0.884;0.995;0.839;1.0;1.0;0.988;0.942;0.845;0.797;0.227;0.842;0.992;0.301;0.706;0.799;0.829;0.323;0.82;0.811;0.811;0.637;0.15;0.348;0.278;0.7;0.261;0.15;0.391;0.697;0.305;0.429;0.842;0.13;0.138;0.321;0.992;0.804;0.842;0.954;0.706;0.71;0.814;0.863;0.853;0.85;0.995;0.133;0.85;0.414;0.151;0.995;0.087;0.648;0.83;0.83;0.83;0.83;0.83;0.34;0.83;0.028;0.057
ENST00000374612_90_90;0.99;0.853;0.884;0.995;0.839;1.0;1.0;0.988;0.942;0.845;0.797;0.227;0.842;0.992;0.301;0.706;0.799;0.829;0.323;0.82;0.811;0.811;0.637;0.15;0.348;0.278;0.7;0.261;0.15;0.391;0.697;0.305;0.429;0.842;0.13;0.138;0.321;0.992;0.804;0.842;0.954;0.706;0.71;0.814;0.863;0.853;0.85;0.995;0.133;0.85;0.414;0.151;0.995;0.087;0.648;0.83;0.83;0.83;0.83;0.83;0.34;0.83;0.028;0.057
ENST00000374616_90_90;0.996;0.862;0.893;1.0;0.847;0.988;0.988;1.0;0.931;0.857;0.788;0.224;0.847;0.998;0.299;0.712;0.809;0.838;0.319;0.83;0.82;0.82;0.645;0.148;0.345;0.275;0.708;0.259;0.148;0.398;0.705;0.302;0.436;0.847;0.129;0.137;0.32;0.998;0.809;0.847;0.959;0.712;0.706;0.823;0.873;0.863;0.855;1.0;0.132;0.855;0.419;0.15;1.0;0.086;0.656;0.838;0.838;0.838;0.838;0.838;0.337;0.838;0.028;0.056
ENST00000427764_90_90;0.921;0.771;0.799;0.937;0.774;0.942;0.942;0.931;1.0;0.788;0.847;0.24;0.781;0.931;0.239;0.645;0.722;0.748;0.236;0.74;0.748;0.748;0.574;0.117;0.277;0.207;0.629;0.19;0.117;0.321;0.648;0.234;0.358;0.781;0.138;0.089;0.259;0.931;0.743;0.781;0.892;0.645;0.648;0.736;0.782;0.772;0.792;0.937;0.074;0.792;0.356;0.161;0.937;0.092;0.584;0.766;0.766;0.766;0.766;0.766;0.269;0.766;0.03;0.061
ENST00000478691_90_90;0.844;0.827;0.858;0.855;0.851;0.845;0.845;0.857;0.788;1.0;0.92;0.261;0.714;0.863;0.163;0.826;0.865;0.907;0.352;0.895;0.833;0.833;0.651;0.12;0.334;0.259;0.737;0.24;0.12;0.394;0.78;0.288;0.437;0.714;0.0;0.158;0.182;0.863;0.675;0.714;0.825;0.826;0.571;0.815;0.871;0.858;1.0;0.855;0.154;1.0;0.274;0.005;0.855;0.0;0.663;0.852;0.852;0.852;0.852;0.852;0.327;0.852;0.0;0.02
