nucHom;degHom;tsm
1.0;1.0;1.0
1.0;1.0;1.0
0.31;1.0;0.655
0.31;0.926;0.618
0.353;0.867;0.61
0.397;0.552;0.475
0.432;0.861;0.646
0.383;0.491;0.437
0.446;0.825;0.635
0.564;1.0;0.782
0.396;0.794;0.595
0.428;0.888;0.658
0.367;0.606;0.486
0.444;1.0;0.722
0.563;1.0;0.781
0.586;1.0;0.793
0.469;1.0;0.734
0.493;1.0;0.746
0.545;1.0;0.772
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.224;0.63;0.427
0.266;0.63;0.448
0.187;0.485;0.336
0.348;0.752;0.55
0.088;0.267;0.177
0.154;0.291;0.222
0.056;0.115;0.086
0.184;0.57;0.377
0.061;0.268;0.165
0.19;0.732;0.461
0.204;0.732;0.468
0.204;0.732;0.468
0.0;0.0;0.0
0.028;0.043;0.035
0.268;1.0;0.634
0.039;1.0;0.519
0.507;1.0;0.754
0.53;1.0;0.765
0.516;1.0;0.758
0.0;0.0;0.0
0.025;0.129;0.077
0.007;0.017;0.012
0.0;0.0;0.0
0.188;0.853;0.52
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.245;0.767;0.506
0.297;0.758;0.527
0.015;0.058;0.037
1.0;1.0;1.0
1.0;1.0;1.0
0.31;1.0;0.655
0.31;0.926;0.618
0.353;0.867;0.61
0.397;0.552;0.475
0.432;0.861;0.646
0.383;0.491;0.437
0.446;0.825;0.635
0.564;1.0;0.782
0.396;0.794;0.595
0.428;0.888;0.658
0.367;0.606;0.486
0.444;1.0;0.722
0.563;1.0;0.781
0.586;1.0;0.793
0.469;1.0;0.734
0.493;1.0;0.746
0.545;1.0;0.772
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.224;0.63;0.427
0.266;0.63;0.448
0.187;0.485;0.336
0.348;0.752;0.55
0.088;0.267;0.177
0.154;0.291;0.222
0.056;0.115;0.086
0.184;0.57;0.377
0.061;0.268;0.165
0.19;0.732;0.461
0.204;0.732;0.468
0.204;0.732;0.468
0.0;0.0;0.0
0.028;0.043;0.035
0.268;1.0;0.634
0.039;1.0;0.519
0.507;1.0;0.754
0.53;1.0;0.765
0.516;1.0;0.758
0.0;0.0;0.0
0.025;0.129;0.077
0.007;0.017;0.012
0.0;0.0;0.0
0.188;0.853;0.52
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.245;0.767;0.506
0.297;0.758;0.527
0.015;0.058;0.037
0.31;1.0;0.655
0.31;1.0;0.655
1.0;1.0;1.0
0.92;0.905;0.913
0.643;0.843;0.743
0.247;0.287;0.267
0.578;0.691;0.634
0.272;0.298;0.285
0.852;0.976;0.914
0.779;1.0;0.889
0.727;0.964;0.845
0.747;1.0;0.873
0.488;0.651;0.57
0.926;1.0;0.963
0.556;1.0;0.778
0.584;1.0;0.792
0.926;1.0;0.963
0.735;1.0;0.867
0.553;1.0;0.776
0.414;0.978;0.696
0.414;0.978;0.696
0.037;0.098;0.068
0.0;0.0;0.0
0.414;0.978;0.696
0.356;0.614;0.485
0.304;0.462;0.383
0.178;0.317;0.247
0.21;0.359;0.284
0.317;0.476;0.396
0.161;0.241;0.201
0.043;0.076;0.059
0.385;0.628;0.506
0.224;0.48;0.352
0.518;1.0;0.759
0.621;1.0;0.81
0.621;1.0;0.81
0.101;0.168;0.135
0.261;0.488;0.374
0.777;1.0;0.889
0.496;1.0;0.748
0.784;0.925;0.855
0.921;0.96;0.941
0.954;1.0;0.977
0.0;0.0;0.0
0.24;0.488;0.364
0.249;0.488;0.368
0.17;0.268;0.219
0.518;1.0;0.759
0.52;1.0;0.76
0.121;0.186;0.153
0.174;0.304;0.239
0.403;0.824;0.613
0.204;0.361;0.282
0.371;0.613;0.492
0.31;0.926;0.618
0.31;0.926;0.618
0.92;0.905;0.913
1.0;1.0;1.0
0.578;0.736;0.657
0.267;0.321;0.294
0.502;0.584;0.543
0.295;0.333;0.314
0.813;0.923;0.868
0.743;0.946;0.845
0.659;0.849;0.754
0.678;0.886;0.782
0.523;0.735;0.629
0.846;0.897;0.871
0.517;0.91;0.714
0.543;0.91;0.727
0.846;0.897;0.871
0.666;0.881;0.774
0.514;0.91;0.712
0.369;0.87;0.619
0.369;0.87;0.619
0.04;0.11;0.075
0.0;0.0;0.0
0.369;0.87;0.619
0.29;0.483;0.386
0.229;0.331;0.28
0.105;0.186;0.145
0.135;0.228;0.181
0.247;0.345;0.296
0.176;0.278;0.227
0.047;0.087;0.067
0.315;0.497;0.406
0.238;0.566;0.402
0.452;0.848;0.65
0.541;0.848;0.695
0.541;0.848;0.695
0.108;0.198;0.153
0.279;0.575;0.427
0.737;0.915;0.826
0.428;0.836;0.632
0.75;0.854;0.802
0.885;0.889;0.887
0.874;0.897;0.885
0.0;0.0;0.0
0.256;0.574;0.415
0.266;0.574;0.42
0.182;0.315;0.248
0.453;0.85;0.651
0.475;0.902;0.689
0.132;0.207;0.169
0.189;0.337;0.263
0.338;0.678;0.508
0.193;0.324;0.259
0.298;0.518;0.408
0.353;0.867;0.61
0.353;0.867;0.61
0.643;0.843;0.743
0.578;0.736;0.657
1.0;1.0;1.0
0.346;0.311;0.329
0.581;0.601;0.591
0.28;0.233;0.257
0.613;0.738;0.675
0.693;0.829;0.761
0.819;0.87;0.845
0.854;0.918;0.886
0.618;0.608;0.613
0.682;0.833;0.758
0.661;0.885;0.773
0.633;0.853;0.743
0.682;0.833;0.758
0.916;0.936;0.926
0.635;0.885;0.76
0.324;0.846;0.585
0.324;0.846;0.585
0.095;0.318;0.207
0.0;0.0;0.0
0.324;0.846;0.585
0.552;0.713;0.633
0.333;0.43;0.382
0.283;0.411;0.347
0.3;0.43;0.365
0.446;0.583;0.514
