;transcript9_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript38_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript9_ENSMUNG00000002377;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript10_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;1.0;1.0;0.877;0.754;0.667;0.708;0.724;0.953;0.943;0.933;0.655;0.928;0.774;0.797;0.763;0.827;0.926;0.655;0.896;0.984
transcript31_ENSMUNG00000007775;1.0;1.0;1.0;0.877;0.754;0.667;0.708;0.724;0.953;0.943;0.933;0.655;0.928;0.774;0.797;0.763;0.827;0.926;0.655;0.896;0.984
transcript33_ENSMUNG00000007775;1.0;1.0;1.0;0.877;0.754;0.667;0.708;0.724;0.953;0.943;0.933;0.655;0.928;0.774;0.797;0.763;0.827;0.926;0.655;0.896;0.984
transcript25_ENSMUNG00000007775;0.877;0.877;0.877;1.0;0.726;0.639;0.693;0.709;0.924;0.913;0.905;0.625;0.899;0.746;0.768;0.734;0.71;0.898;0.625;0.868;0.862
transcript38_ENSMUNG00000002377;0.754;0.754;0.754;0.726;1.0;0.772;0.835;0.854;0.801;0.809;0.8;0.631;0.791;0.911;0.944;0.988;0.879;0.826;0.631;0.782;0.771
transcript36_ENSMUNG00000002377;0.667;0.667;0.667;0.639;0.772;1.0;0.687;0.706;0.715;0.722;0.713;0.768;0.69;0.762;0.79;0.783;0.725;0.712;0.768;0.673;0.659
transcript35_ENSMUNG00000002377;0.708;0.708;0.708;0.693;0.835;0.687;1.0;0.98;0.752;0.76;0.752;0.587;0.729;0.923;0.888;0.846;0.853;0.776;0.587;0.749;0.723
transcript27_ENSMUNG00000002377;0.724;0.724;0.724;0.709;0.854;0.706;0.98;1.0;0.769;0.776;0.768;0.605;0.745;0.942;0.907;0.865;0.872;0.792;0.605;0.765;0.74
transcript21_ENSMUNG00000007775;0.953;0.953;0.953;0.924;0.801;0.715;0.752;0.769;1.0;0.989;0.98;0.702;0.975;0.819;0.844;0.81;0.784;0.974;0.702;0.942;0.938
transcript23_ENSMUNG00000007775;0.943;0.943;0.943;0.913;0.809;0.722;0.76;0.776;0.989;1.0;0.991;0.709;0.964;0.827;0.853;0.818;0.792;0.984;0.709;0.931;0.926
transcript26_ENSMUNG00000007775;0.933;0.933;0.933;0.905;0.8;0.713;0.752;0.768;0.98;0.991;1.0;0.714;0.956;0.819;0.844;0.809;0.784;0.976;0.714;0.924;0.918
transcript30_ENSMUNG00000007775;0.655;0.655;0.655;0.625;0.631;0.768;0.587;0.605;0.702;0.709;0.714;1.0;0.676;0.658;0.68;0.641;0.618;0.699;1.0;0.66;0.645
transcript32_ENSMUNG00000007775;0.928;0.928;0.928;0.899;0.791;0.69;0.729;0.745;0.975;0.964;0.956;0.676;1.0;0.795;0.82;0.785;0.76;0.949;0.676;0.918;0.913
transcript13_ENSMUNG00000002377;0.774;0.774;0.774;0.746;0.911;0.762;0.923;0.942;0.819;0.827;0.819;0.658;0.795;1.0;0.965;0.921;0.901;0.843;0.658;0.814;0.789
transcript23_ENSMUNG00000002377;0.797;0.797;0.797;0.768;0.944;0.79;0.888;0.907;0.844;0.853;0.844;0.68;0.82;0.965;1.0;0.955;0.934;0.869;0.68;0.823;0.813
transcript37_ENSMUNG00000002377;0.763;0.763;0.763;0.734;0.988;0.783;0.846;0.865;0.81;0.818;0.809;0.641;0.785;0.921;0.955;1.0;0.89;0.834;0.641;0.79;0.78
transcript9_ENSMUNG00000002377;0.827;0.827;0.827;0.71;0.879;0.725;0.853;0.872;0.784;0.792;0.784;0.618;0.76;0.901;0.934;0.89;1.0;0.809;0.618;0.764;0.843
transcript23_ENSMUNG00000002391;0.926;0.926;0.926;0.898;0.826;0.712;0.776;0.792;0.974;0.984;0.976;0.699;0.949;0.843;0.869;0.834;0.809;1.0;0.699;0.947;0.943
transcript30_ENSMUNG00000002391;0.655;0.655;0.655;0.625;0.631;0.768;0.587;0.605;0.702;0.709;0.714;1.0;0.676;0.658;0.68;0.641;0.618;0.699;1.0;0.66;0.645
transcript10_ENSMUNG00000002391;0.896;0.896;0.896;0.868;0.782;0.673;0.749;0.765;0.942;0.931;0.924;0.66;0.918;0.814;0.823;0.79;0.764;0.947;0.66;1.0;0.911
transcript33_ENSMUNG00000002391;0.984;0.984;0.984;0.862;0.771;0.659;0.723;0.74;0.938;0.926;0.918;0.645;0.913;0.789;0.813;0.78;0.843;0.943;0.645;0.911;1.0
