;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.792;0.84;0.917;0.231;0.846;0.13;0.917;0.292;0.769;0.68;0.68;0.75;0.792;0.808;0.192;0.217;0.75;0.087
ENST00000333957_90_90;0.792;1.0;0.792;0.87;0.261;0.731;0.095;0.87;0.4;0.792;0.857;0.857;0.95;0.905;0.692;0.217;0.25;0.95;0.1
ENST00000396028_90_90;0.84;0.792;1.0;0.917;0.231;0.92;0.13;0.917;0.292;0.917;0.826;0.826;0.75;0.792;0.88;0.192;0.217;0.75;0.087
ENST00000446597_90_90;0.917;0.87;0.917;1.0;0.231;0.846;0.13;1.0;0.348;0.84;0.75;0.75;0.826;0.87;0.808;0.192;0.217;0.826;0.087
ENST00000535555_90_90;0.231;0.261;0.231;0.231;1.0;0.308;0.0;0.231;0.308;0.28;0.273;0.273;0.273;0.261;0.32;0.889;0.0;0.273;0.0
ENST00000536386_90_90;0.846;0.731;0.92;0.846;0.308;1.0;0.12;0.846;0.269;0.846;0.76;0.76;0.692;0.731;0.96;0.269;0.2;0.692;0.08
ENST00000539615_90_90;0.13;0.095;0.13;0.13;0.0;0.12;1.0;0.13;0.0;0.13;0.1;0.1;0.1;0.15;0.125;0.0;0.0;0.1;0.0
ENST00000542676_90_90;0.917;0.87;0.917;1.0;0.231;0.846;0.13;1.0;0.348;0.84;0.75;0.75;0.826;0.87;0.808;0.192;0.217;0.826;0.087
ENST00000542683_90_90;0.292;0.4;0.292;0.348;0.308;0.269;0.0;0.348;1.0;0.292;0.35;0.35;0.421;0.4;0.28;0.231;0.083;0.421;0.0
ENST00000545552_90_90;0.769;0.792;0.917;0.84;0.28;0.846;0.13;0.84;0.292;1.0;0.826;0.826;0.75;0.792;0.808;0.24;0.217;0.75;0.087
ENSMUST00000087485_90_90;0.68;0.857;0.826;0.75;0.273;0.76;0.1;0.75;0.35;0.826;1.0;1.0;0.9;0.857;0.792;0.227;0.263;0.9;0.105
ENSMUST00000111758_90_90;0.68;0.857;0.826;0.75;0.273;0.76;0.1;0.75;0.35;0.826;1.0;1.0;0.9;0.857;0.792;0.227;0.263;0.9;0.105
ENSMUST00000171349_90_90;0.75;0.95;0.75;0.826;0.273;0.692;0.1;0.826;0.421;0.75;0.9;0.9;1.0;0.95;0.72;0.227;0.263;1.0;0.105
ENSMUST00000203187_90_90;0.792;0.905;0.792;0.87;0.261;0.731;0.15;0.87;0.4;0.792;0.857;0.857;0.95;1.0;0.76;0.217;0.25;0.95;0.1
ENSMUST00000203673_90_90;0.808;0.692;0.88;0.808;0.32;0.96;0.125;0.808;0.28;0.808;0.792;0.792;0.72;0.76;1.0;0.28;0.208;0.72;0.083
ENSMUST00000204043_90_90;0.192;0.217;0.192;0.192;0.889;0.269;0.0;0.192;0.231;0.24;0.227;0.227;0.227;0.217;0.28;1.0;0.0;0.227;0.0
ENSMUST00000204140_90_90;0.217;0.25;0.217;0.217;0.0;0.2;0.0;0.217;0.083;0.217;0.263;0.263;0.263;0.25;0.208;0.0;1.0;0.263;0.4
ENSMUST00000204655_90_90;0.75;0.95;0.75;0.826;0.273;0.692;0.1;0.826;0.421;0.75;0.9;0.9;1.0;0.95;0.72;0.227;0.263;1.0;0.105
ENSMUST00000205119_90_90;0.087;0.1;0.087;0.087;0.0;0.08;0.0;0.087;0.0;0.087;0.105;0.105;0.105;0.1;0.083;0.0;0.4;0.105;1.0
