;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.248;0.816;0.023;0.008;0.975;0.217;0.509;0.97;0.109;0.585;0.136;0.939;0.885;0.854;0.854;0.968;0.217;0.811;0.854
ENST00000297447_90_90;0.248;1.0;0.218;0.067;0.0;0.247;0.889;0.0;0.247;0.0;0.25;0.49;0.217;0.276;0.242;0.242;0.249;0.889;0.22;0.242
ENST00000312046_90_90;0.816;0.218;1.0;0.104;0.048;0.822;0.225;0.535;0.823;0.113;0.616;0.142;0.847;0.853;0.88;0.88;0.802;0.225;0.836;0.88
ENST00000435082_90_90;0.023;0.067;0.104;1.0;0.351;0.022;0.073;0.0;0.022;0.0;0.0;0.0;0.023;0.024;0.025;0.025;0.022;0.073;0.025;0.025
ENST00000438229_90_90;0.008;0.0;0.048;0.351;1.0;0.008;0.0;0.013;0.008;0.053;0.0;0.0;0.008;0.0;0.0;0.0;0.008;0.0;0.01;0.0
ENST00000442977_90_90;0.975;0.247;0.822;0.022;0.008;1.0;0.217;0.515;0.981;0.109;0.592;0.136;0.951;0.876;0.845;0.845;0.966;0.217;0.801;0.845
ENST00000449762_90_90;0.217;0.889;0.225;0.073;0.0;0.217;1.0;0.0;0.217;0.0;0.261;0.551;0.224;0.242;0.251;0.251;0.218;1.0;0.227;0.251
ENST00000497705_90_90;0.509;0.0;0.535;0.0;0.013;0.515;0.0;1.0;0.515;0.188;0.332;0.0;0.531;0.523;0.541;0.541;0.497;0.0;0.518;0.541
ENST00000517566_90_90;0.97;0.247;0.823;0.022;0.008;0.981;0.217;0.515;1.0;0.109;0.592;0.136;0.969;0.877;0.846;0.846;0.96;0.217;0.802;0.846
ENST00000517686_90_90;0.109;0.0;0.113;0.0;0.053;0.109;0.0;0.188;0.109;1.0;0.0;0.0;0.112;0.101;0.105;0.105;0.11;0.0;0.116;0.105
ENST00000519415_90_90;0.585;0.25;0.616;0.0;0.0;0.592;0.261;0.332;0.592;0.0;1.0;0.23;0.611;0.636;0.658;0.658;0.572;0.261;0.595;0.658
ENST00000521592_90_90;0.136;0.49;0.142;0.0;0.0;0.136;0.551;0.0;0.136;0.0;0.23;1.0;0.141;0.153;0.158;0.158;0.137;0.551;0.143;0.158
ENST00000531443_90_90;0.939;0.217;0.847;0.023;0.008;0.951;0.224;0.531;0.969;0.112;0.611;0.141;1.0;0.846;0.873;0.873;0.929;0.224;0.826;0.873
ENSMUST00000022918_90_90;0.885;0.276;0.853;0.024;0.0;0.876;0.242;0.523;0.877;0.101;0.636;0.153;0.846;1.0;0.965;0.965;0.898;0.242;0.874;0.965
ENSMUST00000090095_90_90;0.854;0.242;0.88;0.025;0.0;0.845;0.251;0.541;0.846;0.105;0.658;0.158;0.873;0.965;1.0;1.0;0.867;0.251;0.903;1.0
ENSMUST00000090096_90_90;0.854;0.242;0.88;0.025;0.0;0.845;0.251;0.541;0.846;0.105;0.658;0.158;0.873;0.965;1.0;1.0;0.867;0.251;0.903;1.0
ENSMUST00000110297_90_90;0.968;0.249;0.802;0.022;0.008;0.966;0.218;0.497;0.96;0.11;0.572;0.137;0.929;0.898;0.867;0.867;1.0;0.218;0.821;0.867
ENSMUST00000166917_90_90;0.217;0.889;0.225;0.073;0.0;0.217;1.0;0.0;0.217;0.0;0.261;0.551;0.224;0.242;0.251;0.251;0.218;1.0;0.227;0.251
ENSMUST00000170127_90_90;0.811;0.22;0.836;0.025;0.01;0.801;0.227;0.518;0.802;0.116;0.595;0.143;0.826;0.874;0.903;0.903;0.821;0.227;1.0;0.903
ENSMUST00000179393_90_90;0.854;0.242;0.88;0.025;0.0;0.845;0.251;0.541;0.846;0.105;0.658;0.158;0.873;0.965;1.0;1.0;0.867;0.251;0.903;1.0
