;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.63;0.033;0.714;0.556;0.4;0.37;0.567;0.571;0.444;0.633;0.633;0.636;0.714
ENST00000295894_90_90;0.63;1.0;0.045;0.818;0.889;0.545;0.45;0.773;0.895;0.722;0.323;0.367;0.394;0.444
ENST00000450542_90_90;0.033;0.045;1.0;0.038;0.05;0.235;0.0;0.238;0.045;0.0;0.037;0.037;0.031;0.083
ENST00000460711_90_90;0.714;0.818;0.038;1.0;0.727;0.462;0.375;0.654;0.739;0.591;0.452;0.5;0.515;0.556
ENST00000465156_90_90;0.556;0.889;0.05;0.727;1.0;0.524;0.5;0.682;0.789;0.706;0.258;0.3;0.419;0.389
ENST00000468110_90_90;0.4;0.545;0.235;0.462;0.524;1.0;0.421;0.762;0.545;0.706;0.147;0.147;0.294;0.351
ENST00000472899_90_90;0.37;0.45;0.0;0.375;0.5;0.421;1.0;0.333;0.45;0.6;0.214;0.259;0.345;0.25
ENST00000478300_90_90;0.567;0.773;0.238;0.654;0.682;0.762;0.333;1.0;0.696;0.545;0.294;0.294;0.324;0.486
ENST00000479198_90_90;0.571;0.895;0.045;0.739;0.789;0.545;0.45;0.696;1.0;0.722;0.281;0.323;0.394;0.405
ENST00000498449_90_90;0.444;0.722;0.0;0.591;0.706;0.706;0.6;0.545;0.722;1.0;0.161;0.2;0.367;0.306
ENSMUST00000070323_90_90;0.633;0.323;0.037;0.452;0.258;0.147;0.214;0.294;0.281;0.161;1.0;0.917;0.545;0.629
ENSMUST00000112656_90_90;0.633;0.367;0.037;0.5;0.3;0.147;0.259;0.294;0.323;0.2;0.917;1.0;0.594;0.629
ENSMUST00000153954_90_90;0.636;0.394;0.031;0.515;0.419;0.294;0.345;0.324;0.394;0.367;0.545;0.594;1.0;0.771
ENSMUST00000223583_90_90;0.714;0.444;0.083;0.556;0.389;0.351;0.25;0.486;0.405;0.306;0.629;0.629;0.771;1.0
