;transcript28_ENSMPUG00000020072;transcript27_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript25_ENSMPUG00000020072;transcript7_ENSMPUG00000020072;transcript7_ENSCCNG00000000226;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript7_ENSSTOG00000019743
transcript28_ENSMPUG00000020072;1.0;0.455;0.497;0.588;0.589;0.783;0.089;0.087;0.634;0.634;0.634;0.64;0.645;0.062;0.508;0.51;0.068
transcript27_ENSMLUG00000027828;0.455;1.0;0.916;0.759;0.736;0.554;0.089;0.114;0.523;0.523;0.523;0.521;0.508;0.108;0.885;0.853;0.089
transcript16_ENSMLUG00000027828;0.497;0.916;1.0;0.829;0.804;0.601;0.082;0.104;0.571;0.571;0.571;0.569;0.557;0.099;0.969;0.934;0.082
transcript15_ENSMLUG00000027828;0.588;0.759;0.829;1.0;0.969;0.526;0.068;0.087;0.667;0.667;0.667;0.665;0.653;0.082;0.804;0.779;0.068
transcript12_ENSMLUG00000027828;0.589;0.736;0.804;0.969;1.0;0.544;0.066;0.084;0.683;0.683;0.683;0.682;0.67;0.08;0.779;0.81;0.066
transcript25_ENSMPUG00000020072;0.783;0.554;0.601;0.526;0.544;1.0;0.101;0.099;0.552;0.552;0.552;0.557;0.561;0.071;0.616;0.636;0.078
transcript7_ENSMPUG00000020072;0.089;0.089;0.082;0.068;0.066;0.101;1.0;0.824;0.079;0.079;0.079;0.08;0.082;0.588;0.085;0.081;0.647
transcript7_ENSCCNG00000000226;0.087;0.114;0.104;0.087;0.084;0.099;0.824;1.0;0.096;0.096;0.096;0.097;0.099;0.765;0.108;0.104;0.824
transcript12_ENSECAG00000007947;0.634;0.523;0.571;0.667;0.683;0.552;0.079;0.096;1.0;1.0;1.0;0.989;0.966;0.073;0.559;0.577;0.079
transcript23_ENSECAG00000007947;0.634;0.523;0.571;0.667;0.683;0.552;0.079;0.096;1.0;1.0;1.0;0.989;0.966;0.073;0.559;0.577;0.079
transcript31_ENSECAG00000007947;0.634;0.523;0.571;0.667;0.683;0.552;0.079;0.096;1.0;1.0;1.0;0.989;0.966;0.073;0.559;0.577;0.079
transcript33_ENSECAG00000007947;0.64;0.521;0.569;0.665;0.682;0.557;0.08;0.097;0.989;0.989;0.989;1.0;0.977;0.074;0.565;0.582;0.08
transcript32_ENSECAG00000007947;0.645;0.508;0.557;0.653;0.67;0.561;0.082;0.099;0.966;0.966;0.966;0.977;1.0;0.076;0.568;0.586;0.082
transcript7_ENSMLUG00000027828;0.062;0.108;0.099;0.082;0.08;0.071;0.588;0.765;0.073;0.073;0.073;0.074;0.076;1.0;0.102;0.098;0.588
transcript26_ENSMLUG00000027828;0.508;0.885;0.969;0.804;0.779;0.616;0.085;0.108;0.559;0.559;0.559;0.565;0.568;0.102;1.0;0.962;0.085
transcript25_ENSMLUG00000027828;0.51;0.853;0.934;0.779;0.81;0.636;0.081;0.104;0.577;0.577;0.577;0.582;0.586;0.098;0.962;1.0;0.081
transcript7_ENSSTOG00000019743;0.068;0.089;0.082;0.068;0.066;0.078;0.647;0.824;0.079;0.079;0.079;0.08;0.082;0.588;0.085;0.081;1.0
