;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.903;0.419;0.903;0.097;0.903
ENST00000221222_90_90;0.0;1.0;0.9;1.0;0.9;0.9;0.8;0.4;0.778;0.222;0.556;0.0;0.0;0.0;0.0;0.0
ENST00000392351_90_90;0.0;0.9;1.0;0.9;1.0;1.0;0.9;0.5;0.7;0.2;0.5;0.0;0.0;0.0;0.0;0.0
ENST00000433218_90_90;0.0;1.0;0.9;1.0;0.9;0.9;0.8;0.4;0.778;0.222;0.556;0.0;0.0;0.0;0.0;0.0
ENST00000539827_90_90;0.0;0.9;1.0;0.9;1.0;1.0;0.9;0.5;0.7;0.2;0.5;0.0;0.0;0.0;0.0;0.0
ENST00000542541_90_90;0.0;0.9;1.0;0.9;1.0;1.0;0.9;0.5;0.7;0.2;0.5;0.0;0.0;0.0;0.0;0.0
ENST00000594439_90_90;0.0;0.8;0.9;0.8;0.9;0.9;1.0;0.556;0.6;0.222;0.4;0.0;0.0;0.0;0.0;0.0
ENST00000594794_90_90;0.0;0.4;0.5;0.4;0.5;0.5;0.556;1.0;0.2;0.167;0.111;0.0;0.0;0.0;0.0;0.0
ENST00000596482_90_90;0.0;0.778;0.7;0.778;0.7;0.7;0.6;0.2;1.0;0.286;0.714;0.0;0.0;0.0;0.0;0.0
ENST00000599097_90_90;0.0;0.222;0.2;0.222;0.2;0.2;0.222;0.167;0.286;1.0;0.4;0.0;0.0;0.0;0.0;0.0
ENST00000600077_90_90;0.0;0.556;0.5;0.556;0.5;0.5;0.4;0.111;0.714;0.4;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000003669_90_90;0.903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3;1.0;0.113;0.981
ENSMUST00000087467_90_90;0.419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;1.0;0.3;0.0;0.305
ENSMUST00000110124_90_90;0.903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3;1.0;0.113;0.981
ENSMUST00000135368_90_90;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.113;0.0;0.113;1.0;0.115
ENSMUST00000140212_90_90;0.903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.981;0.305;0.981;0.115;1.0
