;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028;0.028;0.073;0.048;0.098;0.048;0.044;0.0;0.046;0.028
ENST00000166534_90_90;0.0;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.847;0.782;0.0;0.109;0.0;0.115;0.195;0.038;0.143;0.782
ENST00000360568_90_90;0.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.782;0.847;0.0;0.11;0.0;0.116;0.195;0.038;0.144;0.847
ENST00000379086_90_90;0.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.782;0.847;0.0;0.11;0.0;0.116;0.195;0.038;0.144;0.847
ENST00000379100_90_90;0.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.782;0.847;0.0;0.11;0.0;0.116;0.195;0.038;0.144;0.847
ENST00000379104_90_90;0.0;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.847;0.782;0.0;0.109;0.0;0.115;0.195;0.038;0.143;0.782
ENST00000395164_90_90;0.0;0.313;0.315;0.315;0.315;0.313;1.0;0.313;0.606;0.821;0.684;0.875;0.302;0.71;0.911;0.917;0.214;0.215;0.0;0.297;0.0;0.315;0.531;0.12;0.39;0.215
ENST00000401867_90_90;0.0;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.847;0.782;0.0;0.109;0.0;0.115;0.195;0.038;0.143;0.782
ENST00000416053_90_90;0.0;0.19;0.191;0.191;0.191;0.19;0.606;0.19;1.0;0.498;0.887;0.693;0.498;0.431;0.553;0.662;0.101;0.101;0.0;0.384;0.0;0.375;0.289;0.195;0.34;0.101
ENST00000417528_90_90;0.0;0.382;0.383;0.383;0.383;0.382;0.821;0.382;0.498;1.0;0.561;0.718;0.248;0.863;0.9;0.752;0.277;0.278;0.0;0.254;0.0;0.268;0.453;0.099;0.332;0.278
