;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;;0.843;0.885;0.843;0.851;0.886;0.444;0.859;0.717;0.157;0.202;0.851;0.336;0.844;0.238;0.851
ENST00000265997_90_90;0.843;;;;0.841;0.797;0.481;0.777;0.643;0.118;0.16;0.841;0.283;0.889;0.194;0.841
ENST00000412050_90_90;0.885;;;;0.807;0.884;0.444;0.857;0.715;0.122;0.166;0.807;0.294;0.797;0.201;0.807
ENST00000614585_90_90;0.843;;;;0.841;0.797;0.481;0.777;0.643;0.118;0.16;0.841;0.283;0.889;0.194;0.841
ENSMUST00000079754_90_90;0.851;0.841;0.807;0.841;;;;;;;;;;;;
ENSMUST00000123727_90_90;0.886;0.797;0.884;0.797;;;;;;;;;;;;
ENSMUST00000124158_90_90;0.444;0.481;0.444;0.481;;;;;;;;;;;;
ENSMUST00000126188_90_90;0.859;0.777;0.857;0.777;;;;;;;;;;;;
ENSMUST00000126781_90_90;0.717;0.643;0.715;0.643;;;;;;;;;;;;
ENSMUST00000128642_90_90;0.157;0.118;0.122;0.118;;;;;;;;;;;;
ENSMUST00000131917_90_90;0.202;0.16;0.166;0.16;;;;;;;;;;;;
ENSMUST00000132580_90_90;0.851;0.841;0.807;0.841;;;;;;;;;;;;
ENSMUST00000133988_90_90;0.336;0.283;0.294;0.283;;;;;;;;;;;;
ENSMUST00000136286_90_90;0.844;0.889;0.797;0.889;;;;;;;;;;;;
ENSMUST00000142973_90_90;0.238;0.194;0.201;0.194;;;;;;;;;;;;
ENSMUST00000154376_90_90;0.851;0.841;0.807;0.841;;;;;;;;;;;;
