;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.037;0.133;0.079;0.178;0.078;0.069;0.0;0.075;0.037
ENST00000166534_90_90;0.0;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.868;0.801;0.0;0.112;0.0;0.118;0.2;0.039;0.147;0.801
ENST00000360568_90_90;0.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.801;0.868;0.0;0.112;0.0;0.119;0.2;0.039;0.147;0.868
ENST00000379086_90_90;0.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.801;0.868;0.0;0.112;0.0;0.119;0.2;0.039;0.147;0.868
ENST00000379100_90_90;0.0;0.924;1.0;1.0;1.0;0.924;0.315;0.924;0.191;0.383;0.215;0.275;0.095;0.361;0.345;0.288;0.801;0.868;0.0;0.112;0.0;0.119;0.2;0.039;0.147;0.868
ENST00000379104_90_90;0.0;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.868;0.801;0.0;0.112;0.0;0.118;0.2;0.039;0.147;0.801
ENST00000395164_90_90;0.0;0.313;0.315;0.315;0.315;0.313;1.0;0.313;0.606;0.821;0.684;0.875;0.302;0.71;0.911;0.917;0.22;0.22;0.0;0.318;0.0;0.337;0.568;0.131;0.417;0.22
ENST00000401867_90_90;0.0;1.0;0.924;0.924;0.924;1.0;0.313;1.0;0.19;0.382;0.214;0.274;0.095;0.36;0.344;0.287;0.868;0.801;0.0;0.112;0.0;0.118;0.2;0.039;0.147;0.801
ENST00000416053_90_90;0.0;0.19;0.191;0.191;0.191;0.19;0.606;0.19;1.0;0.498;0.887;0.693;0.498;0.431;0.553;0.662;0.103;0.103;0.0;0.423;0.0;0.412;0.311;0.225;0.37;0.103
ENST00000417528_90_90;0.0;0.382;0.383;0.383;0.383;0.382;0.821;0.382;0.498;1.0;0.561;0.718;0.248;0.863;0.9;0.752;0.284;0.285;0.0;0.269;0.0;0.284;0.479;0.106;0.352;0.285
ENST00000418055_90_90;0.0;0.214;0.215;0.215;0.215;0.214;0.684;0.214;0.887;0.561;1.0;0.782;0.442;0.486;0.623;0.746;0.126;0.126;0.0;0.434;0.0;0.459;0.38;0.197;0.452;0.126
ENST00000428369_90_90;0.0;0.274;0.275;0.275;0.275;0.274;0.875;0.274;0.693;0.718;0.782;1.0;0.345;0.621;0.797;0.954;0.182;0.183;0.0;0.356;0.0;0.376;0.551;0.151;0.466;0.183
ENST00000428841_90_90;0.0;0.095;0.095;0.095;0.095;0.095;0.302;0.095;0.498;0.248;0.442;0.345;1.0;0.215;0.275;0.33;0.029;0.029;0.0;0.123;0.0;0.12;0.089;0.459;0.107;0.029
