;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.666;0.809;0.666;0.293;0.666;0.436;0.682;0.753;0.753;0.245;0.149
ENST00000329008_90_90;0.666;1.0;0.753;1.0;0.285;1.0;0.702;0.666;0.853;0.853;0.327;0.121
ENST00000395275_90_90;0.809;0.753;1.0;0.753;0.229;0.753;0.518;0.683;0.666;0.666;0.245;0.211
ENST00000395276_90_90;0.666;1.0;0.753;1.0;0.285;1.0;0.702;0.666;0.853;0.853;0.327;0.121
ENST00000405452_90_90;0.293;0.285;0.229;0.285;1.0;0.285;0.0;0.293;0.384;0.384;0.0;0.0
ENST00000431984_90_90;0.666;1.0;0.753;1.0;0.285;1.0;0.702;0.666;0.853;0.853;0.327;0.121
ENST00000446128_90_90;0.436;0.702;0.518;0.702;0.0;0.702;1.0;0.436;0.567;0.567;0.481;0.165
ENSMUST00000086029_90_90;0.682;0.666;0.683;0.666;0.293;0.666;0.436;1.0;0.753;0.753;0.245;0.368
ENSMUST00000111287_90_90;0.753;0.853;0.666;0.853;0.384;0.853;0.567;0.753;1.0;1.0;0.327;0.121
ENSMUST00000111288_90_90;0.753;0.853;0.666;0.853;0.384;0.853;0.567;0.753;1.0;1.0;0.327;0.121
ENSMUST00000141131_90_90;0.245;0.327;0.245;0.327;0.0;0.327;0.481;0.245;0.327;0.327;1.0;0.253
ENSMUST00000202728_90_90;0.149;0.121;0.211;0.121;0.0;0.121;0.165;0.368;0.121;0.121;0.253;1.0
