;ENSCAFT00000039701_90_90;ENST00000314845_90_90;ENST00000458649_90_90;ENST00000526545_90_90;ENST00000526606_90_90;ENST00000528950_90_90;ENST00000533727_90_90;ENST00000534300_90_90;ENSMUST00000045699_90_90;ENSMUST00000045705_90_90;ENSMUST00000099712_90_90;ENSMUST00000111316_90_90;ENSMUST00000111317_90_90
ENSCAFT00000039701_90_90;1.0;0.996;0.927;0.211;0.02;0.905;0.972;0.882;0.973;0.927;0.997;0.882;0.973
ENST00000314845_90_90;0.996;1.0;0.931;0.212;0.02;0.908;0.976;0.884;0.975;0.929;0.999;0.883;0.975
ENST00000458649_90_90;0.927;0.931;1.0;0.197;0.018;0.978;0.908;0.954;0.908;0.998;0.93;0.952;0.908
ENST00000526545_90_90;0.211;0.212;0.197;1.0;0.0;0.202;0.217;0.207;0.217;0.197;0.212;0.206;0.217
ENST00000526606_90_90;0.02;0.02;0.018;0.0;1.0;0.019;0.02;0.019;0.02;0.018;0.02;0.019;0.02
ENST00000528950_90_90;0.905;0.908;0.978;0.202;0.019;1.0;0.929;0.931;0.928;0.976;0.908;0.93;0.928
ENST00000533727_90_90;0.972;0.976;0.908;0.217;0.02;0.929;1.0;0.862;0.999;0.907;0.975;0.861;0.999
ENST00000534300_90_90;0.882;0.884;0.954;0.207;0.019;0.931;0.862;1.0;0.861;0.952;0.884;0.998;0.861
ENSMUST00000045699_90_90;0.973;0.975;0.908;0.217;0.02;0.928;0.999;0.861;1.0;0.908;0.976;0.862;1.0
ENSMUST00000045705_90_90;0.927;0.929;0.998;0.197;0.018;0.976;0.907;0.952;0.908;1.0;0.93;0.954;0.908
ENSMUST00000099712_90_90;0.997;0.999;0.93;0.212;0.02;0.908;0.975;0.884;0.976;0.93;1.0;0.884;0.976
ENSMUST00000111316_90_90;0.882;0.883;0.952;0.206;0.019;0.93;0.861;0.998;0.862;0.954;0.884;1.0;0.862
ENSMUST00000111317_90_90;0.973;0.975;0.908;0.217;0.02;0.928;0.999;0.861;1.0;0.908;0.976;0.862;1.0
