;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.235;0.832;0.034;0.025;0.928;0.199;0.548;0.976;0.119;0.555;0.09;0.939;0.803;0.767;0.767;0.978;0.196;0.838;0.767
ENST00000297447_90_90;0.235;1.0;0.18;0.089;0.0;0.213;0.861;0.0;0.209;0.0;0.175;0.329;0.177;0.285;0.239;0.239;0.238;0.861;0.206;0.239
ENST00000312046_90_90;0.832;0.18;1.0;0.129;0.101;0.794;0.186;0.571;0.782;0.131;0.586;0.09;0.807;0.786;0.819;0.819;0.757;0.22;0.97;0.819
ENST00000435082_90_90;0.034;0.089;0.129;1.0;0.342;0.028;0.099;0.0;0.027;0.0;0.0;0.0;0.028;0.041;0.042;0.042;0.033;0.108;0.13;0.042
ENST00000438229_90_90;0.025;0.0;0.101;0.342;1.0;0.039;0.0;0.054;0.038;0.169;0.0;0.0;0.039;0.0;0.0;0.0;0.026;0.0;0.075;0.0
ENST00000442977_90_90;0.928;0.213;0.794;0.028;0.039;1.0;0.18;0.55;0.939;0.126;0.564;0.087;0.906;0.846;0.804;0.804;0.921;0.216;0.793;0.804
ENST00000449762_90_90;0.199;0.861;0.186;0.099;0.0;0.18;1.0;0.0;0.177;0.0;0.183;0.376;0.183;0.239;0.251;0.251;0.201;1.0;0.214;0.251
ENST00000497705_90_90;0.548;0.0;0.571;0.0;0.054;0.55;0.0;1.0;0.541;0.194;0.395;0.0;0.558;0.53;0.553;0.553;0.526;0.0;0.564;0.553
ENST00000517566_90_90;0.976;0.209;0.782;0.027;0.038;0.939;0.177;0.541;1.0;0.123;0.554;0.086;0.966;0.804;0.765;0.765;0.974;0.205;0.756;0.765
ENST00000517686_90_90;0.119;0.0;0.131;0.0;0.169;0.126;0.0;0.194;0.123;1.0;0.0;0.0;0.128;0.079;0.082;0.082;0.127;0.0;0.136;0.082
ENST00000519415_90_90;0.555;0.175;0.586;0.0;0.0;0.564;0.183;0.395;0.554;0.0;1.0;0.146;0.574;0.638;0.671;0.671;0.53;0.211;0.568;0.671
ENST00000521592_90_90;0.09;0.329;0.09;0.0;0.0;0.087;0.376;0.0;0.086;0.0;0.146;1.0;0.089;0.107;0.113;0.113;0.093;0.376;0.098;0.113
ENST00000531443_90_90;0.939;0.177;0.807;0.028;0.039;0.906;0.183;0.558;0.966;0.128;0.574;0.089;1.0;0.765;0.795;0.795;0.934;0.214;0.784;0.795
ENSMUST00000022918_90_90;0.803;0.285;0.786;0.041;0.0;0.846;0.239;0.53;0.804;0.079;0.638;0.107;0.765;1.0;0.956;0.956;0.815;0.221;0.783;0.956
ENSMUST00000090095_90_90;0.767;0.239;0.819;0.042;0.0;0.804;0.251;0.553;0.765;0.082;0.671;0.113;0.795;0.956;1.0;1.0;0.779;0.231;0.811;1.0
ENSMUST00000090096_90_90;0.767;0.239;0.819;0.042;0.0;0.804;0.251;0.553;0.765;0.082;0.671;0.113;0.795;0.956;1.0;1.0;0.779;0.231;0.811;1.0
ENSMUST00000110297_90_90;0.978;0.238;0.757;0.033;0.026;0.921;0.201;0.526;0.974;0.127;0.53;0.093;0.934;0.815;0.779;0.779;1.0;0.183;0.76;0.779
ENSMUST00000166917_90_90;0.196;0.861;0.22;0.108;0.0;0.216;1.0;0.0;0.205;0.0;0.211;0.376;0.214;0.221;0.231;0.231;0.183;1.0;0.191;0.231
ENSMUST00000170127_90_90;0.838;0.206;0.97;0.13;0.075;0.793;0.214;0.564;0.756;0.136;0.568;0.098;0.784;0.783;0.811;0.811;0.76;0.191;1.0;0.811
ENSMUST00000179393_90_90;0.767;0.239;0.819;0.042;0.0;0.804;0.251;0.553;0.765;0.082;0.671;0.113;0.795;0.956;1.0;1.0;0.779;0.231;0.811;1.0
