;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.998;0.869;0.347;0.302;0.347;0.302;0.289;0.28;1.0;0.871;1.0;0.272
ENST00000278422_90_90;0.998;1.0;0.872;0.348;0.278;0.348;0.278;0.291;0.281;0.998;0.869;0.998;0.273
ENST00000378312_90_90;0.869;0.872;1.0;0.399;0.288;0.399;0.288;0.333;0.322;0.869;0.997;0.869;0.313
ENST00000524972_90_90;0.347;0.348;0.399;1.0;0.619;1.0;0.619;0.789;0.804;0.348;0.399;0.348;0.782
ENST00000525035_90_90;0.302;0.278;0.288;0.619;1.0;0.619;1.0;0.708;0.72;0.303;0.317;0.303;0.899
ENST00000528110_90_90;0.347;0.348;0.399;1.0;0.619;1.0;0.619;0.789;0.804;0.348;0.399;0.348;0.782
ENST00000529403_90_90;0.302;0.278;0.288;0.619;1.0;0.619;1.0;0.708;0.72;0.303;0.317;0.303;0.899
ENST00000530114_90_90;0.289;0.291;0.333;0.789;0.708;0.789;0.708;1.0;0.962;0.29;0.333;0.29;0.938
ENST00000533602_90_90;0.28;0.281;0.322;0.804;0.72;0.804;0.72;0.962;1.0;0.281;0.323;0.281;0.968
ENSMUST00000053664_90_90;1.0;0.998;0.869;0.348;0.303;0.348;0.303;0.29;0.281;1.0;0.871;1.0;0.272
ENSMUST00000111664_90_90;0.871;0.869;0.997;0.399;0.317;0.399;0.317;0.333;0.323;0.871;1.0;0.871;0.313
ENSMUST00000111665_90_90;1.0;0.998;0.869;0.348;0.303;0.348;0.303;0.29;0.281;1.0;0.871;1.0;0.272
ENSMUST00000152149_90_90;0.272;0.273;0.313;0.782;0.899;0.782;0.899;0.938;0.968;0.272;0.313;0.272;1.0
