;ENSCAFT00000031997_90_90;ENSCAFT00000046265_90_90;ENST00000223836_90_90;ENST00000373156_90_90;ENST00000373176_90_90;ENST00000413016_90_90;ENST00000550143_90_90;ENST00000550992_90_90;ENSMUST00000068271_90_90;ENSMUST00000113277_90_90;ENSMUST00000113278_90_90;ENSMUST00000156578_90_90;ENSMUST00000195721_90_90
ENSCAFT00000031997_90_90;1.0;0.786;1.0;0.846;0.846;0.583;0.417;0.0;1.0;0.786;0.786;0.429;0.429
ENSCAFT00000046265_90_90;0.786;1.0;0.846;1.0;1.0;0.583;0.417;0.083;0.786;1.0;1.0;0.583;0.583
ENST00000223836_90_90;1.0;0.846;1.0;0.786;0.786;0.538;0.385;0.0;1.0;0.846;0.846;0.462;0.462
ENST00000373156_90_90;0.846;1.0;0.786;1.0;1.0;0.583;0.417;0.077;0.846;1.0;1.0;0.583;0.583
ENST00000373176_90_90;0.846;1.0;0.786;1.0;1.0;0.583;0.417;0.077;0.846;1.0;1.0;0.583;0.583
ENST00000413016_90_90;0.583;0.583;0.538;0.583;0.583;1.0;0.5;0.0;0.583;0.583;0.583;0.167;0.273
ENST00000550143_90_90;0.417;0.417;0.385;0.417;0.417;0.5;1.0;0.0;0.417;0.417;0.417;0.2;0.333
ENST00000550992_90_90;0.0;0.083;0.0;0.077;0.077;0.0;0.0;1.0;0.0;0.083;0.083;0.143;0.143
ENSMUST00000068271_90_90;1.0;0.786;1.0;0.846;0.846;0.583;0.417;0.0;1.0;0.786;0.786;0.429;0.429
ENSMUST00000113277_90_90;0.786;1.0;0.846;1.0;1.0;0.583;0.417;0.083;0.786;1.0;1.0;0.583;0.583
ENSMUST00000113278_90_90;0.786;1.0;0.846;1.0;1.0;0.583;0.417;0.083;0.786;1.0;1.0;0.583;0.583
ENSMUST00000156578_90_90;0.429;0.583;0.462;0.583;0.583;0.167;0.2;0.143;0.429;0.583;0.583;1.0;0.75
ENSMUST00000195721_90_90;0.429;0.583;0.462;0.583;0.583;0.273;0.333;0.143;0.429;0.583;0.583;0.75;1.0
