;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.745;0.578;0.744;0.75;0.959;0.765;0.765;0.955;0.959;0.394;0.942;0.972;0.236;0.266;0.239;0.74;0.235;0.574;0.741;0.979;0.751;0.962;0.96;0.977
ENSCAFT00000048577_90_90;0.745;1.0;0.488;0.617;0.967;0.729;0.574;0.574;0.755;0.729;0.326;0.743;0.741;0.196;0.221;0.198;0.981;0.197;0.474;0.983;0.744;0.968;0.758;0.756;0.742
ENSCAFT00000049950_90_90;0.578;0.488;1.0;0.747;0.483;0.558;0.426;0.426;0.565;0.558;0.659;0.548;0.575;0.301;0.447;0.401;0.476;0.375;0.288;0.48;0.582;0.487;0.572;0.57;0.58
ENST00000314177_90_90;0.744;0.617;0.747;1.0;0.643;0.734;0.538;0.538;0.753;0.734;0.513;0.721;0.766;0.325;0.348;0.312;0.633;0.298;0.409;0.629;0.745;0.638;0.732;0.747;0.761
ENST00000338564_90_90;0.75;0.967;0.483;0.643;1.0;0.741;0.584;0.584;0.757;0.741;0.33;0.731;0.768;0.209;0.223;0.201;0.985;0.2;0.482;0.98;0.751;0.994;0.74;0.753;0.763
ENST00000340545_90_90;0.959;0.729;0.558;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.726;0.959;0.737;0.943;0.94;0.957
ENST00000397620_90_90;0.765;0.574;0.426;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.572;0.765;0.58;0.752;0.75;0.763
ENST00000397624_90_90;0.765;0.574;0.426;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.572;0.765;0.58;0.752;0.75;0.763
ENST00000424352_90_90;0.955;0.755;0.565;0.753;0.757;0.95;0.757;0.757;1.0;0.95;0.387;0.968;0.983;0.244;0.262;0.235;0.771;0.231;0.564;0.767;0.956;0.753;0.973;0.99;0.973
ENST00000557796_90_90;0.959;0.729;0.558;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.726;0.959;0.737;0.943;0.94;0.957
ENST00000558313_90_90;0.394;0.326;0.659;0.513;0.33;0.407;0.513;0.513;0.387;0.407;1.0;0.4;0.394;0.068;0.607;0.601;0.325;0.473;0.338;0.325;0.395;0.33;0.388;0.387;0.394
ENST00000559085_90_90;0.942;0.743;0.548;0.721;0.731;0.982;0.783;0.783;0.968;0.982;0.4;1.0;0.95;0.212;0.271;0.243;0.745;0.238;0.583;0.74;0.943;0.726;0.96;0.958;0.94
ENST00000559561_90_90;0.972;0.741;0.575;0.766;0.768;0.967;0.771;0.771;0.983;0.967;0.394;0.95;1.0;0.249;0.266;0.239;0.757;0.235;0.574;0.753;0.972;0.763;0.956;0.973;0.99
ENST00000560570_90_90;0.236;0.196;0.301;0.325;0.209;0.216;0.042;0.042;0.244;0.216;0.068;0.212;0.249;1.0;0.0;0.0;0.205;0.0;0.0;0.205;0.237;0.209;0.233;0.244;0.249
ENST00000560617_90_90;0.266;0.221;0.447;0.348;0.223;0.276;0.343;0.343;0.262;0.276;0.607;0.271;0.266;0.0;1.0;0.898;0.22;0.706;0.447;0.22;0.267;0.223;0.263;0.262;0.266
ENST00000560697_90_90;0.239;0.198;0.401;0.312;0.201;0.248;0.308;0.308;0.235;0.248;0.601;0.243;0.239;0.0;0.898;1.0;0.198;0.632;0.401;0.198;0.24;0.201;0.236;0.235;0.239
ENST00000561208_90_90;0.74;0.981;0.476;0.633;0.985;0.731;0.575;0.575;0.771;0.731;0.325;0.745;0.757;0.205;0.22;0.198;1.0;0.197;0.475;0.994;0.74;0.98;0.754;0.767;0.753
ENST00000606653_90_90;0.235;0.197;0.375;0.298;0.2;0.242;0.295;0.295;0.231;0.242;0.473;0.238;0.235;0.0;0.706;0.632;0.197;1.0;0.372;0.198;0.237;0.201;0.233;0.233;0.237
ENST00000607277_90_90;0.574;0.474;0.288;0.409;0.482;0.593;0.736;0.736;0.564;0.593;0.338;0.583;0.574;0.0;0.447;0.401;0.475;0.372;1.0;0.472;0.574;0.479;0.564;0.563;0.573
ENSMUST00000028639_90_90;0.741;0.983;0.48;0.629;0.98;0.726;0.572;0.572;0.767;0.726;0.325;0.74;0.753;0.205;0.22;0.198;0.994;0.198;0.472;1.0;0.745;0.985;0.759;0.771;0.757
ENSMUST00000074285_90_90;0.979;0.744;0.582;0.745;0.751;0.959;0.765;0.765;0.956;0.959;0.395;0.943;0.972;0.237;0.267;0.24;0.74;0.237;0.574;0.745;1.0;0.755;0.983;0.965;0.982
ENSMUST00000102538_90_90;0.751;0.968;0.487;0.638;0.994;0.737;0.58;0.58;0.753;0.737;0.33;0.726;0.763;0.209;0.223;0.201;0.98;0.201;0.479;0.985;0.755;1.0;0.745;0.757;0.768
ENSMUST00000110906_90_90;0.962;0.758;0.572;0.732;0.74;0.943;0.752;0.752;0.973;0.943;0.388;0.96;0.956;0.233;0.263;0.236;0.754;0.233;0.564;0.759;0.983;0.745;1.0;0.983;0.965
ENSMUST00000110907_90_90;0.96;0.756;0.57;0.747;0.753;0.94;0.75;0.75;0.99;0.94;0.387;0.958;0.973;0.244;0.262;0.235;0.767;0.233;0.563;0.771;0.965;0.757;0.983;1.0;0.983
ENSMUST00000110908_90_90;0.977;0.742;0.58;0.761;0.763;0.957;0.763;0.763;0.973;0.957;0.394;0.94;0.99;0.249;0.266;0.239;0.753;0.237;0.573;0.757;0.982;0.768;0.965;0.983;1.0
