;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.795;0.65;0.526;0.67;0.667;0.792;0.793;0.724;0.72;0.727;0.122
ENST00000318386_90_90;0.795;1.0;0.834;0.425;0.752;0.848;0.975;0.579;0.622;0.518;0.678;0.125
ENST00000429429_90_90;0.65;0.834;1.0;0.404;0.631;0.726;0.856;0.458;0.492;0.397;0.539;0.143
ENST00000480936_90_90;0.526;0.425;0.404;1.0;0.335;0.324;0.434;0.545;0.593;0.474;0.633;0.177
ENST00000483348_90_90;0.67;0.752;0.631;0.335;1.0;0.881;0.771;0.488;0.525;0.425;0.577;0.098
ENST00000488267_90_90;0.667;0.848;0.726;0.324;0.881;1.0;0.87;0.472;0.507;0.411;0.555;0.094
ENST00000489418_90_90;0.792;0.975;0.856;0.434;0.771;0.87;1.0;0.577;0.619;0.516;0.676;0.122
ENSMUST00000057551_90_90;0.793;0.579;0.458;0.545;0.488;0.472;0.577;1.0;0.823;0.927;0.737;0.122
ENSMUST00000075670_90_90;0.724;0.622;0.492;0.593;0.525;0.507;0.619;0.823;1.0;0.753;0.808;0.135
ENSMUST00000101354_90_90;0.72;0.518;0.397;0.474;0.425;0.411;0.516;0.927;0.753;1.0;0.667;0.05
ENSMUST00000139518_90_90;0.727;0.678;0.539;0.633;0.577;0.555;0.676;0.737;0.808;0.667;1.0;0.154
ENSMUST00000151081_90_90;0.122;0.125;0.143;0.177;0.098;0.094;0.122;0.122;0.135;0.05;0.154;1.0
