;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.981;0.418;0.434;0.339;0.345;0.341;0.196;0.917;0.999;0.98;0.007;0.793;0.534;0.257;0.286;0.342;0.338;0.336;0.431;0.981;1.0
ENSCAFT00000016916_90_90;0.981;1.0;0.412;0.428;0.335;0.341;0.336;0.193;0.899;0.98;0.999;0.007;0.812;0.553;0.252;0.281;0.338;0.333;0.332;0.425;1.0;0.981
ENSCAFT00000023521_90_90;0.418;0.412;1.0;0.986;0.814;0.83;0.815;0.194;0.425;0.399;0.394;0.008;0.26;0.123;0.263;0.289;0.83;0.815;0.814;0.987;0.397;0.403
ENST00000342558_90_90;0.434;0.428;0.986;1.0;0.806;0.819;0.805;0.189;0.441;0.414;0.409;0.007;0.271;0.126;0.261;0.285;0.819;0.804;0.806;0.997;0.412;0.418
ENST00000360663_90_90;0.339;0.335;0.814;0.806;1.0;0.979;0.998;0.331;0.343;0.325;0.32;0.007;0.195;0.121;0.247;0.27;0.978;0.997;0.999;0.804;0.323;0.327
ENST00000394828_90_90;0.345;0.341;0.83;0.819;0.979;1.0;0.981;0.315;0.35;0.33;0.326;0.007;0.199;0.122;0.251;0.277;0.999;0.98;0.978;0.821;0.328;0.333
ENST00000394829_90_90;0.341;0.336;0.815;0.805;0.998;0.981;1.0;0.333;0.345;0.326;0.322;0.007;0.197;0.121;0.246;0.272;0.98;0.999;0.997;0.806;0.324;0.328
ENST00000430762_90_90;0.196;0.193;0.194;0.189;0.331;0.315;0.333;1.0;0.212;0.196;0.193;0.0;0.232;0.0;0.143;0.199;0.32;0.339;0.337;0.193;0.192;0.196
ENST00000323055_90_90;0.917;0.899;0.425;0.441;0.343;0.35;0.345;0.212;1.0;0.918;0.9;0.009;0.712;0.455;0.281;0.313;0.346;0.342;0.34;0.438;0.899;0.917
ENST00000394853_90_90;0.999;0.98;0.399;0.414;0.325;0.33;0.326;0.196;0.918;1.0;0.981;0.008;0.793;0.536;0.258;0.288;0.327;0.323;0.322;0.412;0.98;0.999
ENST00000394854_90_90;0.98;0.999;0.394;0.409;0.32;0.326;0.322;0.193;0.9;0.981;1.0;0.008;0.812;0.555;0.253;0.282;0.323;0.319;0.318;0.406;0.999;0.98
ENST00000492351_90_90;0.007;0.007;0.008;0.007;0.007;0.007;0.007;0.0;0.009;0.008;0.008;1.0;0.0;0.014;0.03;0.027;0.007;0.007;0.007;0.007;0.007;0.007
ENST00000507176_90_90;0.793;0.812;0.26;0.271;0.195;0.199;0.197;0.232;0.712;0.793;0.812;0.0;1.0;0.398;0.178;0.21;0.198;0.195;0.194;0.27;0.812;0.793
ENST00000512215_90_90;0.534;0.553;0.123;0.126;0.121;0.122;0.121;0.0;0.455;0.536;0.555;0.014;0.398;1.0;0.094;0.091;0.121;0.119;0.119;0.124;0.553;0.534
ENST00000525819_90_90;0.257;0.252;0.263;0.261;0.247;0.251;0.246;0.143;0.281;0.258;0.253;0.03;0.178;0.094;1.0;0.898;0.251;0.246;0.247;0.26;0.252;0.257
ENST00000529324_90_90;0.286;0.281;0.289;0.285;0.27;0.277;0.272;0.199;0.313;0.288;0.282;0.027;0.21;0.091;0.898;1.0;0.278;0.273;0.271;0.289;0.281;0.286
ENSMUST00000022355_90_90;0.342;0.338;0.83;0.819;0.978;0.999;0.98;0.32;0.346;0.327;0.323;0.007;0.198;0.121;0.251;0.278;1.0;0.981;0.979;0.821;0.326;0.33
ENSMUST00000159027_90_90;0.338;0.333;0.815;0.804;0.997;0.98;0.999;0.339;0.342;0.323;0.319;0.007;0.195;0.119;0.246;0.273;0.981;1.0;0.998;0.807;0.322;0.326
ENSMUST00000161445_90_90;0.336;0.332;0.814;0.806;0.999;0.978;0.997;0.337;0.34;0.322;0.318;0.007;0.194;0.119;0.247;0.271;0.979;0.998;1.0;0.805;0.32;0.324
ENSMUST00000161989_90_90;0.431;0.425;0.987;0.997;0.804;0.821;0.806;0.193;0.438;0.412;0.406;0.007;0.27;0.124;0.26;0.289;0.821;0.807;0.805;1.0;0.409;0.415
ENSMUST00000056758_90_90;0.981;1.0;0.397;0.412;0.323;0.328;0.324;0.192;0.899;0.98;0.999;0.007;0.812;0.553;0.252;0.281;0.326;0.322;0.32;0.409;1.0;0.981
ENSMUST00000070198_90_90;1.0;0.981;0.403;0.418;0.327;0.333;0.328;0.196;0.917;0.999;0.98;0.007;0.793;0.534;0.257;0.286;0.33;0.326;0.324;0.415;0.981;1.0
