;transcript49_ENSCGRG00015005362;transcript50_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript44_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript50_ENSCGRG00000018457;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSCGRG00001010245;transcript45_ENSCGRG00001010245;transcript22_ENSNGAG00000018584;transcript22_ENSSTOG00000019743
transcript49_ENSCGRG00015005362;1.0;0.623;0.686;1.0;0.702;0.623;0.887;0.887;0.457;0.611;0.702;0.702;0.701;0.702
transcript50_ENSCGRG00015005362;0.623;1.0;0.942;0.565;0.929;1.0;0.609;0.609;0.836;0.988;0.929;0.929;0.925;0.929
transcript8_ENSCGRG00000018457;0.686;0.942;1.0;0.621;0.986;0.942;0.573;0.573;0.788;0.931;0.986;0.986;0.988;0.986
transcript44_ENSCGRG00000018457;1.0;0.565;0.621;1.0;0.636;0.565;0.887;0.887;0.412;0.554;0.636;0.636;0.636;0.636
transcript45_ENSCGRG00000018457;0.702;0.929;0.986;0.636;1.0;0.929;0.565;0.565;0.777;0.918;1.0;1.0;1.0;1.0
transcript50_ENSCGRG00000018457;0.623;1.0;0.942;0.565;0.929;1.0;0.609;0.609;0.836;0.988;0.929;0.929;0.925;0.929
transcript57_ENSCGRG00000018457;0.887;0.609;0.573;0.887;0.565;0.609;1.0;1.0;0.445;0.597;0.565;0.565;0.559;0.565
transcript58_ENSCGRG00000018457;0.887;0.609;0.573;0.887;0.565;0.609;1.0;1.0;0.445;0.597;0.565;0.565;0.559;0.565
transcript59_ENSCGRG00000018457;0.457;0.836;0.788;0.412;0.777;0.836;0.445;0.445;1.0;0.846;0.777;0.777;0.774;0.777
transcript60_ENSCGRG00000018457;0.611;0.988;0.931;0.554;0.918;0.988;0.597;0.597;0.846;1.0;0.918;0.918;0.907;0.918
transcript22_ENSCGRG00001010245;0.702;0.929;0.986;0.636;1.0;0.929;0.565;0.565;0.777;0.918;1.0;1.0;1.0;1.0
transcript45_ENSCGRG00001010245;0.702;0.929;0.986;0.636;1.0;0.929;0.565;0.565;0.777;0.918;1.0;1.0;1.0;1.0
transcript22_ENSNGAG00000018584;0.701;0.925;0.988;0.636;1.0;0.925;0.559;0.559;0.774;0.907;1.0;1.0;1.0;1.0
transcript22_ENSSTOG00000019743;0.702;0.929;0.986;0.636;1.0;0.929;0.565;0.565;0.777;0.918;1.0;1.0;1.0;1.0
