;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.714;0.517;0.517;0.556;0.462;0.556;0.517;0.308;0.407;0.52;0.2;0.375;0.091;0.28;0.517;0.75;0.692;0.704;0.75;0.692;0.4;0.167
ENSCAFT00000043222_90_90;0.714;1.0;0.379;0.379;0.407;0.545;0.407;0.379;0.154;0.259;0.36;0.04;0.45;0.111;0.217;0.379;0.583;0.538;0.556;0.583;0.538;0.24;0.0
ENST00000164247_90_90;0.517;0.379;1.0;1.0;0.917;0.556;0.917;1.0;0.52;0.75;0.68;0.417;0.542;0.037;0.333;0.846;0.704;0.778;0.724;0.704;0.778;0.56;0.333
ENST00000341524_90_90;0.517;0.379;1.0;1.0;0.917;0.556;0.917;1.0;0.52;0.75;0.68;0.417;0.542;0.037;0.333;0.846;0.704;0.778;0.724;0.704;0.778;0.56;0.333
ENST00000352527_90_90;0.556;0.407;0.917;0.917;1.0;0.6;1.0;0.917;0.44;0.667;0.739;0.333;0.591;0.04;0.259;0.769;0.76;0.704;0.655;0.76;0.704;0.48;0.304
ENST00000378083_90_90;0.462;0.545;0.556;0.556;0.6;1.0;0.6;0.556;0.143;0.333;0.385;0.037;0.722;0.048;0.154;0.448;0.429;0.4;0.467;0.429;0.4;0.179;0.0
ENST00000378092_90_90;0.556;0.407;0.917;0.917;1.0;0.6;1.0;0.917;0.44;0.667;0.739;0.333;0.591;0.04;0.259;0.769;0.76;0.704;0.655;0.76;0.704;0.48;0.304
ENST00000378097_90_90;0.517;0.379;1.0;1.0;0.917;0.556;0.917;1.0;0.52;0.75;0.68;0.417;0.542;0.037;0.333;0.846;0.704;0.778;0.724;0.704;0.778;0.56;0.333
ENST00000378111_90_90;0.308;0.154;0.52;0.52;0.44;0.143;0.44;0.52;1.0;0.684;0.524;0.714;0.08;0.059;0.529;0.52;0.44;0.52;0.481;0.44;0.52;0.812;0.571
ENST00000389632_90_90;0.407;0.259;0.75;0.75;0.667;0.333;0.667;0.75;0.684;1.0;0.8;0.556;0.292;0.048;0.429;0.75;0.6;0.68;0.63;0.6;0.68;0.737;0.444
ENST00000428161_90_90;0.52;0.36;0.68;0.68;0.739;0.385;0.739;0.68;0.524;0.8;1.0;0.4;0.348;0.048;0.304;0.68;0.739;0.68;0.63;0.739;0.68;0.571;0.368
ENST00000445501_90_90;0.2;0.04;0.417;0.417;0.333;0.037;0.333;0.417;0.714;0.556;0.4;1.0;0.0;0.0;0.375;0.417;0.333;0.417;0.385;0.333;0.417;0.667;0.8
ENST00000458166_90_90;0.375;0.45;0.542;0.542;0.591;0.722;0.591;0.542;0.08;0.292;0.348;0.0;1.0;0.062;0.087;0.423;0.4;0.37;0.345;0.4;0.37;0.12;0.0
ENST00000462676_90_90;0.091;0.111;0.037;0.037;0.04;0.048;0.04;0.037;0.059;0.048;0.048;0.0;0.062;1.0;0.231;0.037;0.083;0.077;0.071;0.083;0.077;0.118;0.0
ENST00000472700_90_90;0.28;0.217;0.333;0.333;0.259;0.154;0.259;0.333;0.529;0.429;0.304;0.375;0.087;0.231;1.0;0.333;0.308;0.385;0.357;0.308;0.385;0.588;0.25
ENST00000602612_90_90;0.517;0.379;0.846;0.846;0.769;0.448;0.769;0.846;0.52;0.75;0.68;0.417;0.423;0.037;0.333;1.0;0.704;0.778;0.724;0.704;0.778;0.56;0.333
ENSMUST00000030768_90_90;0.75;0.583;0.704;0.704;0.76;0.429;0.76;0.704;0.44;0.6;0.739;0.333;0.4;0.083;0.308;0.704;1.0;0.917;0.846;1.0;0.917;0.542;0.304
ENSMUST00000105648_90_90;0.692;0.538;0.778;0.778;0.704;0.4;0.704;0.778;0.52;0.68;0.68;0.417;0.37;0.077;0.385;0.778;0.917;1.0;0.923;0.917;1.0;0.625;0.333
ENSMUST00000159186_90_90;0.704;0.556;0.724;0.724;0.655;0.467;0.655;0.724;0.481;0.63;0.63;0.385;0.345;0.071;0.357;0.724;0.846;0.923;1.0;0.846;0.923;0.577;0.308
ENSMUST00000159840_90_90;0.75;0.583;0.704;0.704;0.76;0.429;0.76;0.704;0.44;0.6;0.739;0.333;0.4;0.083;0.308;0.704;1.0;0.917;0.846;1.0;0.917;0.542;0.304
ENSMUST00000160884_90_90;0.692;0.538;0.778;0.778;0.704;0.4;0.704;0.778;0.52;0.68;0.68;0.417;0.37;0.077;0.385;0.778;0.917;1.0;0.923;0.917;1.0;0.625;0.333
ENSMUST00000161236_90_90;0.4;0.24;0.56;0.56;0.48;0.179;0.48;0.56;0.812;0.737;0.571;0.667;0.12;0.118;0.588;0.56;0.542;0.625;0.577;0.542;0.625;1.0;0.533
ENSMUST00000162017_90_90;0.167;0.0;0.333;0.333;0.304;0.0;0.304;0.333;0.571;0.444;0.368;0.8;0.0;0.0;0.25;0.333;0.304;0.333;0.308;0.304;0.333;0.533;1.0
