nucHom;degHom;tsm
1.0;1.0;1.0
0.364;0.914;0.639
0.361;0.914;0.637
0.677;1.0;0.839
0.869;0.944;0.906
0.865;0.951;0.908
0.747;1.0;0.873
0.72;1.0;0.86
0.847;1.0;0.923
0.895;1.0;0.948
0.807;0.952;0.879
0.885;0.96;0.922
0.752;0.757;0.754
0.776;0.974;0.875
0.912;1.0;0.956
0.728;0.909;0.819
0.548;0.908;0.728
0.636;1.0;0.818
0.581;0.872;0.726
0.649;0.974;0.811
0.847;1.0;0.923
0.654;0.975;0.815
0.618;0.975;0.796
0.62;0.975;0.797
0.72;1.0;0.86
0.548;0.904;0.726
0.589;0.981;0.785
0.09;0.134;0.112
0.173;0.27;0.222
0.125;0.194;0.16
0.175;0.199;0.187
0.048;0.077;0.062
0.173;0.203;0.188
0.389;0.548;0.469
0.773;0.983;0.878
0.277;0.344;0.31
0.223;0.317;0.27
0.303;0.377;0.34
0.225;0.284;0.255
0.292;0.363;0.328
0.117;0.136;0.127
0.696;0.927;0.811
0.117;0.136;0.127
0.117;0.136;0.127
0.117;0.136;0.127
0.665;0.823;0.744
0.687;0.911;0.799
0.566;0.756;0.661
0.729;0.913;0.821
0.368;0.463;0.415
0.723;0.957;0.84
0.852;0.967;0.909
0.289;0.328;0.308
0.221;0.27;0.245
0.269;0.305;0.287
0.213;0.225;0.219
0.271;0.291;0.281
0.078;0.105;0.091
0.277;0.32;0.298
0.613;0.997;0.805
0.18;0.252;0.216
0.267;0.413;0.34
0.005;0.006;0.005
0.022;0.038;0.03
0.415;0.584;0.499
0.872;0.994;0.933
0.846;0.958;0.902
0.815;1.0;0.907
0.749;0.91;0.83
0.826;0.893;0.859
0.9;0.969;0.934
0.893;1.0;0.947
0.809;0.985;0.897
0.778;0.917;0.848
0.789;0.931;0.86
0.575;0.987;0.781
0.476;0.831;0.653
0.123;0.18;0.151
0.058;0.101;0.08
0.781;0.978;0.879
0.362;0.418;0.39
0.064;0.064;0.064
0.788;0.947;0.867
0.218;0.268;0.243
0.021;0.031;0.026
0.035;0.029;0.032
0.159;0.189;0.174
0.711;0.884;0.797
0.064;0.064;0.064
0.781;0.978;0.879
0.715;0.951;0.833
0.157;0.215;0.186
0.999;1.0;1.0
0.547;0.872;0.71
0.613;0.972;0.792
0.613;0.972;0.792
0.132;0.182;0.157
0.364;0.914;0.639
1.0;1.0;1.0
0.786;0.807;0.796
0.54;0.893;0.717
0.34;0.89;0.615
0.329;0.865;0.597
0.576;0.958;0.767
0.595;0.894;0.744
0.519;0.922;0.721
0.469;0.871;0.67
0.537;0.922;0.73
0.38;0.854;0.617
0.165;0.358;0.262
0.321;0.81;0.566
0.332;0.868;0.6
0.331;0.81;0.571
0.079;0.464;0.272
0.111;0.753;0.432
0.673;0.873;0.773
0.663;0.892;0.778
0.58;0.93;0.755
0.592;0.884;0.738
0.559;0.884;0.722
0.566;0.902;0.734
0.6;0.894;0.747
0.487;1.0;0.744
0.47;1.0;0.735
0.0;0.0;0.0
0.023;0.063;0.043
0.025;0.063;0.044
0.0;0.0;0.0
0.035;0.035;0.035
0.0;0.0;0.0
0.029;0.083;0.056
0.271;0.882;0.577
0.333;0.791;0.562
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.21;0.71;0.46
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.106;0.381;0.243
0.204;0.686;0.445
0.106;0.343;0.225
0.159;0.595;0.377
0.204;0.538;0.371
0.232;0.781;0.507
0.42;0.92;0.67
0.026;0.061;0.043
0.053;0.106;0.08
0.027;0.061;0.044
0.028;0.061;0.044
0.026;0.061;0.043
0.0;0.0;0.0
0.025;0.057;0.041
0.556;0.906;0.731
0.186;0.272;0.229
0.542;0.725;0.633
0.006;0.008;0.007
0.173;0.207;0.19
0.168;0.257;0.213
0.439;0.925;0.682
0.449;0.925;0.687
0.528;0.93;0.729
0.562;0.93;0.746
0.469;0.92;0.695
0.441;0.92;0.68
0.386;0.9;0.643
0.405;0.908;0.657
0.43;0.908;0.669
0.436;0.921;0.678
0.101;0.885;0.493
0.025;0.25;0.138
0.009;0.051;0.03
0.039;0.195;0.117
0.33;0.876;0.603
0.031;0.098;0.065
0.0;0.0;0.0
0.277;0.763;0.52
0.012;0.028;0.02
0.0;0.0;0.0
0.0;0.0;0.0
0.005;0.009;0.007
0.359;0.876;0.617
0.0;0.0;0.0
0.33;0.876;0.603
0.513;0.937;0.725
0.0;0.0;0.0
0.363;0.914;0.639
0.674;0.873;0.774
0.663;0.892;0.778
0.663;0.892;0.778
0.04;0.066;0.053
0.361;0.914;0.637
0.786;0.807;0.796
1.0;1.0;1.0
0.547;0.912;0.73
0.337;0.911;0.624
0.339;0.935;0.637
0.565;0.962;0.763
0.599;0.889;0.744
0.514;0.922;0.718
0.463;0.862;0.662
0.532;0.922;0.727
0.377;0.854;0.615
0.165;0.358;0.262
0.324;0.835;0.58
0.332;0.859;0.596
0.334;0.835;0.585
0.08;0.433;0.257
0.112;0.722;0.417
0.705;0.933;0.819
0.673;0.915;0.794
0.589;0.925;0.757
0.568;0.856;0.712
0.538;0.856;0.697
0.532;0.853;0.693
0.599;0.889;0.744
0.439;0.889;0.664
0.424;0.889;0.656
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.013;0.033;0.023
0.034;0.037;0.036
0.0;0.0;0.0
0.0;0.0;0.0
0.304;1.0;0.652
0.319;0.697;0.508
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.209;0.714;0.461
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.108;0.386;0.247
0.204;0.69;0.447
0.108;0.348;0.228
0.159;0.6;0.38
0.213;0.573;0.393
0.232;0.786;0.509
0.421;0.944;0.682
0.0;0.0;0.0
0.023;0.042;0.033
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.599;0.996;0.797
0.211;0.293;0.252
0.516;0.659;0.588
0.006;0.007;0.007
0.164;0.188;0.176
0.21;0.348;0.279
0.436;0.925;0.68
0.446;0.925;0.685
0.522;0.926;0.724
0.556;0.926;0.741
0.466;0.91;0.688
0.438;0.91;0.674
0.385;0.9;0.643
0.411;0.938;0.674
0.435;0.938;0.686
0.431;0.925;0.678
0.079;0.727;0.403
0.007;0.114;0.061
0.0;0.0;0.0
0.048;0.394;0.221
0.329;0.896;0.613
0.0;0.0;0.0
0.0;0.0;0.0
0.277;0.784;0.53
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.0;0.0;0.0
0.357;0.896;0.627
0.0;0.0;0.0
0.329;0.896;0.613
0.525;0.955;0.74
0.0;0.0;0.0
0.358;0.914;0.636
0.706;0.933;0.82
0.673;0.915;0.794
0.673;0.915;0.794
0.0;0.0;0.0
0.677;1.0;0.839
0.54;0.893;0.717
0.547;0.912;0.73
1.0;1.0;1.0
0.661;0.951;0.806
0.65;0.942;0.796
0.64;1.0;0.82
0.957;1.0;0.978
0.763;0.989;0.876
0.724;0.972;0.848
0.732;0.945;0.839
0.694;0.963;0.829
0.514;0.727;0.621
0.701;0.975;0.838
0.661;0.946;0.803
0.646;0.874;0.76
0.495;0.907;0.701
0.536;0.991;0.764
0.908;0.902;0.905
0.951;0.959;0.955
0.879;1.0;0.94
0.856;0.906;0.881
0.901;0.958;0.929
0.897;0.96;0.928
0.999;1.0;1.0
0.671;0.872;0.772
0.728;0.977;0.853
0.079;0.133;0.106
0.16;0.286;0.223
0.103;0.181;0.142
0.12;0.153;0.137
0.084;0.126;0.105
0.118;0.156;0.137
0.323;0.528;0.425
0.517;0.91;0.714
0.174;0.278;0.226
0.208;0.409;0.308
0.195;0.357;0.276
0.151;0.29;0.22
0.189;0.351;0.27
0.073;0.135;0.104
0.537;0.924;0.731
0.073;0.135;0.104
0.073;0.135;0.104
0.073;0.135;0.104
0.459;0.823;0.641
0.529;0.904;0.717
0.442;0.771;0.607
0.492;0.878;0.685
0.244;0.411;0.328
0.558;0.956;0.757
0.577;0.958;0.767
0.216;0.388;0.302
0.17;0.335;0.253
0.204;0.367;0.285
0.148;0.235;0.192
0.194;0.319;0.257
0.061;0.132;0.097
0.199;0.356;0.277
0.53;0.997;0.764
0.125;0.228;0.176
0.277;0.48;0.379
0.004;0.007;0.005
0.088;0.126;0.107
0.272;0.537;0.405
0.679;0.993;0.836
0.657;0.955;0.806
0.747;1.0;0.873
0.694;0.915;0.804
0.645;0.897;0.771
0.698;0.97;0.834
0.773;1.0;0.887
0.558;0.981;0.77
0.521;0.895;0.708
0.531;0.915;0.723
0.481;0.997;0.739
0.407;0.868;0.637
0.09;0.172;0.131
0.034;0.055;0.044
0.643;0.985;0.814
0.254;0.42;0.337
0.073;0.107;0.09
0.596;0.936;0.766
0.207;0.351;0.279
0.057;0.089;0.073
0.038;0.043;0.04
0.159;0.26;0.21
0.571;0.885;0.728
0.075;0.109;0.092
0.645;0.987;0.816
0.665;0.952;0.808
0.101;0.186;0.144
0.676;1.0;0.838
0.835;0.902;0.869
0.876;0.959;0.917
0.876;0.959;0.917
0.089;0.139;0.114
0.869;0.944;0.906
0.34;0.89;0.615
0.337;0.911;0.624
0.661;0.951;0.806
1.0;1.0;1.0
0.913;0.901;0.907
0.684;0.986;0.835
0.685;0.986;0.836
0.778;1.0;0.889
0.818;1.0;0.909
0.738;0.946;0.842
0.763;0.9;0.832
0.694;0.732;0.713
0.796;0.933;0.865
0.938;0.957;0.948
0.737;0.866;0.801
0.587;0.823;0.705
0.689;0.926;0.807
0.567;0.88;0.724
0.601;0.938;0.769
0.778;1.0;0.889
0.588;0.917;0.752
0.631;0.99;0.81
0.633;0.99;0.811
0.694;0.986;0.84
0.491;0.835;0.663
0.539;0.922;0.731
0.097;0.154;0.126
0.194;0.315;0.255
0.134;0.223;0.178
0.189;0.231;0.21
0.057;0.092;0.074
0.188;0.237;0.212
0.388;0.552;0.47
0.748;0.889;0.819
0.296;0.351;0.324
0.221;0.271;0.246
0.268;0.309;0.288
0.191;0.224;0.208
0.259;0.299;0.279
0.084;0.1;0.092
0.648;0.84;0.744
0.084;0.1;0.092
0.084;0.1;0.092
0.084;0.1;0.092
0.615;0.762;0.689
0.636;0.817;0.726
0.507;0.659;0.583
0.669;0.819;0.744
0.401;0.52;0.461
0.68;0.881;0.78
0.77;0.929;0.85
0.271;0.311;0.291
0.205;0.264;0.234
0.251;0.287;0.269
0.231;0.255;0.243
0.258;0.288;0.273
0.08;0.107;0.093
